id,text,author_id,source,possibly_sensitive,context_annotations,lang,created_at,conversation_id,public_metrics,reply_settings,in_reply_to_user_id,referenced_tweets,entities,geo,attachments
1521721815109881857,"Wordle 319 2/6

⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩",1422991227994218497,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:22:07.000Z,1521721815109881857,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",everyone,,,,,
1521721811276378113,"Wordle (ES)  #118 3/6

🟩⬜⬜🟨🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/MP5E6a74CB",617235897,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:22:06.000Z,1479605332502589448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,617235897,"[{'type': 'replied_to', 'id': '1521367314171666432'}]","{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/MP5E6a74CB', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,
1521721805790228480,"Wordle (ES)  #118 2/6

⬜🟨🟨⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/rVXzmziD8q",1561094148,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:22:05.000Z,1521721805790228480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/rVXzmziD8q', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,
1521721799905529858,"Wordle (ES)  #118 3/6

⬜🟨⬜⬜🟩
⬜🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/YHZ4kLVP4k",156464616,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:22:03.000Z,1521721799905529858,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/YHZ4kLVP4k', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,
1521721796902649856,"ポケモンWordle 5/10

⬛⬛⬛⬛🟨
⬛⬛⬛🟩⬛
⬛⬛⬛🟩⬛
⬛⬛⬛🟩⬛
🟩🟩🟩🟩🟩

https://t.co/7l07tsFbGe
 #ポケモンWordle",1021024188096700416,Twitter for iPhone,True,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",ja,2022-05-04T05:22:03.000Z,1521721796902649856,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/7l07tsFbGe', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}], 'hashtags': [{'start': 73, 'end': 84, 'tag': 'ポケモンWordle'}]}",,
1521721796667584512,"Wordle 319 3/6

⬛🟩⬛🟨🟨
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",1034054106,Twitter for iPad,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:22:03.000Z,1521721796667584512,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521721786379157506,"Wordle 319 6/6

⬛🟩⬛🟨⬛
⬛🟨⬛⬛⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",51046771,TweetDeck,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:22:00.000Z,1521721786379157506,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,,
1521721781324816385,"#WordleCAT 124 6/6

⬜⬜⬜⬜🟨
⬜🟩⬜🟨🟨
🟩🟩⬜⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩

https://t.co/rs4bVBrNA2",49745876,Twitter for Android,False,,und,2022-05-04T05:21:59.000Z,1521721781324816385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/rs4bVBrNA2', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}]}",{'place_id': '105323e6acc0e504'},
1521721780322320384,"Wordle (ES)  #118 3/6

⬜⬜🟨⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/xtSgOMxCa4",2862029168,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:21:59.000Z,1521721780322320384,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/xtSgOMxCa4', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,
1521721773074501633,"Wordle 318 6/6

⬛⬛🟨🟩⬛
⬛🟨⬛⬛⬛
⬛⬛⬛⬛🟩
⬛🟨⬛⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1300165580972990465,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T05:21:57.000Z,1521721773074501633,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
