id,lang,text,created_at,conversation_id,possibly_sensitive,context_annotations,public_metrics,source,author_id,reply_settings,in_reply_to_user_id,entities,referenced_tweets,attachments,geo
1521567134882668546,en,"Wordle Tildes #64 3/6

🟨⬜⬜⬜⬜⬜⬜
⬜🟩⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩",2022-05-03T19:07:28.000Z,1521567134882668546,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,3076409506,everyone,,,,,
1521567131443290113,en,"Wordle 318 4/6

⬜🟨🟨⬜⬜
🟨🟩⬜🟨⬜
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩",2022-05-03T19:07:28.000Z,1521567131443290113,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,541982036,everyone,,,,,
1521567090481803266,en,"Wordle 318 4/6
In sequence...:)
🟩⬜⬜⬜⬜
🟩🟩⬜🟨⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",2022-05-03T19:07:18.000Z,1521567090481803266,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,737648947821486080,everyone,,,,,
1521567079866015746,en,"AYOOO
Wordle 318 2/6

🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩",2022-05-03T19:07:15.000Z,1521567079866015746,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1492947998975868942,everyone,,,,,
1521567078548967424,ja,"うっかり。
Wordle 318 4/6

⬛🟨🟩⬛⬛
⬛⬛🟩⬛⬛
⬛🟨🟩⬛⬛
🟩🟩🟩🟩🟩",2022-05-03T19:07:15.000Z,1521567078548967424,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,13130622,everyone,,,,,
1521567069862612993,en,"Wordle 319 4/6

⬛⬛🟩⬛⬛
🟨⬛🟨⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",2022-05-03T19:07:13.000Z,1521567069862612993,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,1292903013347188736,everyone,,,,,
1521567065957707778,es,"@wendolinpaz @Tana02265435 @AlkorRules @TiritaTNT @MariMar_Laurana @RojaRojae @perez_mpcbarna @Ohh_Yeahhhhhh @AlexDe_Large_ @Conde_Somamones @LuciaGavilan24 @MadridWordle @sergiopitel @carletes79 @PToadete @Aratzeo @Delgatus @eskape09 @WordleGame @Fundeu @Twitter @RibMrs Wordle Científico #51 2/6

🟩🟩⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩🟩🟩

https://t.co/LIzEJ2MjXW",2022-05-03T19:07:12.000Z,1482290400471756803,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter for Android,1284894094288920576,everyone,1284894094288920576,"{'urls': [{'start': 316, 'end': 339, 'url': 'https://t.co/LIzEJ2MjXW', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'wendolinpaz', 'id': '264989521'}, {'start': 13, 'end': 26, 'username': 'Tana02265435', 'id': '1106876804235694081'}, {'start': 27, 'end': 38, 'username': 'AlkorRules', 'id': '471864031'}, {'start': 39, 'end': 49, 'username': 'TiritaTNT', 'id': '418509082'}, {'start': 50, 'end': 66, 'username': 'MariMar_Laurana', 'id': '278142338'}, {'start': 67, 'end': 77, 'username': 'RojaRojae', 'id': '134710048'}, {'start': 78, 'end': 93, 'username': 'perez_mpcbarna', 'id': '3059091891'}, {'start': 94, 'end': 108, 'username': 'Ohh_Yeahhhhhh', 'id': '2213849959'}, {'start': 109, 'end': 123, 'username': 'AlexDe_Large_', 'id': '2651386772'}, {'start': 124, 'end': 140, 'username': 'Conde_Somamones', 'id': '257494494'}, {'start': 141, 'end': 156, 'username': 'LuciaGavilan24', 'id': '626802956'}, {'start': 157, 'end': 170, 'username': 'MadridWordle', 'id': '1506335897582809104'}, {'start': 171, 'end': 183, 'username': 'sergiopitel', 'id': '339505013'}, {'start': 184, 'end': 195, 'username': 'carletes79', 'id': '245249468'}, {'start': 196, 'end': 205, 'username': 'PToadete', 'id': '1213791042333396993'}, {'start': 206, 'end': 214, 'username': 'Aratzeo', 'id': '518561917'}, {'start': 215, 'end': 224, 'username': 'Delgatus', 'id': '1186313696211021826'}, {'start': 225, 'end': 234, 'username': 'eskape09', 'id': '24684931'}, {'start': 235, 'end': 246, 'username': 'WordleGame', 'id': '1478755640105480200'}, {'start': 247, 'end': 254, 'username': 'Fundeu', 'id': '196955819'}, {'start': 255, 'end': 263, 'username': 'Twitter', 'id': '783214'}, {'start': 264, 'end': 271, 'username': 'RibMrs', 'id': '1336393166858186755'}]}","[{'type': 'replied_to', 'id': '1521566141180780545'}]",,
1521567063462064131,en,"Wordle 319 3/6
#wordle #wordle319 #wordlegame #wordleindia #wordlenewyorktimes #fun #games #search #guess #dailywordle #dailywordleclub 

⬜🟨⬜🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",2022-05-03T19:07:11.000Z,1521567063462064131,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,1385533965138907136,everyone,,"{'hashtags': [{'start': 15, 'end': 22, 'tag': 'wordle'}, {'start': 23, 'end': 33, 'tag': 'wordle319'}, {'start': 34, 'end': 45, 'tag': 'wordlegame'}, {'start': 46, 'end': 58, 'tag': 'wordleindia'}, {'start': 59, 'end': 78, 'tag': 'wordlenewyorktimes'}, {'start': 79, 'end': 83, 'tag': 'fun'}, {'start': 84, 'end': 90, 'tag': 'games'}, {'start': 91, 'end': 98, 'tag': 'search'}, {'start': 99, 'end': 105, 'tag': 'guess'}, {'start': 106, 'end': 118, 'tag': 'dailywordle'}, {'start': 119, 'end': 135, 'tag': 'dailywordleclub'}]}",,,
1521567058596614148,en,"Wordle 318 4/6

🟨⬛🟩⬛⬛
⬛🟨🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",2022-05-03T19:07:10.000Z,1521567058596614148,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1002366494,everyone,,,,,
1521567042305994753,en,"Wordle 318 6/6

⬛🟨🟨⬛⬛
🟨🟩⬛⬛⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",2022-05-03T19:07:06.000Z,1521567042305994753,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1256054916,everyone,,,,,
