id,source,entities,reply_settings,conversation_id,text,lang,public_metrics,possibly_sensitive,author_id,context_annotations,created_at,in_reply_to_user_id,referenced_tweets,attachments,geo
1520987561224818688,Twitter for iPhone,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/YVjWMXW5ay', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",everyone,1520987561224818688,"Wordle (ES)  #116 3/6

⬜⬜🟨⬜🟨
🟩⬜🟨⬜🟨
🟩🟩🟩🟩🟩
 https://t.co/YVjWMXW5ay…",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1884307297,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:27.000Z,,,,
1520987561002512386,Twitter for iPhone,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/JOoKlIMwIH', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",everyone,1520987561002512386,"Wordle (ES)  #116 6/6

⬜🟨⬜⬜⬜
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/JOoKlIMwIH",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1965987018,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:27.000Z,,,,
1520987551049392129,Twitter for Android,,everyone,1520987551049392129,"Wordle 316 5/6

⬛⬛⬛⬛🟨
⬛⬛🟩⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,956454414,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:25.000Z,,,,
1520987548734345216,Twitter for iPhone,,everyone,1520987548734345216,"Wordle 317 6/6

⬛🟨⬛⬛⬛
🟨🟨⬛⬛⬛
⬛⬛⬛🟨🟨
🟩⬛🟨⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,264570824,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:24.000Z,,,,
1520987528676872193,Twitter for iPhone,,everyone,1520987528676872193,"Wordle 317 3/6

🟩⬛⬛🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,93635538,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:20.000Z,,,,
1520987520896585728,Twitter for Android,,everyone,1520987520896585728,"Wordle 317 5/6

⬛⬛⬛⬛⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,343867979,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:18.000Z,,,,
1520987492110979072,Twitter for iPhone,"{'urls': [{'start': 50, 'end': 73, 'url': 'https://t.co/nr7HsJABNo', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'aleixalbo', 'id': '260893371'}], 'hashtags': [{'start': 11, 'end': 21, 'tag': 'WordleCAT'}]}",everyone,1485963317113937923,"@aleixalbo #WordleCAT 122 3/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩

https://t.co/nr7HsJABNo",und,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,336093973,,2022-05-02T04:44:11.000Z,260893371,"[{'type': 'replied_to', 'id': '1520856284932849664'}]",,
1520987491154681861,Twitter for iPhone,,everyone,1520987491154681861,"Wordle 317 3/6

⬛🟨⬛⬛⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,2291271959,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:11.000Z,,,,
1520987488201891840,Twitter for Android,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/a2Z7xMCiCt', 'expanded_url': 'https://www.bundle.app/wordle-tr/', 'display_url': 'bundle.app/wordle-tr/'}]}",everyone,1520987488201891840,"Wordle Türkçe 317 4/6

🟩⬛⬛⬛⬛
🟩⬛⬛⬛🟨
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/a2Z7xMCiCt",tr,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,712937704649072641,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:10.000Z,,,,
1520987461903605760,Twitter for iPhone,,everyone,1520987461903605760,"Wordle 317 2/6

🟩⬛⬛🟩⬛
🟩🟩🟩🟩🟩 i’m so good😭",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,1133240268684242946,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T04:44:04.000Z,,,,
