id,lang,text,entities,created_at,conversation_id,possibly_sensitive,context_annotations,public_metrics,source,author_id,reply_settings,in_reply_to_user_id,referenced_tweets,geo,attachments
1520922144456118272,en,"It ONLY took me 4 tries... 😔🙄
Wordle 316 4/6*
#Wordle
🟩🟨⬜⬜⬜
🟩⬜🟩⬜⬜
🟩⬜🟩⬜⬜
🟩🟩🟩🟩🟩","{'hashtags': [{'start': 46, 'end': 53, 'tag': 'Wordle'}]}",2022-05-02T00:24:31.000Z,1520922144456118272,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,934852221526773760,everyone,,,,
1520922143193718784,ja,"昨日の苦しみのあとこれｗ

Wordle 317 2/6

⬜🟨⬜⬜⬜
🟩🟩🟩🟩🟩",,2022-05-02T00:24:30.000Z,1520922143193718784,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,309745503,everyone,,,,
1520922137707524096,ja,"ワードスナイプ / 日本語Wordle https://t.co/HRZ4WP5tAD
 No. 502
🟨🟧⬜🟨
🟩⬜⬜🟩
🟩⬜⬜🟩
🟩⬜🟧🟩
🟩🟩🟩🟩
これもまた変な答え変な日本語","{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/HRZ4WP5tAD', 'expanded_url': 'http://inertia-yehu.github.io/wordsnipe', 'display_url': 'inertia-yehu.github.io/wordsnipe'}]}",2022-05-02T00:24:29.000Z,1520922137707524096,False,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10046397689', 'name': '仮面ライダーエグゼイド'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone,113573043,everyone,,,,
1520922129709031430,en,"Wordle 216 5/6

⬜🟩🟩🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩

Wordle 217 6/6

⬜⬜⬜🟨⬜
⬜🟨🟨⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

Wordle 218 4/6

⬜🟨🟩⬜⬜
🟩⬜🟩🟩⬜
🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩

Wordle 219 3/6

⬜⬜⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",,2022-05-02T00:24:27.000Z,1513871033916436490,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1513852565125050376,everyone,1513852565125050376,"[{'type': 'replied_to', 'id': '1520544551714410496'}]",,
1520922119156158464,en,"Wordle 316 5/6

⬜🟩⬜⬜⬜
🟩⬜⬜⬜⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",,2022-05-02T00:24:25.000Z,1520922119156158464,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,134805521,everyone,,,,
1520922115721121792,en,"Wordle 316 4/6

🟩🟨⬛⬛⬛
🟩⬛🟨⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,2022-05-02T00:24:24.000Z,1520922115721121792,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone,1453165239546044423,everyone,,,,
1520922111946022913,ko,"워들 201 6/6
https://t.co/MXUMCAOgkQ

⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
🟨🟩⬜⬜⬜
⬜🟩🟨⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩

좆될뻔","{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/MXUMCAOgkQ', 'expanded_url': 'https://jhlov.github.io/wordle', 'display_url': 'jhlov.github.io/wordle'}]}",2022-05-02T00:24:23.000Z,1520922111946022913,False,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,1475277820947746817,everyone,,,,
1520922100189609984,ru,"Игра Wordle (RU) День #116 6/6

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟨⬛⬛🟨
⬛🟨⬛🟨⬛
⬛🟨⬛🟩⬛
🟩🟩🟩🟩🟩

#вордли 

Отгадайте слово на  https://t.co/vV36JP41XK","{'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/vV36JP41XK', 'expanded_url': 'https://wordle.belousov.one', 'display_url': 'wordle.belousov.one'}], 'hashtags': [{'start': 69, 'end': 76, 'tag': 'вордли'}]}",2022-05-02T00:24:20.000Z,1520922100189609984,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android,1090974477414998017,everyone,,,,
1520922099694673921,en,"Spock, The Rock, Doc Ock, and Hulk Hogan
Wordle 317 3/6

⬛🟨⬛⬛⬛
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩","{'annotations': [{'start': 0, 'end': 4, 'probability': 0.5701, 'type': 'Person', 'normalized_text': 'Spock'}, {'start': 7, 'end': 14, 'probability': 0.4027, 'type': 'Organization', 'normalized_text': 'The Rock'}, {'start': 17, 'end': 23, 'probability': 0.7806, 'type': 'Person', 'normalized_text': 'Doc Ock'}, {'start': 30, 'end': 39, 'probability': 0.9792, 'type': 'Person', 'normalized_text': 'Hulk Hogan'}]}",2022-05-02T00:24:20.000Z,1484317013384196109,False,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1057293966209470464', 'name': 'Hulk Hogan', 'description': 'Hulk Hogan'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '1047520229192912896', 'name': 'Combat sports', 'description': 'Fighting'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '852587148666589184', 'name': 'WWE', 'description': 'WWE'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '1057293966209470464', 'name': 'Hulk Hogan', 'description': 'Hulk Hogan'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '1010220507482865665', 'name': 'Star Trek', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App,768779743365849088,everyone,768779743365849088,"[{'type': 'replied_to', 'id': '1520546189455892482'}]",,
1520922091045875713,en,"Wordle 316 6/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜🟨⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",,2022-05-02T00:24:18.000Z,1520922091045875713,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1061453685199265792,everyone,,,,
