id,conversation_id,lang,possibly_sensitive,text,author_id,public_metrics,source,reply_settings,context_annotations,created_at,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1520907904823574530,1520907904823574530,en,False,"Wordle 317 4/6

⬛🟨🟩🟨⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",23519926,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:56.000Z,,,,,
1520907892852985857,1520907892852985857,en,False,"Wordle 316 4/6

🟩🟨⬛⬛⬛
🟩⬛🟩🟨⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",7199552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:53.000Z,,,,,
1520907892718768131,1520907892718768131,en,False,"Wordle 316 3/6

⬛⬛🟩⬛🟨
🟨🟨🟩⬛⬛
🟩🟩🟩🟩🟩

omg they made me today’s word 😍",1137951595851857920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:53.000Z,,,,,
1520907892383232004,1520907892383232004,en,False,"Wordle 317 4/6

🟩⬜🟩🟩⬜
🟩⬜🟩🟩🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",2315304253,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:53.000Z,,,,,
1520907891183874048,1520907891183874048,en,False,"Wordle 317 3/6

⬜⬜⬜🟨🟨
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",27790923,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:53.000Z,,,,,
1520907889677897728,1520907889677897728,en,False,"Wordle 316 6/6

🟨⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟩⬛⬛⬛
⬛⬛⬛🟩⬛
🟩⬛⬛🟨🟨
🟩🟩🟩🟩🟩",796115867130101760,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:52.000Z,,,,,
1520907888297926656,1520907888297926656,en,False,"Wordle 316 X/6

⬜⬜⬜🟨⬜
🟨⬜⬜⬜⬜
⬜⬜⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩",15482138,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:52.000Z,,,,,
1520907881092370432,1520907881092370432,en,False,"Well I’ll be damned. Lucky guess at #2 Wordle 317 3/6

🟩⬜⬜⬜🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",165995266,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:50.000Z,,,,,
1520907879477305345,1520907879477305345,en,False,"Wordle 317 5/6

⬜⬜⬜⬜🟨
🟨⬜⬜🟩⬜
🟩⬜🟩🟩🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩 #wordle #wordle317",174269375,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:50.000Z,"{'hashtags': [{'start': 46, 'end': 53, 'tag': 'wordle'}, {'start': 54, 'end': 64, 'tag': 'wordle317'}]}",,,,
1520907879414386689,1520907879414386689,en,False,"Wordle 317 4/6

🟩⬛⬛⬛⬛
🟩⬛🟩🟨⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

Alright then",2762969865,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:50.000Z,,,,,
1520907870526754819,1520907870526754819,en,False,"Wordle 316 3/6

⬜⬜⬜⬜⬜
🟩⬜🟨🟨🟨
🟩🟩🟩🟩🟩",3293593104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:48.000Z,,,,,
1520907843397996544,1520907843397996544,en,False,"Wordle 316 6/6

⬛⬛⬛🟨⬛
⬛🟩⬛⬛⬛
🟨🟩⬛🟨⬛
⬛🟩⬛🟨🟨
⬛🟩🟩🟨⬛
🟩🟩🟩🟩🟩",3342860211,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:41.000Z,,,,,
1520907810904711168,1520907810904711168,en,False,"Wordle 317 3/6

⬜⬜⬜⬜🟩
🟨⬜⬜⬜🟩
🟩🟩🟩🟩🟩",1310303982,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:33.000Z,,,,,
1520907804051005440,1520907804051005440,en,False,"Wordle 316 6/6 
This was a close call

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟨🟩🟨🟨⬛
🟩🟩🟩🟩🟩",1404931099663355909,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:32.000Z,,,,,
1520907796715548672,1520907796715548672,ja,False,"日本語のWordle（ローマ字）
#110
4/6
https://t.co/eBCWRxZE5T
⬜ ⬜ 🟥 ⬜ 🟩
⬜ 🟥 ⬜ 🟥 🟩
🟩 🟩 🟩 ⬜ 🟩
🟩 🟩 🟩 🟩 🟩",4535619320,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:30.000Z,"{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/eBCWRxZE5T', 'expanded_url': 'https://wordle-jp.netlify.app/', 'display_url': 'wordle-jp.netlify.app'}]}",,,,
1520907795683545089,1520907795683545089,en,False,"Wordle 317 2/6

🟩⬜⬜🟨⬜
🟩🟩🟩🟩🟩",825550783,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:30.000Z,,,,,
1520907795495030784,1485418644717064192,en,False,"Wordle 317 X/6

⬛⬛⬛🟨🟨
⬛🟨🟩🟨⬛
🟩⬛🟩🟩⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛",1326971695693852672,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:30.000Z,,"[{'type': 'replied_to', 'id': '1520442925981007872'}]",1326971695693852672,,
1520907793678491648,1520907793678491648,en,False,"wordle day 1:

🟩⬛️⬛️⬛️⬛️
🟩⬛️⬛️⬛️🟩
🟩⬛️⬛️⬛️🟩
🟩🟨⬛️🟩🟩
🟩⬛️⬛️🟩🟩
🟩🟩🟩🟩🟩",1516728021603917825,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T23:27:29.000Z,,,,,
