id,source,reply_settings,conversation_id,text,lang,public_metrics,possibly_sensitive,author_id,context_annotations,created_at,entities,in_reply_to_user_id,referenced_tweets,geo,attachments
1521550114480738304,Twitter for iPhone,everyone,1521550114480738304,"Wordle 318 5/6

⬛⬛🟨🟩⬛
🟨⬛⬛🟩⬛
⬛⬛⬛⬛🟨
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,10226532,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:50.000Z,,,,,
1521550103034609666,Twitter for iPhone,everyone,1521431827709251584,"@turtlebreezee @saylahachey Grasshopper Wordle 318 6/6

⬜🟨🟨⬜⬜
🟨🟩⬜⬜⬜
⬜🟩⬜⬜🟨
⬜🟩🟨⬜🟩 one word to another 
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1426147754,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:48.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'turtlebreezee', 'id': '1176258290348519424'}, {'start': 15, 'end': 27, 'username': 'saylahachey', 'id': '1225236847137132544'}]}",1176258290348519424,"[{'type': 'replied_to', 'id': '1521431827709251584'}]",,
1521550096168534016,Twitter Web App,everyone,1521550096168534016,"Wordle (ES)  #117 5/6

⬛⬛⬛⬛⬛
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
⬛🟩⬛⬛🟩
🟩🟩🟩🟩🟩
 https://t.co/XEqGRMDMJr",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1201934772093771776,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:46.000Z,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/XEqGRMDMJr', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521550091672178688,Twitter for Android,everyone,1521550091672178688,"Wordle 318 5/6

⬜🟨🟨⬜⬜
🟨🟩⬜⬜🟩
⬜🟩⬜🟩🟩
⬜🟨⬜⬜⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,2476192202,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:45.000Z,,,,,
1521550089231155201,Twitter for iPhone,everyone,1521550089231155201,"Wordle unlimited.
5/6

⬜🟨⬜⬜⬜
⬜⬜🟩⬜⬜
⬜⬜🟩⬜⬜
⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,2776734422,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:44.000Z,,,,,
1521550086517723136,Twitter for Android,everyone,1521550086517723136,"Word #124 (🇺🇸 - Hard) - 4/6

⬛⬛⬛⬛⬛🟨
🟩⬛⬛⬛🟨⬛
🟩⬛⬛🟨⬛🟩
🟩🟩🟩🟩🟩🟩

Play it here!
https://t.co/4sHeWokSpm

#wordle #dailywordchallenge #dailywordleclub",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,875908824833474560,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:44.000Z,"{'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/4sHeWokSpm', 'expanded_url': 'https://onelink.to/wordlegame', 'display_url': 'onelink.to/wordlegame'}], 'hashtags': [{'start': 97, 'end': 104, 'tag': 'wordle'}, {'start': 105, 'end': 124, 'tag': 'dailywordchallenge'}, {'start': 125, 'end': 141, 'tag': 'dailywordleclub'}]}",,,{'place_id': '0064261b68b40574'},
1521550084378349569,Twitter Web App,everyone,1486225627128774663,"Wordle 318 4/6

⬜🟨⬜🟨⬜
🟩⬜🟨🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,949755674250051584,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:43.000Z,,949755674250051584,"[{'type': 'replied_to', 'id': '1521190608395808768'}]",,
1521550083896061952,Twitter for iPhone,everyone,1521550083896061952,"Wordle 318 4/6

⬛🟨🟩⬛⬛
⬛⬛🟩⬛⬛
🟨🟩🟩⬛🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,172868044,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:43.000Z,,,,,
1521550060139556866,Twitter for iPhone,everyone,1521550060139556866,"Wordle 318 5/6

⬛⬛🟨⬛⬛
🟨⬛⬛⬛🟨
⬛🟩⬛⬛🟨
⬛🟩⬛⬛⬛
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",False,85919872,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:38.000Z,,,,,
1521550055836205057,Twitter for Android,everyone,1521550055836205057,"Wordle (ES)  #117 6/6

⬜⬜⬜⬜🟩
⬜🟨🟨⬜🟩
⬜⬜🟨🟨🟩
🟨🟩⬜⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/yM05yH1MpB",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,2797958099,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T17:59:37.000Z,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/yM05yH1MpB', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
