id,referenced_tweets,created_at,reply_settings,conversation_id,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,in_reply_to_user_id,attachments,geo
1520854029005647872,"[{'type': 'quoted', 'id': '1520651362346090497'}]",2022-05-01T19:53:51.000Z,everyone,1520854029005647872,False,"Wordle 317 3/6
🟨🟨⬜⬜🟨
🟩⬜⬜⬜🟨
🟩🟩🟩🟩🟩 https://t.co/xbgUJYxcbE","{'urls': [{'start': 33, 'end': 56, 'url': 'https://t.co/xbgUJYxcbE', 'expanded_url': 'https://twitter.com/michaelsnook/status/1520651362346090497', 'display_url': 'twitter.com/michaelsnook/s…'}]}",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",25289279,en,,,
1520854022781308928,,2022-05-01T19:53:49.000Z,everyone,1520854022781308928,False,"Wordle 317 6/6

⬜⬜⬜🟨🟨
⬜⬜🟩⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",882913247409577984,en,,,
1520854015743242240,,2022-05-01T19:53:48.000Z,everyone,1520854015743242240,False,"Wordle 317 4/6

🟨⬛⬛⬛🟩
⬛⬛⬛🟨🟩
🟨🟨⬛⬛🟩
🟩🟩🟩🟩🟩",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",15304579,en,,,
1520853988899540992,,2022-05-01T19:53:41.000Z,everyone,1520853988899540992,False,"Wordle 316 4/6

⬛⬛⬛⬛⬛
⬛⬛🟩⬛⬛
⬛🟩⬛🟩⬛
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1501671931006885894,en,,,
1520853981680963585,,2022-05-01T19:53:39.000Z,everyone,1520853981680963585,False,"Wordle 317 4/6

⬛🟨⬛⬛🟨
⬛⬛🟩⬛⬛
⬛⬛🟨⬛⬛
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",30670352,en,,,
1520853963620290560,,2022-05-01T19:53:35.000Z,everyone,1520853963620290560,False,"Wordle 317 2/6

🟨⬛⬛⬛⬛
🟩🟩🟩🟩🟩

やったーーー😆✌️✨",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",802409544269737984,ja,,,
1520853940673425408,,2022-05-01T19:53:30.000Z,everyone,1520853940673425408,False,"Wordle (ES)  #115 5/6

⬜🟨🟨⬜🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟨🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/AKmQGtO8VY","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/AKmQGtO8VY', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1306589350012940294,en,,,
1520853940178501633,,2022-05-01T19:53:30.000Z,everyone,1520853940178501633,False,"Wordle 316 5/6

⬜⬜⬜⬜⬜
⬜⬜🟨⬜⬜
⬜🟩🟨⬜⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",774816597743579136,en,,,
1520853928862228480,,2022-05-01T19:53:27.000Z,everyone,1520853928862228480,False,"Wordle Türkçe 316 4/6

🟩⬛⬛⬛⬛
🟩⬛⬛⬛⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/VRwsn1x2dB","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/VRwsn1x2dB', 'expanded_url': 'https://www.bundle.app/wordle-tr/', 'display_url': 'bundle.app/wordle-tr/'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",74459838,tr,,,
1520853921756958720,,2022-05-01T19:53:25.000Z,everyone,1520853921756958720,False,"Wordle 317 4/6

🟩⬛⬛⬛⬛
🟩⬛🟩⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩
まぁまぁ…かな？",,Tweetbot for Mac,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",182236332,ja,,,
