id,lang,text,created_at,conversation_id,possibly_sensitive,context_annotations,public_metrics,source,author_id,reply_settings,entities,in_reply_to_user_id,referenced_tweets,geo,attachments
1520837226506211330,en,"Wordle 316 4/6*

⬛⬛⬛⬛⬛
⬛⬛🟨⬛⬛
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",2022-05-01T18:47:05.000Z,1520837226506211330,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,438581846,everyone,,,,,
1520837224220164097,en,"Wordle 316 4/6*

⬛⬛⬛⬛🟩
⬛⬛⬛⬛🟩
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩",2022-05-01T18:47:04.000Z,1520837224220164097,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2173786733,everyone,,,,,
1520837216729276416,en,"Wordle 316 4/6

🟩⬛⬛⬛⬛
🟩🟨⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",2022-05-01T18:47:02.000Z,1520837216729276416,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter for Android,935317164462166018,everyone,,,,,
1520837211998019584,en,"#RRRMovie starts with
THE _____

#Wordle 317 6/6

⬜⬜⬜🟨🟨
⬜⬜🟩🟨⬜
🟩⬜⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",2022-05-01T18:47:01.000Z,1520837211998019584,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '86', 'name': 'Movie', 'description': 'A film like Rogue One: A Star Wars Story'}, 'entity': {'id': '1509558198776201217', 'name': 'RRR'}}, {'domain': {'id': '86', 'name': 'Movie', 'description': 'A film like Rogue One: A Star Wars Story'}, 'entity': {'id': '1509938027325374469', 'name': 'RRR'}}, {'domain': {'id': '87', 'name': 'Movie Genre', 'description': 'A movie genre like Action'}, 'entity': {'id': '1404405503279525889', 'name': 'Telugu cinema'}}, {'domain': {'id': '87', 'name': 'Movie Genre', 'description': 'A movie genre like Action'}, 'entity': {'id': '1506284087559946240', 'name': 'Telugu films'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1472676748202438659,everyone,"{'hashtags': [{'start': 0, 'end': 9, 'tag': 'RRRMovie'}, {'start': 33, 'end': 40, 'tag': 'Wordle'}]}",,,,
1520837205085720576,en,"Wordle 317 3/6

🟩⬛⬛⬛🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",2022-05-01T18:47:00.000Z,1520837205085720576,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,229374481,everyone,,,,,
1520837183715745793,en,"Wordle 317 4/6

⬛⬛⬛⬛⬛
⬛🟨🟨⬛🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",2022-05-01T18:46:55.000Z,1520837183715745793,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1017401748216995842,everyone,,,,,
1520837182759399424,en,"Wordle 317 5/6*

⬛⬛⬛⬛🟨
⬛🟨⬛🟩⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",2022-05-01T18:46:54.000Z,1520837182759399424,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,96515427,everyone,,,,,
1520837172978495499,en,"Wordle 316 5/6

⬜🟨⬜⬜⬜
⬜⬜🟨⬜⬜
⬜🟩⬜🟩⬜
⬜🟩🟩🟩⬜
🟩🟩🟩🟩🟩",2022-05-01T18:46:52.000Z,1502215850614726657,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,4734139335,everyone,,4734139335,"[{'type': 'replied_to', 'id': '1520366845152403457'}]",,
1520837168419291136,en,"Wordle 316 5/6

⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩🟨⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",2022-05-01T18:46:51.000Z,1520837168419291136,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,14186066,everyone,,,,,
1520837166972403712,tl,"Wordle 317 X/6

⬜⬜⬜⬜⬜
⬜⬜🟨🟨🟨
🟨🟨🟩⬜🟨
🟩⬜🟩🟩🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
Fvck",2022-05-01T18:46:51.000Z,1520837166972403712,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1238564570064510977,everyone,,,,,
