id,public_metrics,lang,text,conversation_id,created_at,author_id,source,context_annotations,possibly_sensitive,reply_settings,entities,in_reply_to_user_id,referenced_tweets,geo,attachments
1520785886233128962,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,"Wordle 317 6/6

⬛⬛⬛⬛🟨
⬛🟨🟨⬛⬛
🟨🟨⬛⬛⬛
🟨⬛🟩⬛⬛
⬛⬛🟩⬛🟨
🟩🟩🟩🟩🟩",1520785886233128962,2022-05-01T15:23:04.000Z,3292065072,Twitter Web App,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
1520785884919963649,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,"Wordle 317 5/6

🟨⬜⬜⬜⬜
⬜🟨🟨⬜⬜
⬜⬜⬜🟨🟨
🟩⬜🟩🟩🟨
🟩🟩🟩🟩🟩",1520785884919963649,2022-05-01T15:23:04.000Z,16680670,Twitter for Android,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
1520785876275855360,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,"Wordle 317 3/6

⬜🟨⬜⬜🟩
🟨🟨⬜⬜⬜
🟩🟩🟩🟩🟩",1520785876275855360,2022-05-01T15:23:02.000Z,1097522499271573504,Twitter Web App,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
1520785872169619456,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ja,"Wordle 317 5/6

⬛⬛🟨🟩⬛
⬛⬛⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩
候補多い",1520785872169619456,2022-05-01T15:23:01.000Z,785894997228818432,Twitter for iPhone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
1520785869799518209,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",ja,"ポケモンWordle 6/10

⬛⬛🟨⬛⬛  🟩🟩🟩🟩🟩
⬛⬛⬛⬛⬛
⬛🟨⬛⬛🟨
⬛⬛⬛⬛⬛
🟨⬛⬛⬛⬛

https://t.co/7POde0Y2eo
 #ポケモンWordle",1520785869799518209,2022-05-01T15:23:00.000Z,1010772862427226112,Twitter for iPad,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",False,everyone,"{'hashtags': [{'start': 80, 'end': 91, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/7POde0Y2eo', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
1520785857476628480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ko,"Wordle 317 X/6

🟨🟨⬜⬜⬜
⬜⬜🟨🟩🟨
⬜🟨⬜⬜🟨
🟨⬜🟨🟩⬜
🟨🟨⬜⬜⬜
🟩🟩🟩🟩⬜ 
아놔",1520785857476628480,2022-05-01T15:22:57.000Z,245182305,Twitter for Android,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
1520785853899067392,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,"Wordle 316 6/6

⬛⬛⬛🟨⬛
🟨⬛⬛🟨⬛
⬛🟩⬛⬛🟨
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩",1520785853899067392,2022-05-01T15:22:57.000Z,8062882,Twitter for iPhone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
1520785851017760769,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ja,"Wordle 317 3/6

🟩⬜⬜⬜⬜
🟩🟩🟨⬜⬜
🟩🟩🟩🟩🟩

スッといけました。",1520785851017760769,2022-05-01T15:22:56.000Z,2607485311,Twitter for iPhone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
1520785849893330945,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ja,"今日は石野さんの再始動に狂喜し、壮平君がパパになるというニュースに感激し、オシムさんの逝去に寂しさを感じ、感情が揺さぶられる一日だった。でも仕事は淡々と。今日のうちに延ばしに延ばしてきた学会の仕事を片付けたい💪

Wordle 317 4/6

⬜🟨⬜⬜⬜
⬜🟨🟩⬜⬜
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩",1520785849893330945,2022-05-01T15:22:56.000Z,116799267,Twitter Web App,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,"{'annotations': [{'start': 3, 'end': 6, 'probability': 0.8871, 'type': 'Person', 'normalized_text': '石野さん'}, {'start': 16, 'end': 18, 'probability': 0.7433, 'type': 'Person', 'normalized_text': '壮平君'}]}",,,,
1520785848073076736,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,"Wordle 316 4/6

⬜⬜⬜⬜⬜
⬜⬜⬜🟩⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1520785848073076736,2022-05-01T15:22:55.000Z,337448574,Twitter for Android,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",False,everyone,,,,,
