id,author_id,reply_settings,lang,possibly_sensitive,public_metrics,conversation_id,context_annotations,source,created_at,text,entities,in_reply_to_user_id,referenced_tweets,geo,attachments
1520781327607291904,57779809,everyone,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1520781327607291904,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,2022-05-01T15:04:57.000Z,"おいいいい
Wordle 317 6/6

⬜⬜⬜⬜🟨
⬜🟨🟨⬜⬜
⬜⬜⬜⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",,,,,
1520781327087325185,1067561416075476998,everyone,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1520781327087325185,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,2022-05-01T15:04:57.000Z,"Wordle 316 5/6

⬛⬛⬛⬛⬛
⬛🟨🟨⬛⬛
🟨🟩⬛🟩⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,,,,
1520781326948782081,136637791,everyone,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520781326948782081,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",Twitter Web App,2022-05-01T15:04:57.000Z,"ポケモンWordle 4/10

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
🟨⬛🟨⬛⬛
🟩🟩🟩🟩🟩

https://t.co/99PB7PS2tZ
 #ポケモンWordle","{'hashtags': [{'start': 67, 'end': 78, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/99PB7PS2tZ', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
1520781325837672450,162735779,everyone,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520781325837672450,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,2022-05-01T15:04:57.000Z,"Wordle 317 X/6

⬜🟨⬜⬜⬜
⬜⬜🟨🟨⬜
⬜🟨⬜🟨🟨
🟩🟩🟨🟨⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜

は？",,,,,
1520781325346631680,108280907,everyone,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520781325346631680,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,2022-05-01T15:04:57.000Z,"Wordle 317 2/6

#wordle
っしゃーおら！！！！

🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩","{'hashtags': [{'start': 16, 'end': 23, 'tag': 'wordle'}]}",,,,
1520781316220133376,6529602,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1520781316220133376,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,2022-05-01T15:04:55.000Z,"Wordle 317 6/6

⬜🟨⬜⬜🟨
⬜🟨⬜⬜⬜
🟨🟨🟨⬜⬜
⬜⬜⬜⬜🟩
⬜⬜⬜⬜🟨
🟩🟩🟩🟩🟩",,,,,
1520781315724832768,2397520382,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520781315724832768,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,2022-05-01T15:04:55.000Z,"Wordle 317 4/6

⬜🟨⬜⬜🟩
🟨🟨⬜⬜⬜
⬜⬜⬜⬜🟨
🟩🟩🟩🟩🟩",,,,,
1520781314961854464,96252004,everyone,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520781314961854464,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,2022-05-01T15:04:54.000Z,"Wordle 317 3/6

⬜🟨⬜🟨⬜
⬜🟨🟨🟨🟩
🟩🟩🟩🟩🟩

知ってる単語だったのでとても分かりやすかった！
さあ今日はサクッと寝るぞ。",,,,,
1520781313393164288,124161854,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520781313393164288,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,2022-05-01T15:04:54.000Z,"Wordle 317 3/6

⬜⬜🟨🟨🟩
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",,,,,
1520781312944402432,1482022763338829824,everyone,ja,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520781312944402432,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",Twitter for iPhone,2022-05-01T15:04:54.000Z,"ポケモンWordle 9/10

⬛⬛🟨⬛⬛  ⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛  🟨🟨⬛⬛⬛
⬛🟩⬛⬛⬜  ⬛⬛⬛⬛⬛
⬛⬛⬛🟩⬛  🟩🟩🟩🟩🟩
⬛⬛⬛⬛🟨

https://t.co/fo2lzcRQ8Z
 #ポケモンWordle","{'hashtags': [{'start': 101, 'end': 112, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/fo2lzcRQ8Z', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
