id,conversation_id,lang,possibly_sensitive,text,author_id,public_metrics,source,reply_settings,context_annotations,created_at,entities,geo,referenced_tweets,in_reply_to_user_id,attachments
1520626840259420163,1520626840259420163,en,False,"😡🤬🥵

Wordle 316 6/6

⬜🟨⬜⬜⬜
🟨⬜⬜⬜⬜
⬜🟩⬜🟨🟨
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",1084279220,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:51:05.000Z,,,,,
1520626826170839040,1520626826170839040,en,False,"Wordle 316 4/6

⬛⬛⬛🟨⬛
🟨🟨⬛⬛⬛
🟨🟩⬛🟩⬛
🟩🟩🟩🟩🟩",16578928,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:51:01.000Z,,,,,
1520626824669450242,1520626824669450242,en,False,"Wordle 316 4/6

⬛⬛⬛⬛⬛
⬛🟩⬛🟩⬛
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩",727662074625548288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:51:01.000Z,,,,,
1520626814921678848,1520626814921678848,en,False,"Wordle 316 4/6

⬜🟨⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜🟩⬜
🟩🟩🟩🟩🟩",1499071995719389189,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:59.000Z,,,,,
1520626805035737088,1520626805035737088,und,False,"#WordleCAT 121 5/6

⬜⬜⬜⬜🟨
🟨⬜🟨⬜⬜
🟨🟩⬜⬜⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩

https://t.co/QppeCs7kXA",2699227817,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,,2022-05-01T04:50:56.000Z,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}], 'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/QppeCs7kXA', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}]}",{'place_id': 'e574fc406dda0413'},,,
1520626804075253760,1520626804075253760,en,False,"Wordle 316 4/6*

⬛⬛⬛⬛⬛
⬛⬛🟨🟨⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",15760734,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:56.000Z,,,,,
1520626792255610881,1491486222220505094,en,False,"@birtate @HopelesslyMUFC @AbaKoran @fitse_t Wordle 316 4/6

🟩⬜🟨⬜⬜
🟩⬜⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",1527948654,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:53.000Z,"{'mentions': [{'start': 0, 'end': 8, 'username': 'birtate', 'id': '150270241'}, {'start': 9, 'end': 24, 'username': 'HopelesslyMUFC', 'id': '608289028'}, {'start': 25, 'end': 34, 'username': 'AbaKoran', 'id': '1093702363913826304'}, {'start': 35, 'end': 43, 'username': 'fitse_t', 'id': '304505937'}]}",,"[{'type': 'replied_to', 'id': '1520535535533572097'}]",1527948654,
1520626791706202112,1520620340950581248,en,False,"@hughjconsulting Wordle 316 5/6

⬜⬜⬜🟨⬜
⬜⬜⬜🟨⬜
⬜⬜⬜⬜⬜
⬜⬜⬜🟩⬜
🟩🟩🟩🟩🟩

you were more on track than I was",15324647,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:53.000Z,"{'mentions': [{'start': 0, 'end': 16, 'username': 'hughjconsulting', 'id': '2375524495'}]}",,"[{'type': 'replied_to', 'id': '1520620340950581248'}]",2375524495,
1520626780964589568,1520626780964589568,en,False,"This one was tough! It took me about 30 minutes to solve, and the answer isn't a word that I commonly use. 
Wordle 316 4/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1443706434731102209,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:51.000Z,,,,,
1520626779911774210,1520626779911774210,en,False,"Phew

Wordle 316 6/6

⬜⬜⬜🟨⬜
⬜🟩⬜⬜⬜
⬜⬜⬜⬜⬜
🟨🟩⬜🟨⬜
⬜🟩⬜⬜⬜
🟩🟩🟩🟩🟩",33394634,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:50.000Z,,,,,
1520626778502574083,1520626778502574083,en,False,"Wordle 316 5/6

⬛⬛🟨⬛⬛
⬛⬛⬛⬛⬛
🟩⬛⬛⬛⬛
🟨🟩⬛🟨⬛
🟩🟩🟩🟩🟩",863983740,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:50.000Z,,,,,
1520626777730727936,1520626777730727936,en,False,"Wordle 316 6/6

⬜⬜⬜⬜🟨
🟩⬜⬜⬜⬜
⬜⬜⬜⬜⬜
⬜🟩⬜🟩⬜
⬜⬜⬜⬜⬜
🟩🟩🟩🟩🟩",441294599,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:50.000Z,,,,,
1520626769006575617,1520626769006575617,en,False,"Wordle 316 6/6

🟨⬜⬜⬜⬜
⬜🟨🟨⬜⬜
⬜🟩⬜🟨🟨
🟨🟩🟨⬜⬜
⬜🟩⬜🟨🟨
🟩🟩🟩🟩🟩",78818611,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:48.000Z,,,,,
1520626753781305346,1520626753781305346,tr,False,"Wordle Türkçe 316 6/6

🟩⬜⬜⬜⬜
🟩⬜⬜⬜⬜
🟩⬜⬜⬜⬜
🟩⬜⬜⬜🟨
🟩🟩⬜🟨⬜
🟩🟩🟩🟩🟩

https://t.co/geL2GzTuGP",142277935,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:44.000Z,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/geL2GzTuGP', 'expanded_url': 'https://www.wordleturkce.com/', 'display_url': 'wordleturkce.com'}]}",,,,
1520626748064509954,1520626748064509954,en,False,"Wordle 316 4/6

⬜⬜⬜🟨⬜
⬜🟨⬜🟨⬜
🟨🟩⬜🟩⬜
🟩🟩🟩🟩🟩",155828261,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-01T04:50:43.000Z,,,,,
