id,text,author_id,source,possibly_sensitive,context_annotations,lang,created_at,conversation_id,public_metrics,reply_settings,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1520555466203443200,"Wordle 316 4/6

⬛⬛🟩⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

ลืมเล่นของเมื่อวาน 🥲",67520634,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",th,2022-05-01T00:07:28.000Z,1520555466203443200,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520555463355551744,"Wordle 316 6/6

⬛⬛⬛⬛⬛
⬛🟩⬛⬛🟨
🟨🟩🟨⬛⬛
🟨🟨🟨⬛⬛
⬛🟩⬛⬛🟨
🟩🟩🟩🟩🟩",1243234573112270848,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:27.000Z,1520555463355551744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520555462294441991,"Wordle (ES)  #114 5/6

🟨⬜⬜⬜⬜
⬜🟩⬜🟨⬜
⬜🟩⬜⬜🟩
⬜🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/b8nMvkuNuK",116711562,Twitter Web App,True,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:27.000Z,1520555462294441991,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/b8nMvkuNuK', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/'}]}",,,,
1520555462139203584,"Wordle 316 4/6

⬛🟩⬛⬛⬛
🟨🟩⬛🟨⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",186913345,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:27.000Z,1520555462139203584,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",everyone,,,,,
1520555454446718976,"Wordle 316 4/6

🟨⬛⬛⬛⬛
🟩⬛🟩⬛⬛
⬛⬛⬛⬛⬛
🟩🟩🟩🟩🟩",16317833,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:25.000Z,1520555454446718976,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520555429771845637,"Wordle 316 X/6

⬜⬜⬜⬜🟩
⬜🟨⬜⬜🟩
⬜🟩⬜⬜🟩
🟨🟩⬜⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩sniff!",989898753237807106,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:19.000Z,1520555429771845637,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520555417566597120,"ポケモンWordle 4/10

⬛🟨⬛⬛⬛
🟨⬛⬛⬛⬛
⬛⬛⬛🟩🟩
🟩🟩🟩🟩🟩

https://t.co/LEmc6F5jK8
 #ポケモンWordle",121389318,Twitter for Android,False,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",ja,2022-05-01T00:07:16.000Z,1520555417566597120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/LEmc6F5jK8', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}], 'hashtags': [{'start': 67, 'end': 78, 'tag': 'ポケモンWordle'}]}",,,,
1520555411434360832,"Wordle 316 4/6
⬛⬛⬛🟩⬛
🟩🟨🟨🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

#Worldle #100 1/6 (100%)
🟩🟩🟩🟩🟩🎉
https://t.co/80JxVMGjzf",15438301,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:15.000Z,1520555411434360832,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/80JxVMGjzf', 'expanded_url': 'https://worldle.teuteuf.fr', 'display_url': 'worldle.teuteuf.fr'}], 'hashtags': [{'start': 40, 'end': 48, 'tag': 'Worldle'}]}",,,,
1520555409274449920,"Wordle 316 5/6

⬛🟨⬛⬛⬛
⬛🟩⬛⬛⬛
🟨⬛🟨🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",835512096,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:14.000Z,1520555409274449920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520555396410187776,"Wordle (ES)  #114 2/6

🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩

https://t.co/s1k5YLQpJl

#WordleEspañol114 #danielfrg114 #daniefrg",215475574,Twitter Web App,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T00:07:11.000Z,1520555396410187776,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/s1k5YLQpJl', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'hashtags': [{'start': 61, 'end': 78, 'tag': 'WordleEspañol114'}, {'start': 79, 'end': 92, 'tag': 'danielfrg114'}, {'start': 93, 'end': 102, 'tag': 'daniefrg'}]}",,,,
