id,text,author_id,source,possibly_sensitive,entities,lang,created_at,conversation_id,public_metrics,reply_settings,in_reply_to_user_id,referenced_tweets,context_annotations,geo,attachments
1520528966729322498,"#WordleCAT 121 3/6

🟩🟨⬜⬜🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩

https://t.co/8QuXGcWjfp",313196366,Twitter for iPhone,False,"{'urls': [{'start': 39, 'end': 62, 'url': 'https://t.co/8QuXGcWjfp', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}]}",und,2022-04-30T22:22:10.000Z,1520528966729322498,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520528953072623616,"@geringr @dewordle Wördl 316 6/6 🔥1

⬜🟩🟨⬜⬜
⬜⬜⬜⬜🟨
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩

https://t.co/V9w9YzQlj8",1595379962,Twitter for iPad,False,"{'mentions': [{'start': 0, 'end': 8, 'username': 'geringr', 'id': '61231313'}, {'start': 9, 'end': 18, 'username': 'dewordle', 'id': '1482411529152741376'}], 'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/V9w9YzQlj8', 'expanded_url': 'http://wordle.at', 'display_url': 'wordle.at'}]}",de,2022-04-30T22:22:07.000Z,1519224141500624896,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,1595379962,"[{'type': 'replied_to', 'id': '1519429037537513472'}]","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528946043011073,"Wordle 316 6/6

⬜⬜⬜🟨⬜
⬜⬜⬜⬜⬜
🟨🟩⬜🟩⬜
⬜🟩🟩🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",768177428829175810,Twitter for iPhone,False,,en,2022-04-30T22:22:05.000Z,1520528946043011073,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528914862546946,"Wordle 316 3/6*

⬛⬛⬛⬛⬛
🟩⬛⬛⬛🟨
🟩🟩🟩🟩🟩

워호",38867200,Twitter for iPhone,False,,ko,2022-04-30T22:21:58.000Z,1520528914862546946,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528913440595972,"Wordle (ES)  #114 6/6

🟩⬜⬜🟨⬜
🟩🟨⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",807275743289966597,Twitter Web App,False,,en,2022-04-30T22:21:57.000Z,1520528913440595972,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528906700279808,"Wordle 316 6/6

⬛🟩⬛⬛⬛
🟨⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟨🟨🟨🟨
🟨🟩🟨🟨⬛
🟩🟩🟩🟩🟩",164033010,Tweetlogix,False,,en,2022-04-30T22:21:56.000Z,1520528906700279808,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528906662539264,"Wordle 316 6/6

⬜⬜⬜⬜⬜
⬜🟩⬜⬜🟩
⬜⬜⬜🟩⬜
⬜⬜⬜⬜⬜
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩

⬇️ ⬇️ ⬇️ ⬇️ ⬇️
https://t.co/kWva4YE2QN
⬆️ ⬆️ ⬆️ ⬆️ ⬆️

#Wordle #Wordle5 #WordleEN #WordleEnglish #Wordle316",13008362,Twitter for iPhone,False,"{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/kWva4YE2QN', 'expanded_url': 'https://wordle.wekele.com', 'display_url': 'wordle.wekele.com'}], 'hashtags': [{'start': 108, 'end': 115, 'tag': 'Wordle'}, {'start': 116, 'end': 124, 'tag': 'Wordle5'}, {'start': 125, 'end': 134, 'tag': 'WordleEN'}, {'start': 135, 'end': 149, 'tag': 'WordleEnglish'}, {'start': 150, 'end': 160, 'tag': 'Wordle316'}]}",en,2022-04-30T22:21:56.000Z,1520528906662539264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528900916449282,"Wordle (ES)  #114 5/6

🟨⬜⬜🟨⬜
🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/WBedFmiewB",163546145,Twitter for iPhone,False,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/WBedFmiewB', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",en,2022-04-30T22:21:54.000Z,1520528900916449282,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528894255796224,"Wordle 316 6/6
ふぅ
⬛🟨⬛⬛⬛
⬛🟩⬛⬛⬛
🟨🟩⬛⬛⬛
⬛🟩⬛🟨🟨
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",122938340,Twitter for iPhone,False,,ja,2022-04-30T22:21:53.000Z,1520528894255796224,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
1520528891600850946,"Le Mot (@WordleFR) #112 4/6

🟨⬛🟨🟨⬛
⬛⬛⬛🟨🟨
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/gGJnVX0Ejy",907794349,Twitter for Android,False,"{'mentions': [{'start': 8, 'end': 17, 'username': 'WordleFR', 'id': '1480029602105995267'}], 'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/gGJnVX0Ejy', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}]}",fr,2022-04-30T22:21:52.000Z,1520528891600850946,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,
