id,context_annotations,source,author_id,lang,possibly_sensitive,text,conversation_id,created_at,public_metrics,reply_settings,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1520513165309595648,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,392778079,en,False,"Wordle 316 4/6

⬜🟨⬜⬜⬜
🟩⬜⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520513165309595648,2022-04-30T21:19:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520513143885242371,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,953098029141315587,en,False,"Wordle 315 5/6

⬜⬜⬜⬜⬜
⬜⬜⬜⬜🟨
⬜🟩⬜🟨⬜
🟨🟩🟨⬜⬜
🟩🟩🟩🟩🟩
Gonna be great after the pupae.",1520513143885242371,2022-04-30T21:19:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520513140710322176,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,585688278,en,False,"Wordle 316 X/6

⬜⬜⬜⬜🟨
⬜🟨🟨⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜🟩",1520513140710322176,2022-04-30T21:19:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1520513139036540932,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,2476938270,en,False,"Finnish is so annoying
Wordle Suomi #315 6/6
https://t.co/jQxO26eRVa

⬜⬜⬜🟨⬜
⬜🟨⬜⬜⬜
⬜⬜⬜🟨🟩
⬜⬜⬜⬜🟩
🟨⬜🟨⬜🟩
🟩🟩🟩🟩🟩",1520513139036540932,2022-04-30T21:19:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/jQxO26eRVa', 'expanded_url': 'http://www.wordle.global/fi', 'display_url': 'wordle.global/fi'}]}",,,,
1520513120711716865,,Twitter for Android,14889306,es,False,"@EstadoCharnego 🤦🏻‍♀️🤦🏻‍♀️😂😂 Se lo inventan?
#WordleCAT 120 3/6

⬜🟨⬜🟨⬜
🟩⬜🟨🟨🟩
🟩🟩🟩🟩🟩

https://t.co/zR7hxb4xEI",1520509951319359489,2022-04-30T21:19:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",everyone,"{'urls': [{'start': 84, 'end': 107, 'url': 'https://t.co/zR7hxb4xEI', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'EstadoCharnego', 'id': '2810811720'}], 'hashtags': [{'start': 45, 'end': 55, 'tag': 'WordleCAT'}]}","[{'type': 'replied_to', 'id': '1520512964092116992'}]",2810811720,,
1520513117742321664,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,382936015,en,False,"Wordle 316 5/6

⬜⬜⬜🟨⬜
⬜⬜🟨⬜⬜
🟨🟩⬜🟩⬜
⬜🟩⬜🟩⬜
🟩🟩🟩🟩🟩",1520513117742321664,2022-04-30T21:19:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,{'place_id': '00810b3f1df3862d'},
1520513108980027392,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,47054207,tr,False,"Wordle 316 5/6

⬜⬜⬜🟨⬜
🟨🟩⬜⬜⬜
⬜🟩⬜🟨⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩

Katla 101 3/6

🟩⬜️⬜️⬜️🟨
🟩🟩⬜️🟩⬜️
🟩🟩🟩🟩🟩

Kalah 2 stepppp 🥲🤣🤣",1511845602023600128,2022-04-30T21:19:09.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,,"[{'type': 'replied_to', 'id': '1520148003092590592'}]",47054207,,
1520513103796047874,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,597443606,tr,False,"Wordle Türkçe 316 4/6

🟩⬜⬜⬜⬜
🟩⬜⬜🟩⬜
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩",1516952281312333825,2022-04-30T21:19:08.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",everyone,,"[{'type': 'replied_to', 'id': '1519845134569025537'}]",597443606,,
1520513099962458113,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,636364677,en,False,"#Wordle315 

Wordle 315 4/6

⬜🟨🟨⬜⬜
🟩⬜🟨🟨⬜
🟩🟩⬜⬜🟨
🟩🟩🟩🟩🟩",1520513099962458113,2022-04-30T21:19:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'Wordle315'}]}",,,,
1520513092026875904,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,47520552,en,False,"Wordle (ES)  #114 5/6

⬜⬜🟨⬜⬜
🟨⬜⬜🟨⬜
🟨⬜⬜⬜🟨
⬜🟩🟨⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/dDURMUY6wg",1520039703696883712,2022-04-30T21:19:05.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/dDURMUY6wg', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","[{'type': 'replied_to', 'id': '1520039703696883712'}]",47520552,,
