id,text,author_id,source,possibly_sensitive,context_annotations,lang,geo,created_at,conversation_id,public_metrics,reply_settings,entities,in_reply_to_user_id,referenced_tweets,attachments
1520377031195643905,"Wordle 315 6/6

⬜🟨🟨⬜⬜
🟨🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩

しらん🐛",511856633,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,{'place_id': '004ec16c62325149'},2022-04-30T12:18:26.000Z,1520377031195643905,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",everyone,,,,
1520377021645586433,"Wordle 315 4/6

🟨⬜⬜⬜⬜
⬜🟩⬜🟨🟨
⬜🟩🟨🟨⬜
🟩🟩🟩🟩🟩",266990399,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:23.000Z,1520377021645586433,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520377020118704130,"Wordle 315 6/6*

⬛⬛🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",1084923873768992769,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:23.000Z,1520377020118704130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520377014976450562,"Wordle (ES)  #114 4/6

⬜🟩⬜⬜⬜
⬜🟩⬜🟨⬜
⬜🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/N8rXJNfDmq",310455276,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:22.000Z,1520377014976450562,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/N8rXJNfDmq', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1520376999709220864,"Wordle (ES)  #114 5/6

🟩⬜🟨⬜⬜
🟩🟨⬜⬜🟨
🟩🟩⬜🟨⬜
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",440490061,Twitter Web App,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:18.000Z,1520376999709220864,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520376995405877248,"Wordle 315 3/6

🟩⬛⬛⬛⬛
⬛🟨🟨⬛⬛
🟩🟩🟩🟩🟩",17843358,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:17.000Z,1520376995405877248,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520376985847054336,"Wordle (ES)  #114 5/6

⬜⬜🟨⬜🟩
🟨⬜⬜⬜🟩
⬜🟩⬜🟨🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/RG1CASdlaD",986404654664896512,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,{'place_id': '0177bc687a9ac697'},2022-04-30T12:18:15.000Z,1520376985847054336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/RG1CASdlaD', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1520376972597157888,"Wordle 315 5/6

⬜⬜⬜🟨⬜
🟨🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",2890339153,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:12.000Z,1520376972597157888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520376967757021185,"De finde😅
Wordle (ES)  #114 6/6

⬜⬜⬜⬜🟨
🟨🟨🟨⬜⬜
🟩🟨⬜🟨⬜
🟩⬜🟨⬜🟩
🟩🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/gVwzNU1bJE",112816716,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:11.000Z,1520376967757021185,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/gVwzNU1bJE', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1520376962220498944,"Wordle 315 5/6*

🟨🟨⬛⬛⬛
🟨🟩⬛⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩
A harrowing ride.",229719855,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:09.000Z,1520376962220498944,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520376961771749376,"Wordle (ES)  #114 4/6

🟩⬜⬜⬜🟩
🟩🟨⬜⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/5t6dVEXxMU",1453576178279780359,Twitter Web App,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:18:09.000Z,1520376961771749376,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/5t6dVEXxMU', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1520376926719733760,"Wordle 315 4/6

⬛⬛🟨🟨⬛
⬛🟩⬛⬛🟨
⬛🟩⬛⬛🟩
🟩🟩🟩🟩🟩
知らん単語や……",760316956998115328,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,,2022-04-30T12:18:01.000Z,1520376926719733760,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",everyone,,,,
1520376911616225280,"I swear, one of these days, forgetting order of operations is a thing is going to cost me Nerdle!

#Wordle 315 5/6

🟩⬜⬜⬜⬜
⬜🟨⬜🟨⬜
⬜⬜⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩

#nerdlegame 101 5/6

⬛🟪🟪⬛🟪🟪⬛🟩
🟪🟩🟪⬛🟪⬛🟪🟩
🟪🟩⬛⬛⬛⬛🟩🟩
⬛🟩🟪⬛🟪🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩",1406775085264998402,Twitter Web App,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,,2022-04-30T12:17:57.000Z,1520376911616225280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'hashtags': [{'start': 99, 'end': 106, 'tag': 'Wordle'}, {'start': 147, 'end': 158, 'tag': 'nerdlegame'}]}",,,
