id,created_at,reply_settings,conversation_id,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,geo,in_reply_to_user_id,attachments
1520346320745209856,2022-04-30T10:16:24.000Z,everyone,1520346320745209856,False,"Wordle (ES)  #114 5/6

🟨⬜⬜🟨⬜
⬜🟩⬜⬜🟩
⬜🟩🟨⬜🟩
🟩🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/H1jZrgdmdG","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/H1jZrgdmdG', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",4458850307,en,,,,
1520346317322657793,2022-04-30T10:16:23.000Z,everyone,1520346317322657793,False,"Wordle Ilimitado #120 - 3/6

🟩⬛⬛🟨🟨
🟩🟨🟩🟨⬛
🟩🟩🟩🟩🟩

La versión más popular de Wordle Ilimitado, ¡Juega aquí!
https://t.co/RuJYBvSnWG
#Wordle #DesafioDiariodePalabras #Wordle Ilimitado","{'hashtags': [{'start': 129, 'end': 136, 'tag': 'Wordle'}, {'start': 137, 'end': 161, 'tag': 'DesafioDiariodePalabras'}, {'start': 162, 'end': 169, 'tag': 'Wordle'}], 'urls': [{'start': 105, 'end': 128, 'url': 'https://t.co/RuJYBvSnWG', 'expanded_url': 'https://bit.ly/Wordle_Daily', 'display_url': 'bit.ly/Wordle_Daily'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1227559550,es,,,,
1520346294279340032,2022-04-30T10:16:17.000Z,everyone,1520346294279340032,False,"Wordle 315 4/6

⬛🟨⬛⬛⬛
🟩⬛⬛⬛⬛
🟩🟩⬛⬛⬛
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",17808644,en,,,,
1520346289875173379,2022-04-30T10:16:16.000Z,everyone,1520346289875173379,False,"Wordle (ES)  #114 X/6

⬜🟩⬜🟨⬜
⬜🟩⬜🟨⬜
⬜🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩⬜🟨🟩
🟩🟩🟩⬜🟩
 https://t.co/AFcZFfCqfP","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/AFcZFfCqfP', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3439318059,en,,,,
1520346284779048960,2022-04-30T10:16:15.000Z,everyone,1520346284779048960,False,"first three in a while, and the hard way. 
Wordle 315 3/6*

⬜⬜⬜⬜⬜
⬜⬜⬜⬜🟩
🟩🟩🟩🟩🟩
@nolancargill @CharisFleming @ClintonCargill","{'mentions': [{'start': 78, 'end': 91, 'username': 'nolancargill', 'id': '1269288131234324481'}, {'start': 92, 'end': 106, 'username': 'CharisFleming', 'id': '19554390'}, {'start': 107, 'end': 122, 'username': 'ClintonCargill', 'id': '836035146549723141'}]}",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",247080258,en,,,,
1520346265325752320,2022-04-30T10:16:10.000Z,everyone,1520346265325752320,False,"RT @sebastian_gray: Wordle (ES)  #114 4/6

⬜⬜🟨⬜🟩
⬜🟨⬜⬜⬜
🟨⬜🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/3K17FkBWYc","{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/3K17FkBWYc', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'sebastian_gray', 'id': '299930984'}]}",Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1270115900407021571,en,"[{'type': 'retweeted', 'id': '1520265078372716544'}]",,,
1520346265208377345,2022-04-30T10:16:10.000Z,everyone,1520346265208377345,False,"Hoy estaba un poco espesilla
Wordle (ES)  #114 4/6

🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/yYkM8ub05R","{'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/yYkM8ub05R', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1326040600299376640,es,,,,
1520346243947507712,2022-04-30T10:16:05.000Z,everyone,1520346243947507712,False,"Wordle (ES)  #114 6/6

⬜⬜🟨⬜🟨
⬜🟨⬜🟩🟨
🟨⬜⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/FnBqYPGWVO","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/FnBqYPGWVO', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1443601964529590277,en,,,,
1520346237391847425,2022-04-30T10:16:04.000Z,everyone,1520346237391847425,False,"Wordle (ES)  #114 6/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
🟩🟩⬜🟨⬜
🟩🟩🟩🟩🟩

https://t.co/ajAKs3Ifk6

lo ha conseguido @anna__ojo en las últimas dos lineas porque yo soy tonta","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/ajAKs3Ifk6', 'expanded_url': 'https://wordle.danielfrg.com', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 102, 'end': 112, 'username': 'anna__ojo', 'id': '1241848740471885825'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1187315408,es,,,,
1520346236460666880,2022-04-30T10:16:04.000Z,everyone,1520346236460666880,False,"Wordle 315 4/6

🟩⬜🟨⬜⬜
🟩🟩⬜⬜🟩
🟩🟩⬜⬜⬜
🟩🟩🟩🟩🟩yup",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",42147957,en,,,,
