id,reply_settings,source,possibly_sensitive,lang,entities,referenced_tweets,in_reply_to_user_id,context_annotations,text,author_id,created_at,public_metrics,conversation_id,attachments,geo
1520312056750260226,everyone,Twitter for Android,False,es,"{'urls': [{'start': 205, 'end': 228, 'url': 'https://t.co/zeJzeNNCr8', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'SusanaAmestoy', 'id': '363910327'}, {'start': 15, 'end': 28, 'username': 'ArturoSherpa', 'id': '2383908665'}, {'start': 29, 'end': 45, 'username': 'mercheiglesiasc', 'id': '260686206'}, {'start': 46, 'end': 57, 'username': 'PabloRaso1', 'id': '559072218'}, {'start': 58, 'end': 68, 'username': 'cubanmood', 'id': '1060607648071073793'}, {'start': 69, 'end': 76, 'username': 'fjc162', 'id': '1386376867310092288'}, {'start': 77, 'end': 88, 'username': 'trasquilon', 'id': '1427683457681997827'}, {'start': 89, 'end': 100, 'username': 'LoroParece', 'id': '1312493830181138433'}, {'start': 101, 'end': 113, 'username': 'LegoLlorchs', 'id': '2713932328'}, {'start': 114, 'end': 127, 'username': 'Mr_daltonico', 'id': '978867998'}, {'start': 128, 'end': 135, 'username': 'pukyjc', 'id': '387881156'}, {'start': 136, 'end': 145, 'username': 'Tontero_', 'id': '1280640704537153543'}]}","[{'type': 'replied_to', 'id': '1519943560908443649'}]",363910327,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","@SusanaAmestoy @ArturoSherpa @mercheiglesiasc @PabloRaso1 @cubanmood @fjc162 @trasquilon @LoroParece @LegoLlorchs @Mr_daltonico @pukyjc @Tontero_ De sábado

Wordle (ES)  #114 4/6

⬜🟨⬜🟨⬜
⬜🟩⬜🟨⬜
🟩🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/zeJzeNNCr8",1143994676606898177,2022-04-30T08:00:15.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}",1515579862475550721,,
1520312052698390530,everyone,Twitter for iPhone,False,en,,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 315 3/6

🟩⬛🟨⬛🟨
🟩🟩🟨🟨⬛
🟩🟩🟩🟩🟩",166103789,2022-04-30T08:00:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312052698390530,,
1520312047938019330,everyone,Twitter for Android,False,en,"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/JHcHvDHSMD', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle Tildes #61 3/6

⬜⬜🟨⬜⬜🟨
🟨⬜🟩⬜⬜🟨
🟩🟩🟩🟩🟩🟩
 https://t.co/JHcHvDHSMD",385008362,2022-04-30T08:00:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312047938019330,,
1520312047057182720,everyone,Twitter for iPhone,False,en,"{'urls': [{'start': 201, 'end': 224, 'url': 'https://t.co/RyhkTWlMJu', 'expanded_url': 'https://twitter.com/saenticott/status/1520312047057182720/photo/1', 'display_url': 'pic.twitter.com/RyhkTWlMJu', 'media_key': '3_1520312038798594048'}]}",,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","WordHurdle 202 5/6 

🤍🤍🤍🤍🤍🤍
💛💛🤍🤍💛🤍
🤍💙💛💙💛🤍
💙💙🤍💛🤍💛
💙💙💙💙💙💙

Wordle 315 5/6
⬜⬜🟨🟨⬜
⬜⬜⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩

WordHurdle 203 4/6 

🤍💛🤍🤍💛🤍
🤍🤍🤍💛🤍💛
🤍💛🤍💛💛🤍
💙💙💙💙💙💙

Daily Quordle 96
6️⃣7️⃣
9️⃣5️⃣
just got there 😀 https://t.co/RyhkTWlMJu",3381747117,2022-04-30T08:00:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1520312047057182720,{'media_keys': ['3_1520312038798594048']},
1520312038303666176,everyone,Twitter for iPhone,False,en,,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 315 4/6

⬜⬜🟨🟨⬜
⬜🟨🟨⬜🟩
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩",29780520,2022-04-30T08:00:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312038303666176,,
1520312030347018240,everyone,Twitter for iPhone,False,en,,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Meh!

Wordle 315 5/6

⬜⬜⬜⬜⬜
⬜🟨⬜⬜⬜
🟩⬜🟨🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",169272707,2022-04-30T08:00:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312030347018240,,
1520312025406230530,everyone,Twitter for iPad,False,en,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'Wordle315'}]}",,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","#Wordle315 
Wordle 315 4/6

⬛⬛⬛⬛🟩
⬛⬛⬛⬛🟩
⬛🟨⬛🟨🟩
🟩🟩🟩🟩🟩",388093728,2022-04-30T08:00:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312025406230530,,
1520312021950078976,everyone,Twitter for Android,False,de,"{'urls': [{'start': 37, 'end': 60, 'url': 'https://t.co/qHJrShJfgB', 'expanded_url': 'http://wordle.at', 'display_url': 'wordle.at'}]}",,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wördl 315 3/6 🔥4

⬜🟩🟨⬜🟩
⬜⬜🟨⬜⬜
🟩🟩🟩🟩🟩

https://t.co/qHJrShJfgB",1465466010,2022-04-30T08:00:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312021950078976,,
1520312015352336384,everyone,Twitter for iPhone,False,en,,,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 315 4/6

⬛⬛⬛⬛⬛
⬛⬛🟨⬛🟩
🟩⬛⬛🟨🟩
🟩🟩🟩🟩🟩",1326782565592739843,2022-04-30T08:00:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312015352336384,,
1520312010612912130,everyone,Twitter for iPhone,True,en,"{'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/cOXTMrRbWp', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle (ES)  #114 2/6
 😳😳😳
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/cOXTMrRbWp",1094639359305887744,2022-04-30T08:00:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520312010612912130,,
