id,created_at,reply_settings,conversation_id,attachments,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,in_reply_to_user_id,geo
1520299785009389568,2022-04-30T07:11:29.000Z,everyone,1520299785009389568,{'media_keys': ['16_1520299777904238594']},False,"Wordle 315 3/6

⬛⬛⬛🟨🟩
⬛⬛⬛⬛⬛
🟩🟩🟩🟩🟩

Besedle št. 108: 4/6

🟨🟨⬛🟨⬛
🟩🟨🟨⬛⬛
🟩⬛🟨🟨🟩
🟩🟩🟩🟩🟩 https://t.co/BezJfWT83m","{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/BezJfWT83m', 'expanded_url': 'https://twitter.com/pengovsky/status/1520299785009389568/photo/1', 'display_url': 'pic.twitter.com/BezJfWT83m', 'media_key': '16_1520299777904238594'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",43664667,cs,,,
1520299780202811398,2022-04-30T07:11:28.000Z,everyone,1520299780202811398,,False,"Wordle (ES)  #114 6/6

⬜⬜🟨⬜🟨
🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/1ky8Jy4wvP","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/1ky8Jy4wvP', 'expanded_url': 'https://wordle.danielfrg.com/?utm_source=pocket_mylist', 'display_url': 'wordle.danielfrg.com/?utm_source=po…'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",210654627,en,,,
1520299774229942272,2022-04-30T07:11:26.000Z,everyone,1520299774229942272,,False,"Wordle 315 6/6
🟨⬜⬜⬜⬜
⬜⬜🟩⬜⬜
⬜🟩⬜⬜⬜
⬜⬜⬜🟨⬜
⬜🟨🟨⬜⬜
🟩🟩🟩🟩🟩
#Worldle  X/6 95%
🟩🟩⬜⬜⬜⬅️
🟩🟩🟩🟩⬜↖️
🟩🟩🟩🟨⬜↖️
🟩🟩🟩🟩⬜↘️
🟩🟩🟩🟩🟨↘️
🟩🟩🟩🟩🟨↘️
#76
1️⃣7️⃣⬛0️⃣4️⃣
0️⃣8️⃣⬛0️⃣5️⃣
0️⃣9️⃣⬛1️⃣0️⃣
0️⃣6️⃣⬛0️⃣7️⃣
1️⃣8️⃣⬛1️⃣1️⃣
1️⃣9️⃣⬛1️⃣2️⃣
1️⃣3️⃣⬛1️⃣4️⃣
1️⃣5️⃣⬛1️⃣6️⃣
#sedecordle","{'hashtags': [{'start': 51, 'end': 59, 'tag': 'Worldle'}, {'start': 233, 'end': 244, 'tag': 'sedecordle'}]}",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",60241717,und,,,
1520299770304253952,2022-04-30T07:11:25.000Z,everyone,1520299770304253952,,False,"Wordle (ES)  #114 4/6

⬛🟨⬛⬛🟨
🟩⬛🟨⬛🟩
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩
 https://t.co/ceVWHxVqZL","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/ceVWHxVqZL', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1204575674079621120,en,,,
1520299769427419136,2022-04-30T07:11:25.000Z,everyone,1520299769427419136,,False,"Wordle 315 5/6

⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟨
⬜🟩🟩🟨⬜
🟩🟩🟩🟩🟩

this was a hard time :(",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3251021696,en,,,
1520299761542307840,2022-04-30T07:11:23.000Z,everyone,1520299761542307840,,False,"Wordle 315 6/6

🟨⬜⬜⬜⬜
⬜⬜⬜🟨⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",27145000,en,,,
1520299757238947840,2022-04-30T07:11:22.000Z,everyone,1520299757238947840,,False,"Wordle 315 6/6

⬜⬜⬜⬜⬜
🟩⬜⬜⬜⬜
🟩🟩⬜⬜⬜
🟩🟩⬜⬜⬜
🟩🟩⬜🟨🟩
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",264317521,en,,,
1520299751375261701,2022-04-30T07:11:21.000Z,everyone,1520299751375261701,,False,"PAINFUL

Wordle 315 6/6

⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜🟨⬜
🟨🟩⬜🟨🟨
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3044698521,en,,,
1520299748149760000,2022-04-30T07:11:20.000Z,everyone,1520299748149760000,,False,"RT @Riteishd: Wordle 315 5/6 another toughie 

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟩⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩","{'mentions': [{'start': 3, 'end': 12, 'username': 'Riteishd', 'id': '57998991'}]}",Twitter for Android,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1500795780021379075', 'name': 'Riteish Deshmukh'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1500795780021379075', 'name': 'Riteish Deshmukh'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1202512787274113024,en,"[{'type': 'retweeted', 'id': '1520227908526415874'}]",,
1520299742420422658,2022-04-30T07:11:19.000Z,everyone,1520299742420422658,,False,"Wordle 315 4/6*

🟨🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1153277983056191488,en,,,
