id,entities,conversation_id,lang,possibly_sensitive,text,author_id,public_metrics,source,reply_settings,context_annotations,created_at,referenced_tweets,in_reply_to_user_id,geo,attachments
1520185808325541889,"{'hashtags': [{'start': 87, 'end': 98, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/UHuUrZ2JHb', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",1520185808325541889,ja,True,"ポケモンWordle 7/10

⬛⬛🟨⬛⬛  🟩⬛🟨⬛⬛
⬛⬛⬛⬛🟨  🟩🟩🟩🟩🟩
⬛⬛⬛🟨⬛
🟨🟨⬛⬛⬛
⬛🟨⬛🟩⬛

https://t.co/UHuUrZ2JHb
 #ポケモンWordle 
早めに3文字わかったのが大きい",290397156,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",2022-04-29T23:38:35.000Z,,,,
1520185797823320064,,1482920076525600774,en,False,"Wordle 315 5/6

⬛🟩⬛⬛⬛
⬛🟨⬛⬛🟨
⬛⬛⬛⬛⬛
🟨🟩⬛🟨⬛
🟩🟩🟩🟩🟩

🐛",161896539,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPad,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:32.000Z,"[{'type': 'replied_to', 'id': '1519867643586838528'}]",161896539,,
1520185789744705536,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/vvfGYRbiLK', 'expanded_url': 'https://wordle.danielfrg.com/tildes/', 'display_url': 'wordle.danielfrg.com/tildes/'}]}",1520185789744705536,en,False,"Wordle Tildes #60 5/6

⬜🟩🟨⬜🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/vvfGYRbiLK",6913272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:30.000Z,,,,
1520185787123650560,,1520185787123650560,en,False,"Wordle 315 4/6

🟨🟨⬜🟩⬜
⬜⬜⬜⬜⬜
⬜🟨🟨⬜⬜
🟩🟩🟩🟩🟩",219544116,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:29.000Z,,,,
1520185778336571393,"{'hashtags': [{'start': 61, 'end': 72, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/Sb00Y0Dscn', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",1520185778336571393,ja,False,"ポケモンWordle 3/10

⬛⬛⬛🟩⬛
⬛⬛⬛🟩🟨
🟩🟩🟩🟩🟩

https://t.co/Sb00Y0Dscn
 #ポケモンWordle ふんすふんす！",1391915282,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",2022-04-29T23:38:27.000Z,,,,
1520185774968299522,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/TNfdfuVQjl', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 8, 'end': 17, 'username': 'WordleFR', 'id': '1480029602105995267'}]}",1520185774968299522,fr,False,"Le Mot (@WordleFR) #111 5/6

🟨⬛⬛🟨⬛
⬛⬛⬛🟩⬛
⬛🟩🟨🟩⬛
🟨🟩⬛🟩⬛
🟩🟩🟩🟩🟩

https://t.co/TNfdfuVQjl",1189244715876732935,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:27.000Z,,,,
1520185752746971143,,1520185752746971143,en,False,"Wordle 314 5/6

🟨🟩⬛🟩⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",378887475,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:21.000Z,,,,
1520185740772220928,,1520185740772220928,en,False,"Wordle 314 3/6

⬜⬜⬜🟩⬜
🟨⬜🟨🟩⬜
🟩🟩🟩🟩🟩 
tgif",255581122,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '109', 'name': 'Reoccurring Trends', 'description': 'Twitter generated Trends that occur on a daily, weekly, monthly, or yearly basis'}, 'entity': {'id': '913875563323867141', 'name': '#TGIF (Thank God is Friday)', 'description': '#TGIF (Thank God is Friday)'}}]",2022-04-29T23:38:18.000Z,,,,
1520185726729539587,"{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/PfDsSsBuFx', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'Emmanue1611', 'id': '136150365'}, {'start': 13, 'end': 21, 'username': 'j_auday', 'id': '275559930'}, {'start': 22, 'end': 32, 'username': 'fremdersc', 'id': '929038782'}]}",1496789564203024386,en,False,"@Emmanue1611 @j_auday @fremdersc Wordle (ES)  #113 3/6

⬛🟨⬛⬛🟩
⬛🟨🟨⬛🟩
🟩🟩🟩🟩🟩

https://t.co/PfDsSsBuFx",487481338,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:15.000Z,"[{'type': 'replied_to', 'id': '1519675278632521728'}]",136150365,,
1520185725479636994,,1520185725479636994,ja,False,"Wordle 315 5/6
苦戦した。知らない子でした
⬜🟩🟩🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",45284903,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:15.000Z,,,,
1520185721050607618,,1520185721050607618,en,False,"Wordle 315 5/6

⬜🟩⬜🟨⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟨
🟩🟩🟩🟩🟩",3106065767,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:14.000Z,,,,
1520185719217696769,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/srUf2jOAbM', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1520185719217696769,en,False,"Wordle (ES)  #113 5/6

⬜🟨⬜🟨🟨
🟨🟨⬜⬜🟩
⬜⬜🟨🟨🟩
🟨🟨🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/srUf2jOAbM",96375852,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:13.000Z,,,,
1520185717766471680,,1520185717766471680,en,False,"Wordle 314 2/6

🟩⬜🟩⬜🟨
🟩🟩🟩🟩🟩
Woohoo in 2!",780928442,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:13.000Z,,,,
1520185714255740928,"{'hashtags': [{'start': 28, 'end': 35, 'tag': 'Wordle'}]}",1520185714255740928,en,False,"Lovely day in so many ways. #Wordle 314 2/6*

🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩",832927505711513600,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 10, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:12.000Z,,,,
1520185705485717505,,1520185705485717505,ja,False,"Wordle 315 6/6

🟨🟨⬛🟩⬛
⬛⬛⬛⬛⬛
⬛🟩🟨🟩⬛
🟩⬛⬛🟨⬛
🟨⬛⬛⬛⬛
🟩🟩🟩🟩🟩
知らない単語はこうなってしまう",99301351,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:10.000Z,,,,
1520185701555445763,,1520185701555445763,en,False,"Wordle 314 4/6

⬛🟩⬛⬛⬛
⬛🟩⬛🟨🟨
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩",318870172,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:09.000Z,,,,
1520185695222255616,,1520185695222255616,en,False,"Wordle 315 6/6

⬛⬛🟨⬛⬛
⬛🟩⬛⬛🟨
⬛🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",2657954864,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:08.000Z,,,,
1520185692873240576,,1520185692873240576,en,False,"Wordle 315 5/6

⬛⬛⬛⬛🟩
⬛⬛🟩⬛⬛
⬛⬛🟨🟨⬛
🟩🟩⬛⬛⬛
🟩🟩🟩🟩🟩",1021567274556289024,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:07.000Z,,,,
1520185687144042497,"{'mentions': [{'start': 0, 'end': 10, 'username': 'somu_peri', 'id': '136157979'}]}",1519961290134810624,en,False,"@somu_peri Wordle 314 2/6  😜

🟩⬜🟩🟨🟨
🟩🟩🟩🟩🟩",1120884805506195457,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:06.000Z,"[{'type': 'replied_to', 'id': '1519961290134810624'}]",136157979,,
1520185670316158977,,1515885014734409729,en,False,"Wordle 314 5/6

⬛🟨🟨⬛⬛
🟨🟨🟩⬛⬛
🟨⬛🟩🟨⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩

Me.",1196086979206819840,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:38:02.000Z,"[{'type': 'replied_to', 'id': '1519747798303793152'}]",1196086979206819840,,
1520185660296019975,,1520185660296019975,en,False,"Wordle 315 5/6

⬜⬜🟨🟨⬜
🟨⬜⬜⬜⬜
⬜⬜🟨🟨⬜
⬜🟩⬜⬜⬜
🟩🟩🟩🟩🟩",180914904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:37:59.000Z,,,,
1520185657796222977,"{'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/S3sGCdHYGH', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",1520185657796222977,ca,False,"NJD..imposible

Wordle Científico #47 X/6

⬜⬜⬜⬜🟨⬜
⬜🟩⬜🟩⬜⬜
⬜🟩⬜🟩⬜🟩
⬜🟩⬜🟩⬜🟩
⬜🟨🟨🟨⬜🟩
⬜⬜⬜🟩🟩🟩
 https://t.co/S3sGCdHYGH",295924363,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000467383', 'name': 'NHL Hockey', 'description': 'The latest hockey action from across the NHL.'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-04-29T23:37:59.000Z,,,,
