id,created_at,reply_settings,conversation_id,possibly_sensitive,text,source,public_metrics,context_annotations,author_id,lang,entities,geo,referenced_tweets,in_reply_to_user_id,attachments
1522290114545975296,2022-05-05T19:00:20.000Z,everyone,1522290114545975296,False,"STRAY KIDS WORDLE 125 3/6

⬜🟨⬜🟨⬜
⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2452822052,en,,,,,
1522290094136512512,2022-05-05T19:00:15.000Z,everyone,1522290094136512512,False,"ポケモンWordle 4/10

⬛🟨⬛⬛⬛
⬛🟨⬛⬛🟨
⬛⬛⬛🟨🟩
🟩🟩🟩🟩🟩

https://t.co/E4379r7d7t
 #ポケモンWordle",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",239553853,ja,"{'hashtags': [{'start': 67, 'end': 78, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/E4379r7d7t', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
1522290092412489728,2022-05-05T19:00:15.000Z,everyone,1522290092412489728,False,"Wordle 320 6/6

⬜⬜🟨⬜⬜
🟨⬜⬜⬜🟨
⬜🟨🟨⬜🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",450618516,en,,,,,
1522290091515080704,2022-05-05T19:00:15.000Z,everyone,1522290091515080704,False,"Wordle 321 3/6

🟨⬜🟨⬜🟩
🟨⬜🟨⬜🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",66351016,en,,,,,
1522290090231443460,2022-05-05T19:00:14.000Z,everyone,1522290090231443460,False,"Wordle 320 4/6

⬛⬛🟨🟨⬛
🟨🟩⬛🟩⬛
⬛🟩⬛🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1547359164,en,,,,,
1522290081348059136,2022-05-05T19:00:12.000Z,everyone,1522290081348059136,False,"2行目間違った勿体ない( ˘•ω•˘)
Wordle 321 4/6

🟨⬜🟨🟨⬜
⬜⬜🟨🟨⬜
🟩🟨🟨🟨⬜
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",91756962,ja,,,,,
1522290081205207042,2022-05-05T19:00:12.000Z,everyone,1522290081205207042,False,"Wordle (ES)  #119 5/6

⬜⬜🟨⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/FFJxVmMaKl",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",269930348,en,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/FFJxVmMaKl', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522290079288676352,2022-05-05T19:00:12.000Z,everyone,1522290079288676352,False,"#dailywordleclub
That's better

Wordle 321 3/6*

⬜⬜🟨⬜🟩
🟨🟨⬜🟨🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",69248921,en,"{'hashtags': [{'start': 0, 'end': 16, 'tag': 'dailywordleclub'}]}",{'place_id': '01aeb1b01984e934'},,,
1522290078210572288,2022-05-05T19:00:12.000Z,everyone,1522290078210572288,False,"Wordle 320 3/6

⬜⬜⬜⬜🟨
⬜⬜⬜🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",303268766,en,,,,,
1522290071525036032,2022-05-05T19:00:10.000Z,everyone,1522290071525036032,False,"Wordle 321 5/6

⬛⬛🟨⬛🟩
⬛⬛🟨⬛🟩
🟩⬛⬛⬛🟨
🟩🟩⬛🟨🟨
🟩🟩🟩🟩🟩",Twitter Web App,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1133658209439191041,en,,,,,
