id,source,lang,entities,reply_settings,context_annotations,conversation_id,text,author_id,possibly_sensitive,created_at,public_metrics,referenced_tweets,in_reply_to_user_id,geo,attachments
1521492164328529921,Twitter for Android,en,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/FDolRFf72P', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492164328529921,"Wordle (ES)  #117 4/6

⬜⬜⬜🟨⬜
⬜🟩🟨🟨⬜
🟨🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/FDolRFf72P",2818584206,False,2022-05-03T14:09:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,
1521492153087807490,Twitter for Android,en,,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492153087807490,"Wordle 318 3/6

🟨⬛🟩⬛⬛
⬛⬛🟨🟩⬛
🟩🟩🟩🟩🟩",42868451,False,2022-05-03T14:09:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,
1521492150361497600,Twitter for Android,tr,"{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/OvmqSPHXtN', 'expanded_url': 'http://wordle7.acikbilim.com', 'display_url': 'wordle7.acikbilim.com'}], 'hashtags': [{'start': 21, 'end': 29, 'tag': 'wordle7'}, {'start': 30, 'end': 39, 'tag': 'wordleTR'}]}",everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492150361497600,"Wordle Türkçe (7'li) #wordle7 #wordleTR 317 4/7

⬜🟨⬜⬜⬜⬜🟨
🟩🟨⬜⬜🟨⬜⬜
🟩🟩🟨🟩⬜🟩⬜
🟩🟩🟩🟩🟩🟩🟩

 https://t.co/OvmqSPHXtN",944133774,False,2022-05-03T14:09:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,
1521492150118141952,Tweetbot for iΟS,en,,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492150118141952,"Wordle 318 5/6

⬛🟨⬛⬛⬛
🟨🟩⬛⬛⬛
⬛🟩🟨⬛⬛
⬛🟩⬛⬛🟨
🟩🟩🟩🟩🟩",1773261,False,2022-05-03T14:09:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,
1521492142186762241,Twitter for iPhone,en,"{'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/khVLvJWqEU', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'An7i7ris7er0', 'id': '3909057845'}]}",everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521491195142320128,"@An7i7ris7er0 Wordle (ES)  #117 3/6

⬜⬜⬜🟨🟩
⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩

https://t.co/khVLvJWqEU",3391348607,False,2022-05-03T14:09:29.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'type': 'replied_to', 'id': '1521491195142320128'}]",3909057845,,
1521492141989580802,Twitter for Android,en,,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492141989580802,"Only took 1 minute today! Wordle 318 3/6

⬜🟨🟨⬜⬜
⬜🟩⬜⬜🟨
🟩🟩🟩🟩🟩",29022515,False,2022-05-03T14:09:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,
1521492139062009857,Twitter for iPhone,en,,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492139062009857,"Wordle 318 4/6

⬜🟩⬜⬜🟨
🟨🟩🟩⬜⬜
⬜🟩🟩🟩⬜
🟩🟩🟩🟩🟩",328300391,False,2022-05-03T14:09:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,
1521492136750899201,Twitter for iPhone,en,,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492136750899201,"Wordle 318 3/6

⬛⬛⬛🟩⬛
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩

Back on the 3 baby!! 🙌🏻",154969743,False,2022-05-03T14:09:28.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",,,,
1521492136700563458,Twitter Web App,en,,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492136700563458,"pretty good. Wordle 318 4/6

⬛🟨⬛⬛⬛
⬛⬛🟨🟨⬛
🟩⬛⬛🟨🟨
🟩🟩🟩🟩🟩",6857832,False,2022-05-03T14:09:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,,,
1521492132250501120,Twitter for iPhone,en,,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521492132250501120,"Wordle 318 4/6

⬛⬛🟩⬛⬛
⬛🟨🟩⬛⬛
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩",16163371,False,2022-05-03T14:09:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,
