id,context_annotations,lang,reply_settings,source,possibly_sensitive,created_at,public_metrics,text,author_id,conversation_id,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1522217369011048450,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for iPhone,False,2022-05-05T14:11:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 5/6

⬛⬛⬛⬛⬛
⬛🟩🟨⬛🟨
⬛🟩⬛🟩🟩
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩",905146617673596928,1522217369011048450,,,,,
1522217366729330690,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for iPhone,False,2022-05-05T14:11:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 X/6*

⬛🟨⬛⬛⬛
🟨🟩⬛⬛🟨
⬛🟩🟨🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩

My first loss ☹️",744380754,1522217366729330690,,,,,
1522217365512998917,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for iPhone,False,2022-05-05T14:11:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #119 4/6

⬜⬜⬜⬜🟨
⬜🟩⬜⬜🟨
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/f37sl1kXYP",314246141,1522217365512998917,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/f37sl1kXYP', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522217365286850560,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,everyone,Twitter for iPhone,False,2022-05-05T14:11:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","やったね

Wordle 320 3/6

⬜⬜⬜⬜🟨
🟨⬜⬜🟩🟩
🟩🟩🟩🟩🟩",282889677,1522217365286850560,,,,,
1522217364921602049,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for iPhone,False,2022-05-05T14:11:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 4/6

🟩🟨⬛🟨⬛
🟩⬛🟨🟩⬛
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",1253197021789540354,1522217364921602049,,,,,
1522217363407466500,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for iPhone,False,2022-05-05T14:11:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 3/6

⬛🟩⬛⬛🟨
🟨🟩⬛🟩⬛
🟩🟩🟩🟩🟩",74384529,1522217363407466500,,,,,
1522217359833911296,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for Android,False,2022-05-05T14:11:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #119 5/6

⬜🟨⬜🟨🟨
🟩⬜⬜⬜🟨
🟩🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/4m2IHynQ0h",1062910973831532544,1522217359833911296,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/4m2IHynQ0h', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522217357745082371,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for Android,False,2022-05-05T14:11:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 4/6

🟨⬜⬜⬜🟨
⬜🟩⬜⬜⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1167906249041539073,1522217357745082371,,,,,
1522217352841990144,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,Twitter for iPhone,False,2022-05-05T14:11:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","first loss. I’m gonna be sick

Wordle 320 X/6

⬛🟨🟨⬛⬛
⬛⬛⬛🟨🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩",1112521462022172672,1522217352841990144,,,,,
1522217350426030081,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,everyone,TweetDeck,False,2022-05-05T14:11:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 5/6

⬜⬜🟨⬜⬜
🟨🟨⬜⬜🟨
🟩⬜🟨🟩⬜
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",105406757,1522217350426030081,,,,,
