id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,conversation_id,reply_settings,author_id,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1522192495228116992,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:26.000Z,"Wordle 320 X/6

⬛⬛⬛🟩⬛
⬛🟩⬛🟨⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩these are the days I hate Wordle.",Twitter for iPhone,1522192495228116992,everyone,39296414,,,,,
1522192494112477186,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:26.000Z,"Wordle 320 6/6

⬛🟨⬛⬛⬛
🟨🟨⬛⬛⬛
⬛⬛🟨🟨🟨
⬛🟩⬛🟩🟩
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩 Phew 😅 indeed! Unusual solution.",Twitter for iPhone,1522192494112477186,everyone,331883840,,,,,
1522192493919408129,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:26.000Z,"Wordle (ES)  #119 5/6

⬛⬛🟨⬛⬛
⬛🟨🟩⬛🟨
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩
 https://t.co/EvaZh5KRNi",Twitter for iPhone,1522192493919408129,everyone,10268252,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/EvaZh5KRNi', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522192491906220032,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:25.000Z,"Wordle 320 5/6

⬛🟨⬛⬛⬛
🟨🟨⬛⬛⬛
⬛⬛🟨⬛🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1522192491906220032,everyone,175906357,,,,,
1522192488404029444,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:24.000Z,"Wordle 320 5/6

⬛⬛⬛🟩⬛
🟨🟩⬛⬛⬛
🟨🟩⬛🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1522192488404029444,everyone,125414983,,,,,
1522192482980745216,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",de,2022-05-05T12:32:23.000Z,"Wördl 320 6/6 🔥3

⬛⬛⬛🟨⬛
⬛⬛⬛⬛🟩
🟨⬛⬛⬛🟩
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/wABqkLTHRs",Twitter for iPhone,1522192482980745216,everyone,1129104107594231809,"{'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/wABqkLTHRs', 'expanded_url': 'http://wordle.at', 'display_url': 'wordle.at'}]}",,,,
1522192468590145536,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:20.000Z,"Wordle 320 4/6

🟨⬛⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1522192468590145536,everyone,889499761,,,,,
1522192465394081792,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:19.000Z,"Wordle 320 5/6

⬜🟨⬜⬜🟨
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter Web App,1522192465394081792,everyone,141737251,,,,,
1522192453616517120,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:16.000Z,"Wordle 320 6/6

⬜⬜⬜⬜🟨
⬜⬜🟨🟨🟨
🟨🟩⬜⬜⬜
⬜🟩⬜🟩🟩
⬜🟨⬜⬜🟨
🟩🟩🟩🟩🟩",Twitter for iPhone,1522192453616517120,everyone,1461016123906867201,,,,,
1522192450793533443,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T12:32:15.000Z,"Wordle 320 4/6

⬛⬛⬛⬛🟨
⬛🟩⬛⬛⬛
🟨🟩🟨🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,1522192450793533443,everyone,58479925,,,,,
