id,referenced_tweets,entities,conversation_id,lang,possibly_sensitive,reply_settings,text,public_metrics,author_id,context_annotations,created_at,source,in_reply_to_user_id,geo,attachments
1522160948915499008,"[{'type': 'retweeted', 'id': '1522160380063227905'}]","{'mentions': [{'start': 3, 'end': 19, 'username': 'DebbieBurleson4', 'id': '2348363989'}, {'start': 21, 'end': 33, 'username': 'GeeGeeAkili', 'id': '525783599'}]}",1522160948915499008,en,False,everyone,"RT @DebbieBurleson4: @GeeGeeAkili 1st time I did not get the answer! Wordle 320 X/6*

🟨⬛⬛⬛🟨
🟨🟨⬛⬛⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",832776374603505664,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:05.000Z,Watergate_timeline,,,
1522160943324893190,"[{'type': 'retweeted', 'id': '1522160746536308737'}]","{'mentions': [{'start': 3, 'end': 10, 'username': 'drstef', 'id': '23642868'}]}",1522160943324893190,en,False,everyone,"RT @drstef: my first ever fail (sad face)
Wordle 320 X/6

⬜⬜🟨⬜🟩
⬜⬜⬜🟩🟩
⬜⬜⬜🟩🟩
🟨⬜⬜🟩🟩
⬜🟩⬜🟩🟩
🟨🟩⬜🟩🟩","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1229646215010119680,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:03.000Z,griffith_fakenews,,,
1522160942037053442,,,1522160942037053442,en,False,everyone,"Wordle 320 6/6

⬜🟩⬜🟨🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩

Stupid","{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",73127038,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:03.000Z,Twitter for iPhone,,,
1522160941642649600,,"{'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/fkH4z9VLUs', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",1522160941642649600,es,False,everyone,"😁😁💪💪Wordle Científico #53 3/6

⬜⬜⬜⬜⬜🟩
⬜⬜⬜🟨🟩🟩
🟩🟩🟩🟩🟩🟩
 https://t.co/fkH4z9VLUs","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",38276199,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:03.000Z,Twitter for Android,,,
1522160941575593984,,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/dL8nmzOkqe', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1522160941575593984,en,False,everyone,"Wordle (ES)  #119 6/6

🟨⬜🟩⬜🟩
⬜⬜⬜⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/dL8nmzOkqe","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",902559122712915968,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:03.000Z,Twitter for Android,,,
1522160941533732864,,,1522160941533732864,en,False,everyone,"D'Oh

Wordle 320 5/6

⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",817714034,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1517623051860414465', 'name': 'World Environment Day'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:03.000Z,Twitter for Android,,,
1522160938819989504,,"{'urls': [{'start': 125, 'end': 148, 'url': 'https://t.co/ePdaefZnPW', 'expanded_url': 'http://bit.ly/WizardingWordle', 'display_url': 'bit.ly/WizardingWordle'}], 'mentions': [{'start': 82, 'end': 92, 'username': 'MuggleNet', 'id': '14599470'}], 'hashtags': [{'start': 26, 'end': 42, 'tag': 'WizardingWordle'}]}",1522160938819989504,en,False,everyone,"One of the corridors! Ha! #WizardingWordle 124 4/6

⬜⬜🟩⬜⬜
🟨⬜🟩⬜⬜
🟩🟩🟩🟨⬜
🟩🟩🟩🟩🟩

Play @MuggleNet's original Harry Potter Wordle: https://t.co/ePdaefZnPW","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1139535270372618242,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '933033311844286464', 'name': 'Harry Potter', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable.\t\t\t'}}]",2022-05-05T10:27:02.000Z,Twitter for iPhone,,,
1522160933577105408,,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/9ntCeprUTo', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1522160933577105408,en,False,everyone,"Wordle (ES)  #119 4/6

🟨⬜⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/9ntCeprUTo","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4212307294,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:01.000Z,Twitter for iPhone,,,
1522160933577052161,"[{'type': 'replied_to', 'id': '1522126993957036032'}]","{'mentions': [{'start': 0, 'end': 12, 'username': 'BonnieBirns', 'id': '374681579'}]}",1522126993957036032,en,False,everyone,"@BonnieBirns Wordle 320 X/6

⬛🟩⬛⬛🟩
⬛⬛⬛🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",21915782,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:01.000Z,Twitter for Android,374681579,,
1522160931291250688,,,1522160931291250688,en,False,everyone,"Wordle 320 4/6

🟩🟨⬛⬛⬛
🟩⬛⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1396427335000334336,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-05T10:27:01.000Z,Twitter for Android,,,
