id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,conversation_id,reply_settings,entities,author_id,referenced_tweets,in_reply_to_user_id,attachments,geo
1522084595767914496,False,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",es,2022-05-05T05:23:41.000Z,"Wordle (ES)  #119 6/6 Regulinchi,pero conseguido al fin y al cabo.

⬜🟨⬜⬜🟨
⬜🟩⬜🟨🟨
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/Y6e7fU1I2D",Twitter for Android,1522084595767914496,everyone,"{'urls': [{'start': 105, 'end': 128, 'url': 'https://t.co/Y6e7fU1I2D', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",54134167,,,,
1522084594299949056,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:40.000Z,"Wordle 320 X/6
#Wordle #Wordle320
It came down to a guessing game. Too many words to choose from this time! 😒
⬛⬛⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩",Twitter for iPhone,1522084594299949056,everyone,"{'hashtags': [{'start': 15, 'end': 22, 'tag': 'Wordle'}, {'start': 23, 'end': 33, 'tag': 'Wordle320'}]}",33154820,,,,
1522084587916169218,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:39.000Z,"Wordle 320 5/6*

🟨⬛⬛⬛🟨
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1522084587916169218,everyone,,61252231,,,,
1522084584346763264,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:38.000Z,"Wordle (ES)  #119 4/6

🟨⬜⬜🟨⬜
⬜🟩⬜⬜🟩
⬜🟨🟨⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/8zXoHCIxw1",Twitter for Android,1522084584346763264,everyone,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/8zXoHCIxw1', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",3556094595,,,,
1522084581461139459,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:37.000Z,"Wordle 320 3/6

⬜🟨🟨⬜⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩🟩

I'm on fire.",Twitter Web App,1522084581461139459,everyone,,37351199,,,,
1522084570891436038,False,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:35.000Z,"RT @caitviplskiss: eat my penis 🖕🏼🖕🏼🖕🏼
Wordle 320 X/6

⬛🟩🟨⬛⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩",Penis Bot v2.0,1522084570891436038,everyone,"{'mentions': [{'start': 3, 'end': 17, 'username': 'caitviplskiss', 'id': '1520601690776473600'}]}",961673035534295045,"[{'type': 'retweeted', 'id': '1522084519800619008'}]",,,
1522084562733572098,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:33.000Z,"Wordle (ES)  #119 4/6

🟨⬜⬜⬜🟨
⬜⬜⬜⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/bCulyfX2j9",Twitter for iPhone,1522084562733572098,everyone,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/bCulyfX2j9', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",361932104,,,,
1522084560971911171,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:32.000Z,"Wordle 320 6/6

⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1522084560971911171,everyone,,3004116784,,,,
1522084555741704192,False,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}","[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1517623051860414465', 'name': 'World Environment Day'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:31.000Z,"Who’d have known that today's Wordle has 5 (yes 5) entries listed in the OED online? 
OK, pretty sure Susie Dent would. I could think of a couple, but neither is in the OED 😆

Wordle 320 6/6

🟨⬜⬜⬜🟨
⬜🟨⬜🟩⬜
⬜🟩⬜🟩🟩
🟨🟩⬜🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPad,1522084555741704192,everyone,"{'annotations': [{'start': 102, 'end': 111, 'probability': 0.7166, 'type': 'Person', 'normalized_text': 'Susie Dent'}]}",283437034,,,,
1522084554537906177,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-05T05:23:31.000Z,"Wordle 320 X/6

⬛🟨⬛⬛🟨
⬛🟩🟨🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩 

Frustrating",Twitter for Android,1522084554537906177,everyone,,476970646,,,,
