id,source,lang,reply_settings,context_annotations,conversation_id,text,author_id,possibly_sensitive,created_at,public_metrics,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1522076420909912064,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076420909912064,"Wordle 320 2/6

🟨🟩⬛⬛🟩
🟩🟩🟩🟩🟩",1351999543898849281,False,2022-05-05T04:51:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,,
1522076420524105730,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076420524105730,"Wordle 320 X/6

⬜🟨⬜🟨⬜
🟨⬜⬜🟨🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩FFS",370733054,False,2022-05-05T04:51:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,,
1522076417554538496,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076417554538496,"Wordle 320 6/6

⬛⬛⬛🟩🟩
⬛⬛⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",1359074372695314432,False,2022-05-05T04:51:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,,
1522076412072497153,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076412072497153,"Wordle 320 3/6

⬛⬛⬛⬛⬛
🟨🟩⬛🟩⬛
🟩🟩🟩🟩🟩",3579235642,False,2022-05-05T04:51:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,,
1522076411456073728,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076411456073728,"Wordle (ES)  #119 5/6

⬜⬜⬜⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/S0WvKU7tJU",193038339,False,2022-05-05T04:51:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/S0WvKU7tJU', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522076406091599873,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522024208775417856,"@mbala68 #Wordle320 4/6 #Wordle

Some days you win, some days you lose. #life

⬛⬛⬛🟩⬛
⬛🟩⬛🟩⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",2169985837,False,2022-05-05T04:51:08.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","{'hashtags': [{'start': 9, 'end': 19, 'tag': 'Wordle320'}, {'start': 24, 'end': 31, 'tag': 'Wordle'}, {'start': 72, 'end': 77, 'tag': 'life'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'mbala68', 'id': '63161581'}]}","[{'type': 'replied_to', 'id': '1522024208775417856'}]",63161581,,
1522076405198213121,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076405198213121,"Wordle 320 6/6

⬛🟩🟨⬛⬛
🟨🟩⬛⬛🟨
⬛🟩⬛🟩⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩

I fucking hate ya'll.",3235261081,False,2022-05-05T04:51:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,,
1522076395651801088,Twitter Web App,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1482669808261156868,"Wordle 320 4/6

⬛⬛⬛⬛🟨
⬛🟨🟨⬛🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",1481374144499707904,False,2022-05-05T04:51:06.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,"[{'type': 'replied_to', 'id': '1521852389409521664'}]",1481374144499707904,,
1522076383635288064,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076383635288064,"Wordle 320 4/6 CARTOONS🥲

⬛⬛⬛🟨⬛
⬛🟩⬛⬛🟨
⬛🟩🟨🟩⬛
🟩🟩🟩🟩🟩",253685150,False,2022-05-05T04:51:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,,
1522076380145537024,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076380145537024,"Wordle (ES)  #119 5/6

🟨⬜⬜⬜⬜
🟩⬜🟩⬜🟩
🟩🟩🟩⬜⬜
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/DdRB0PdIFZ",3023896419,False,2022-05-05T04:51:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/DdRB0PdIFZ', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522076375049515008,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076375049515008,"Wordle (ES)  #119 5/6

⬜⬜⬜⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/dvgP83ZaCf",133911668,False,2022-05-05T04:51:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/dvgP83ZaCf', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522076371513659392,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1522076371513659392,"Wordle 320 4/6

⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩",271896229,False,2022-05-05T04:51:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,,,
1522076338647142403,TweetDeck,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1478272174234476544,"Wordle 320 4/6*

⬛🟨⬛⬛⬛
🟨🟩⬛🟩⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩",319988364,False,2022-05-05T04:50:52.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,"[{'type': 'replied_to', 'id': '1521702056775585793'}]",319988364,,
