id,reply_settings,source,possibly_sensitive,lang,context_annotations,text,author_id,created_at,public_metrics,conversation_id,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1522011081731883009,everyone,Twitter Web App,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 4/6

⬜⬜⬜🟨⬜
⬜🟩⬜🟩⬜
⬜🟩🟨⬜⬜
🟩🟩🟩🟩🟩",400143043,2022-05-05T00:31:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522011081731883009,,,,,
1522011072282169344,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle (ES)  #118 5/6

⬜⬜🟨🟨⬜
⬜🟨🟩🟨🟨
⬜🟩🟩🟨🟨
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/8VOFDemyFT",162898759,2022-05-05T00:31:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1522011072282169344,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/8VOFDemyFT', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522011057057071104,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","#Heardle #69
🔊🟩

🌎 May 5 #globle
🔥 4 | Avg.: 8.08
🟨⬜🟥🟥🟥🟥🟥🟥
🟥🟥🟩 = 11

#Framed #55
🎥 🟥🟥🟥🟥🟥🟩

#Moviedle #2022-05-04 
 🎥 🟥🟥🟩

 #Posterdle #2022-05-04 
 ⌛ 1️⃣6️⃣ seconds 
 🍿 🟩

#Wordle 320 5/6
⬛⬛⬛⬛🟨
🟩🟩⬛🟩⬛
🟩🟩⬛🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",1145556724947881984,2022-05-05T00:31:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",1522011057057071104,"{'hashtags': [{'start': 0, 'end': 8, 'tag': 'Heardle'}, {'start': 25, 'end': 32, 'tag': 'globle'}, {'start': 69, 'end': 76, 'tag': 'Framed'}, {'start': 91, 'end': 100, 'tag': 'Moviedle'}, {'start': 123, 'end': 133, 'tag': 'Posterdle'}, {'start': 172, 'end': 179, 'tag': 'Wordle'}]}",,,,
1522011050136129537,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 3/6

⬛⬛🟨⬛🟩
🟨⬛⬛🟩🟩
🟩🟩🟩🟩🟩",31047897,2022-05-05T00:31:26.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",1488198394703409152,,"[{'type': 'replied_to', 'id': '1521642746011742210'}]",31047897,,
1522011036576104449,everyone,on TheWorld,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 X/6

🟨⬜⬜⬜🟨
⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩",246663955,2022-05-05T00:31:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1522011036576104449,,,,,
1522011019778101248,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 4/6

⬜⬜⬜🟩🟩
⬜🟩⬜⬜⬜
⬜🟨⬜🟨⬜
🟩🟩🟩🟩🟩

(´・∀・｀)",561730417,2022-05-05T00:31:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522011019778101248,,,,,
1522011019614121984,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle Tildes #65 5/6

🟨🟨⬜⬜🟨⬜⬜
⬜🟨🟩🟨🟨⬜⬜
⬜⬜🟩⬜⬜🟨🟨
⬜⬜🟩🟨🟨🟩🟩
🟩🟩🟩🟩🟩🟩🟩
 https://t.co/YMflLqmNOS",617727129,2022-05-05T00:31:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522011019614121984,"{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/YMflLqmNOS', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",,,,
1522011004670210049,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 5/6

⬛⬛🟨⬛⬛
⬛🟩⬛⬛⬛
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1261836501526081536,2022-05-05T00:31:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1522011004670210049,,,,,
1522010994570006529,everyone,Twitter for iPhone,False,ja,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 5/6

⬛🟨🟨🟨⬛
🟩🟩⬛🟨⬛
🟩🟩⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩

ダサめの攻め",1412356187337625602,2022-05-05T00:31:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522010994570006529,,,,,
1522010989088194560,everyone,Twitter Web App,True,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle (ES)  #118 4/6

🟨⬜⬜⬜⬜
⬜⬜🟨🟨🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/XIpP6qC5FA",1383277029458546695,2022-05-05T00:31:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522010989088194560,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/XIpP6qC5FA', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522010985107623937,everyone,Twitter for iPad,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 319 4/6

🟩⬜🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",565577890,2022-05-05T00:31:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522010985107623937,,,,,
1522010984596250624,everyone,Twitter for iPhone,False,ja,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","最近好調
Wordle 320 3/6

⬜🟨🟨🟨🟨
🟩🟨🟨🟨⬜
🟩🟩🟩🟩🟩",14733070,2022-05-05T00:31:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522010984596250624,,,,,
1522010983308623872,everyone,Twitter for iPhone,False,ja,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 6/6

⬜🟨⬜⬜⬜
⬜⬜⬜🟨⬜
🟨⬜🟨🟩🟩
🟩🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩

残り1文字のジレンマ",988694409142153216,2022-05-05T00:31:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522010983308623872,,,,,
1522010974227734533,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 320 6/6

⬜⬜⬜⬜🟨
⬜🟨⬜⬜⬜
⬜⬜🟨⬜🟨
⬜🟩⬜🟩🟩
🟨🟩⬜🟩🟩
🟩🟩🟩🟩🟩",509912962,2022-05-05T00:31:08.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1522010974227734533,,,,,
