id,created_at,reply_settings,conversation_id,possibly_sensitive,text,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,in_reply_to_user_id,entities,attachments,geo
1521994867328618497,2022-05-04T23:27:08.000Z,everyone,1521994867328618497,False,"Wordle 320 4/6

🟨🟩⬛🟩⬛
⬛🟨🟨⬛🟨
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩
Not actually a real word.",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",124457317,en,,,,,
1521994862756872194,2022-05-04T23:27:07.000Z,everyone,1521994679092269057,False,"Wordle Científico #52 6/6
⬜🟨⬜🟨🟨
🟨🟩⬜🟩⬜
⬜🟩🟩🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩 

Wordle Contrarreloj #10
6️⃣❌3️⃣
3️⃣4️⃣❌",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",43427850,en,"[{'type': 'replied_to', 'id': '1521994679092269057'}]",43427850,,,
1521994857933385728,2022-05-04T23:27:06.000Z,everyone,1480490559517114370,False,"@david_streather @Brunginho @Maccers_5 @_Barkles_ @AlexVRJones @ben @GaryLineker @garylineker12 @Lee_Bowyer Wordle 320 4/6*

🟨🟩⬜⬜⬜
⬜🟩⬜🟩🟨
⬜🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809506683445645312', 'name': 'Gary Lineker', 'description': 'Gary Lineker'}}, {'domain': {'id': '92', 'name': 'Sports Personality', 'description': ""A Sports Personality like 'Skip Bayless'""}, 'entity': {'id': '809506683445645312', 'name': 'Gary Lineker', 'description': 'Gary Lineker'}}, {'domain': {'id': '92', 'name': 'Sports Personality', 'description': ""A Sports Personality like 'Skip Bayless'""}, 'entity': {'id': '1202239681422774272', 'name': 'Sports icons'}}]",1493982953705197577,en,"[{'type': 'replied_to', 'id': '1521778695815450626'}]",839079510880501760,"{'mentions': [{'start': 0, 'end': 16, 'username': 'david_streather', 'id': '839079510880501760'}, {'start': 17, 'end': 27, 'username': 'Brunginho', 'id': '19839862'}, {'start': 28, 'end': 38, 'username': 'Maccers_5', 'id': '544630430'}, {'start': 39, 'end': 49, 'username': '_Barkles_', 'id': '239525179'}, {'start': 50, 'end': 62, 'username': 'AlexVRJones', 'id': '321002769'}, {'start': 63, 'end': 67, 'username': 'ben', 'id': '16496308'}, {'start': 68, 'end': 80, 'username': 'GaryLineker', 'id': '471287735'}, {'start': 81, 'end': 95, 'username': 'garylineker12', 'id': '2998310851'}, {'start': 96, 'end': 107, 'username': 'Lee_Bowyer', 'id': '234421359'}]}",,
1521994853227417600,2022-05-04T23:27:04.000Z,everyone,1521994853227417600,False,"D'oh!
Wordle 320 X/6

⬛⬛⬛🟨🟨
⬛🟨🟨⬛⬛
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩",Twitter Web App,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}","[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1517623051860414465', 'name': 'World Environment Day'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1454581713401696262,en,,,,,
1521994840766140416,2022-05-04T23:27:01.000Z,everyone,1521994840766140416,False,"Wordle 320 4/6

⬜⬜🟨⬜🟨
⬜🟨⬜🟨🟨
🟩⬜🟩🟨🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",31474731,en,,,,,
1521994828543836160,2022-05-04T23:26:59.000Z,everyone,1521994828543836160,False,"Wordle 320 5/6

🟩🟩⬛🟩⬛
🟩🟩⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",820717653996306432,en,,,,,
1521994826417577984,2022-05-04T23:26:58.000Z,everyone,1521994826417577984,False,"Wordle 320 5/6

⬜⬜⬜🟩⬜
⬜🟨⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2859936410,en,,,,,
1521994823917801472,2022-05-04T23:26:57.000Z,everyone,1521994823917801472,False,"RT @Lau_8c: @albolt76 @dawardle Wordle 320 5/6

⬜🟨⬜⬜🟨
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩 https://t.co/R9AyOYmm4P",Twitter Web App,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1160130818678972416,en,"[{'type': 'retweeted', 'id': '1521993974260674561'}]",,"{'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/R9AyOYmm4P', 'expanded_url': 'https://twitter.com/Lau_8c/status/1521993974260674561/photo/1', 'display_url': 'pic.twitter.com/R9AyOYmm4P', 'media_key': '16_1521993961958690817'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'Lau_8c', 'id': '59078991'}, {'start': 12, 'end': 21, 'username': 'albolt76', 'id': '1160130818678972416'}, {'start': 22, 'end': 31, 'username': 'dawardle', 'id': '1165789231'}]}",{'media_keys': ['16_1521993961958690817']},
1521994811212972032,2022-05-04T23:26:54.000Z,everyone,1521915214211559424,False,"@ugurses Bu da 6 lı

Wordle Türkçe (6'lı) #wordle6 #wordleTR 319 3/6

⬛🟨⬛⬛⬛⬛
⬛🟨🟨⬛⬛🟩
🟩🟩🟩🟩🟩🟩

 https://t.co/boZuNULQIQ",Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1390491144593739778,tr,"[{'type': 'replied_to', 'id': '1521915214211559424'}]",42670667,"{'hashtags': [{'start': 42, 'end': 50, 'tag': 'wordle6'}, {'start': 51, 'end': 60, 'tag': 'wordleTR'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/boZuNULQIQ', 'expanded_url': 'http://wordle6.acikbilim.com', 'display_url': 'wordle6.acikbilim.com'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'ugurses', 'id': '42670667'}]}",,
1521994788958085120,2022-05-04T23:26:49.000Z,everyone,1521994788958085120,False,"Wordle 320 6/6

⬛🟨⬛⬛🟨
🟩🟨⬛🟨⬛
🟩⬛⬛🟩🟩
🟩⬛⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2591326428,en,,,,,
