id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,entities,conversation_id,reply_settings,author_id,referenced_tweets,in_reply_to_user_id,attachments,geo
1521883624983117824,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",ja,2022-05-04T16:05:06.000Z,"ポケモンWordle 9/10

⬛⬛⬛⬛⬛  ⬛⬛⬛⬛⬛
⬛⬛🟨⬛⬛  ⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛  🟨🟨⬛⬛⬛
⬛⬛⬛🟨⬛  🟩🟩🟩🟩🟩
⬛⬛⬛⬛⬛

https://t.co/HYKk59XLEp
 #ポケモンWordle",Twitter for iPhone,"{'hashtags': [{'start': 101, 'end': 112, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/HYKk59XLEp', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",1521883624983117824,everyone,93239076,,,,
1521883621640241152,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:05.000Z,"Wordle 320 6/6*

⬛⬛🟨⬛⬛
🟨⬛⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",TweetDeck,,1521883621640241152,everyone,1282985596802088962,,,,
1521883620511780869,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:05.000Z,"Wordle 319 5/6

🟨⬜🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,,1521883620511780869,everyone,26417779,,,,
1521883616489271296,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:04.000Z,"Wordle 320 5/6

🟨⬜🟨⬜⬜
⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter Web App,,1521883616489271296,everyone,108572098,,,,
1521883613469581314,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:03.000Z,"Wordle 319 6/6

⬜⬜🟩🟨⬜
⬜⬜🟩🟨⬜
🟨⬜🟩⬜⬜
⬜🟨🟩🟨⬜
⬜🟨🟩🟨⬜
🟩🟩🟩🟩🟩",Twitter Web App,,1521883613469581314,everyone,2802632911,,,,
1521883611204517889,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",und,2022-05-04T16:05:02.000Z,"#Wordle 320 5/6

⬜⬜⬜🟩⬜
⬜⬜🟨🟩⬜
⬜🟨⬜⬜🟨
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'hashtags': [{'start': 0, 'end': 7, 'tag': 'Wordle'}]}",1521883611204517889,everyone,1456531916,,,,
1521883609946284032,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:02.000Z,"Wordle 319 3/6

⬛🟩⬛🟨⬛
⬛⬛🟨🟨🟨
🟩🟩🟩🟩🟩",Twitter for Android,,1521883609946284032,everyone,1189520489120763904,,,,
1521883607274786817,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:01.000Z,"Wordle 320 X/6

⬛🟨⬛⬛⬛
🟨🟩⬛⬛⬛
⬛🟩⬛🟨⬛
🟨🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟩🟩🟨⬛🟨",Twitter for Android,,1521883607274786817,everyone,1472804716132192260,,,,
1521883602090352643,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:00.000Z,"Wordle 319 2/6

⬜⬜⬜🟩⬜
🟩🟩🟩🟩🟩

Pretty proud of this. 😁",Twitter for iPhone,,1521883602090352643,everyone,27811471,,,,
1521883599787548672,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T16:05:00.000Z,"Wordle 320 3/6

⬛🟨🟨⬛🟩
🟨🟨⬛⬛🟨
🟩🟩🟩🟩🟩",Twitter for Android,,1521883599787548672,everyone,265356628,,,,
