id,conversation_id,public_metrics,entities,text,context_annotations,author_id,possibly_sensitive,created_at,source,lang,reply_settings,referenced_tweets,in_reply_to_user_id,attachments,geo
1521843491009142787,1521843491009142787,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/dbaCPZhMOM', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/'}], 'mentions': [{'start': 72, 'end': 86, 'username': 'etiennesverdu', 'id': '759925311504986115'}]}","Wordle (ES)  #118 4/6

🟩⬜🟨⬜🟩
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/dbaCPZhMOM
@etiennesverdu","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",609281675,False,2022-05-04T13:25:37.000Z,Twitter for iPhone,en,everyone,,,,
1521843469538447361,1521843469538447361,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/eXMEVV8tC8', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","Muy bien... Wordle (ES)  #118 5/6

⬜🟨⬜⬜⬜
🟨⬜⬜🟨⬜
🟩⬜⬜⬜🟩
🟩🟩⬜🟨⬜
🟩🟩🟩🟩🟩
 https://t.co/eXMEVV8tC8","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1172264918336385024,False,2022-05-04T13:25:32.000Z,Twitter for Android,es,everyone,,,,
1521843468263301121,1521843468263301121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 3/6

Literally so easy

🟨⬛⬛🟩⬛
⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1272683583287652352,False,2022-05-04T13:25:31.000Z,Twitter for iPhone,en,everyone,,,,
1521843459925196801,1521843459925196801,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 4/6

🟨⬛⬛🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",360304610,False,2022-05-04T13:25:29.000Z,Twitter for iPhone,en,everyone,,,,
1521843451964362752,1479825433315233795,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 4/6

⬜⬜🟩⬜⬜
⬜⬜🟨🟨🟨
⬜⬜🟨⬜⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",20793368,False,2022-05-04T13:25:28.000Z,Twitter for iPhone,en,everyone,"[{'type': 'replied_to', 'id': '1521483521717592066'}]",20793368,,
1521843445509197830,1521843445509197830,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,"Wordle 319 2/6

⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",197574566,False,2022-05-04T13:25:26.000Z,Twitter for iPhone,en,everyone,,,,
1521843436822962176,1521843436822962176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 4/6*

⬛⬛🟩⬛⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",33043842,False,2022-05-04T13:25:24.000Z,Twitter for iPhone,en,everyone,,,,
1521843425510887428,1521843425510887428,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 126, 'end': 149, 'url': 'https://t.co/J8uRR9CPZt', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'hashtags': [{'start': 67, 'end': 82, 'tag': 'FelizMiercoles'}, {'start': 151, 'end': 158, 'tag': 'Wordle'}, {'start': 159, 'end': 168, 'tag': 'WordleES'}, {'start': 169, 'end': 183, 'tag': 'WordleEspañol'}]}","Hoy sonó mi alarma y me volví a dormir... Pero sí llegué a tiempo. #FelizMiercoles

Wordle (ES)  #118 3/6

⬛⬛🟨🟩⬛
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/J8uRR9CPZt

#Wordle #WordleES #WordleEspañol","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '109', 'name': 'Reoccurring Trends', 'description': 'Twitter generated Trends that occur on a daily, weekly, monthly, or yearly basis'}, 'entity': {'id': '913875119423885313', 'name': '#HappyWednesday', 'description': '#HappyWednesday'}}]",96711940,False,2022-05-04T13:25:21.000Z,Twitter for Android,es,everyone,,,,
1521843424550432769,1521843424550432769,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 3/6

🟨⬛⬛🟩⬛
⬛🟨🟨🟩🟩
🟩🟩🟩🟩🟩

I’m like that 😤","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1108167315743490048,False,2022-05-04T13:25:21.000Z,Twitter for iPhone,en,everyone,,,,
1521843419009609730,1521843419009609730,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 6/6

⬛⬛🟨🟨⬛
🟩⬛⬛⬛⬛
🟩⬛⬛⬛🟨
🟩🟩🟨⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1413641388126732288,False,2022-05-04T13:25:20.000Z,Twitter for iPhone,en,everyone,,,,
1521843417437052934,1521843417437052934,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 5/6

⬜🟨⬜🟨⬜
⬜🟨⬜⬜🟨
🟩⬜⬜🟩🟨
🟩🟨⬜🟩🟨
🟩🟩🟩🟩🟩
セーフ！久しぶりにやったせいで勘が鈍ってるなこれ","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2492626740,False,2022-05-04T13:25:19.000Z,Twitter for iPhone,ja,everyone,,,,
1521843403159441408,1483074739576971273,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 5/6

⬜⬜⬜🟩🟨
🟨⬜⬜🟩⬜
🟨🟨⬜🟩🟨
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",266167879,False,2022-05-04T13:25:16.000Z,Twitter Web App,en,everyone,"[{'type': 'replied_to', 'id': '1521144117631369217'}]",266167879,,
1521843403046195201,1521843403046195201,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/6Hk4xixCJF', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","Wordle (ES)  #118 4/6

🟩⬜⬜⬜🟩
⬜⬜⬜🟨⬜
🟩🟩🟨⬜⬜
🟩🟩🟩🟩🟩
 https://t.co/6Hk4xixCJF","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",226720585,False,2022-05-04T13:25:16.000Z,Twitter for iPhone,en,everyone,,,,
1521843399355109378,1521843399355109378,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 3/6

⬜🟩⬜🟨⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",65193598,False,2022-05-04T13:25:15.000Z,Twitter for iPhone,en,everyone,,,,
1521843389846765569,1521843389846765569,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 3/6

⬛🟩⬛⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1043647866,False,2022-05-04T13:25:13.000Z,Twitter for iPhone,en,everyone,,,,
1521843386269024256,1521843386269024256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/7svOT1qXAI', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","Wordle (ES)  #118 2/6

🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/7svOT1qXAI","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1400559434510786569,False,2022-05-04T13:25:12.000Z,Twitter for Android,en,everyone,,,,
1521843382359891968,1521843382359891968,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/v6EIdywm23', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","Fue suerte
Wordle (ES)  #118 4/6

⬜⬜⬜⬜⬜
⬜🟩⬜🟨⬜
⬜⬜🟨⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/v6EIdywm23","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1447916273074118656,False,2022-05-04T13:25:11.000Z,Twitter Web App,en,everyone,,,,
1521843379671552001,1521843379671552001,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/P9JknhOyfK', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}], 'hashtags': [{'start': 73, 'end': 84, 'tag': 'ポケモンWordle'}]}","ポケモンWordle 5/10

⬛⬛⬛⬛⬛
⬛⬛⬛🟨⬛
🟨⬛⬛⬛⬛
⬛🟨⬛⬛⬛
🟩🟩🟩🟩🟩

https://t.co/P9JknhOyfK
 #ポケモンWordle","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",982567844050186240,False,2022-05-04T13:25:10.000Z,Twitter for Android,ja,everyone,,,,
1521843376395542529,1521843376395542529,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,"Wordle 319 5/6

⬛⬛🟨🟨⬛
🟩🟨⬛⬛⬛
🟩⬛🟨🟩⬛
🟩🟨⬛🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2754998239,False,2022-05-04T13:25:10.000Z,Twitter for iPhone,en,everyone,,,,
1521843371605741570,1521843371605741570,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"i am built different

Wordle 319 2/6

🟨⬜⬜🟩⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",627468928,False,2022-05-04T13:25:08.000Z,Twitter for Android,en,everyone,,,,
1521843366601936897,1521843366601936897,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/COeErvLJQN', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","Wordle (ES)  #118 4/6

🟩🟨⬜⬜⬜
🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/COeErvLJQN","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",957377531967168513,False,2022-05-04T13:25:07.000Z,Twitter for Android,en,everyone,,,,
1521843346829975552,1521838713969561601,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/luWegYrTxz', 'expanded_url': 'https://mywordle.strivemath.com/?word=zoilz&lang=sp', 'display_url': 'mywordle.strivemath.com/?word=zoilz&la…'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'UnionistasCF', 'id': '1665264812'}, {'start': 14, 'end': 23, 'username': 'WordleES', 'id': '1483085814422716419'}], 'hashtags': [{'start': 126, 'end': 135, 'tag': 'mywordle'}]}","@UnionistasCF @WordleES Wordle guessed in 3/6!
Can you do better?
Try this wordle: https://t.co/luWegYrTxz

⬜🟩⬜⬜🟨
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
#mywordle","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2589785872,False,2022-05-04T13:25:03.000Z,Twitter for Android,en,everyone,"[{'type': 'replied_to', 'id': '1521838713969561601'}]",1665264812,,
1521843346813161472,1521843346813161472,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/FiSFPHTUFz', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","Wordle (ES)  #118 4/6

⬜🟨⬜🟨🟨
🟩🟩⬜⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/FiSFPHTUFz","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2784350305,False,2022-05-04T13:25:03.000Z,Twitter for Android,en,everyone,,,,
1521843346448306179,1521843346448306179,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 2/6

⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1276693163470663685,False,2022-05-04T13:25:02.000Z,Twitter for iPad,en,everyone,,,,
1521843340303601665,1521843340303601665,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"I am no match for anyone 

Wordle 319 3/6

🟩⬛⬛🟨⬛
🟩⬛🟩🟨⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",37322693,False,2022-05-04T13:25:01.000Z,Twitter for iPhone,en,everyone,,,,
1521843338978209792,1497950031042723844,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","{'hashtags': [{'start': 14, 'end': 21, 'tag': 'wordle'}]}","Okay I’m back #wordle 

Wordle 319 3/6

⬜🟩⬜🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",76246452,False,2022-05-04T13:25:01.000Z,Echofon,en,everyone,"[{'type': 'replied_to', 'id': '1521070314326790144'}]",76246452,,
1521843337661227013,1521843337661227013,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 5/6

⬜🟨🟨⬜⬜
🟨⬜🟩⬜⬜
⬜⬜🟩🟨⬜
⬜🟩🟩🟨⬜
🟩🟩🟩🟩🟩

Chew chew !!","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",64631815,False,2022-05-04T13:25:00.000Z,Twitter for iPhone,en,everyone,,,,
1521843331470446592,1521843331470446592,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","{'urls': [{'start': 67, 'end': 90, 'url': 'https://t.co/yPSQhDOuzQ', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 6, 'end': 17, 'username': 'blaackbird', 'id': '181318675'}]}","Eso q @blaackbird
Se fue a trabajar
🟨⬜⬜⬜⬜
⬜⬜🟨⬜🟩
🟨🟩⬜⬜🟩
⬜🟩🟨🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/yPSQhDOuzQ",,1240770170433540103,False,2022-05-04T13:24:59.000Z,Twitter for Android,es,everyone,,,,
1521843326387126272,1521843326387126272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 5/6

⬜⬜🟩⬜⬜
⬜⬜⬜🟨🟨
⬜⬜🟨🟨⬜
🟩🟨⬜🟨🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",139229430,False,2022-05-04T13:24:58.000Z,Twitter for iPhone,en,everyone,,,,
1521843320934514689,1490486870710820866,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"まあまあかな🙄

Wordle 319 3/6
⬜🟨🟨🟨⬜
🟩🟨🟩🟨⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1311191447635243010,False,2022-05-04T13:24:56.000Z,Twitter for Android,ja,everyone,"[{'type': 'replied_to', 'id': '1521012585402753024'}]",1311191447635243010,,
1521843310054232070,1521843310054232070,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Too soon for miseries

Wordle 319 3/6

🟨🟨🟨⬜⬜
🟩⬜🟨🟨⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",108185105,False,2022-05-04T13:24:54.000Z,Twitter Web App,en,everyone,,,,
1521843303871827969,1481036245161713670,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle (ES)  #118 5/6

🟨⬜🟨🟨⬜
🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",102077396,False,2022-05-04T13:24:52.000Z,Twitter for iPhone,en,everyone,"[{'type': 'replied_to', 'id': '1521843302412308480'}]",102077396,,
1521843302412308480,1481036245161713670,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,"Wordle (ES)  #117 5/6

🟨⬜⬜⬜⬜
⬜🟨🟨⬜🟩
⬜🟩🟨⬜🟩
🟨🟩⬜🟨🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",102077396,False,2022-05-04T13:24:52.000Z,Twitter for iPhone,en,everyone,"[{'type': 'replied_to', 'id': '1521843300797489153'}]",102077396,,
1521843300797489153,1481036245161713670,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,"Wordle (ES)  #116 5/6

⬜🟨⬜⬜🟨
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",102077396,False,2022-05-04T13:24:52.000Z,Twitter for iPhone,en,everyone,"[{'type': 'replied_to', 'id': '1521843299451088897'}]",102077396,,
1521843298255740930,1521843298255740930,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 3/6

⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",385253714,False,2022-05-04T13:24:51.000Z,Twitter for iPhone,en,everyone,,,,
1521843297693716482,1481036245161713670,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,"Wordle (ES)  #114 5/6

🟩⬜🟨⬜⬜
🟩🟨⬜⬜🟨
🟩🟩⬜⬜🟩
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",102077396,False,2022-05-04T13:24:51.000Z,Twitter for iPhone,en,everyone,"[{'type': 'replied_to', 'id': '1519952378581204995'}]",102077396,,
1521843285974609920,1521843285974609920,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"Wordle 319 2/6

⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",55383223,False,2022-05-04T13:24:48.000Z,Twitter Web App,en,everyone,,,,
