id,created_at,reply_settings,conversation_id,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,geo,referenced_tweets,in_reply_to_user_id,attachments
1521736525205184512,2022-05-04T06:20:34.000Z,everyone,1521736525205184512,False,"Wordle (ES)  #118 4/6

⬜🟨🟨⬜⬜
🟩⬜🟨⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/A8ACrLMGWg","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/A8ACrLMGWg', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",153504365,en,,,,
1521736520671113216,2022-05-04T06:20:33.000Z,everyone,1521736520671113216,False,"Wordle (ES)  #118 4/6

🟩🟨⬜⬜⬜
🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/Qs9xukuJdG","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/Qs9xukuJdG', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",101558742,en,{'place_id': 'dd5ca53bdb47a1cb'},,,
1521736517458223104,2022-05-04T06:20:32.000Z,everyone,1521736517458223104,False,"Wordle 319 3/6

🟨⬛⬛🟩⬛
⬛🟨🟨🟩🟩
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",716618126,en,,,,
1521736514866192384,2022-05-04T06:20:32.000Z,everyone,1521736514866192384,False,"Wordle (ES)  #118 3/6

🟩⬜⬜⬜⬜
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/dkkN3ppWlJ","{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/dkkN3ppWlJ', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1155748010200113152,en,,,,
1521736509665259520,2022-05-04T06:20:31.000Z,everyone,1521736509665259520,False,"Wordle 319 4/6

🟨⬜🟨⬜⬜
🟩⬜🟨⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1247955045154525185,en,,,,
1521736509262602240,2022-05-04T06:20:30.000Z,everyone,1521736509262602240,False,"Choo choo!! 🤣🤣 #Wordle319
#dailywordleclub
Wordle 319 4/6

⬛🟨⬛🟨⬛
🟩⬛🟨⬛⬛
🟩🟩🟩🟨⬛
🟩🟩🟩🟩🟩","{'hashtags': [{'start': 15, 'end': 25, 'tag': 'Wordle319'}, {'start': 26, 'end': 42, 'tag': 'dailywordleclub'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1481555074551799809,en,,,,
1521736503923204096,2022-05-04T06:20:29.000Z,everyone,1521736503923204096,False,"Wordle 319 3/6

⬜🟩⬜⬜⬜
🟩🟩🟨⬜⬜
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",200102690,en,,,,
1521736493802393600,2022-05-04T06:20:27.000Z,everyone,1521736493802393600,False,"choo choo
Wordle 319 4/6

🟨⬛⬛🟩⬛
⬛🟨🟨🟩⬛
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",370608682,en,,,,
1521736493408079872,2022-05-04T06:20:27.000Z,everyone,1521736493408079872,False,"Wordle 319 3/6

⬜🟩⬜⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1250634189877190656,en,,,,
1521736490614771712,2022-05-04T06:20:26.000Z,everyone,1521731372980834305,False,"@HinataFischkopp Hinatas Wördl 6/6

🤣🤣🤣
🟨⬜⬜🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

https://t.co/tvmBOvbtEX","{'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/tvmBOvbtEX', 'expanded_url': 'http://wordle.at/+du/?Hinata/BBcpHp', 'display_url': 'wordle.at/+du/?Hinata/BB…'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'HinataFischkopp', 'id': '1068804572863438848'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1054733124704395264,de,,"[{'type': 'replied_to', 'id': '1521731372980834305'}]",1068804572863438848,
