id,created_at,source,possibly_sensitive,lang,public_metrics,text,entities,conversation_id,reply_settings,author_id,context_annotations,in_reply_to_user_id,referenced_tweets,attachments,geo
1521713922813825024,2022-05-04T04:50:45.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Eat it. Not today.
Wordle 318 3/6

🟩⬛🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

#Wordle #Wordle318","{'hashtags': [{'start': 54, 'end': 61, 'tag': 'Wordle'}, {'start': 62, 'end': 72, 'tag': 'Wordle318'}]}",1521713922813825024,everyone,244403453,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713921895374849,2022-05-04T04:50:45.000Z,Twitter Web App,False,fr,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Le Mot (@WordleFR) #115 3/6

⬛⬛⬛⬛⬛
⬛🟩⬛🟨🟩
🟩🟩🟩🟩🟩

https://t.co/WmIeUNSgaG","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/WmIeUNSgaG', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 8, 'end': 17, 'username': 'WordleFR', 'id': '1480029602105995267'}]}",1521713921895374849,everyone,318301715,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713919433265152,2022-05-04T04:50:45.000Z,Twitter Web App,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","It's all bad news. 
But there's this...
Wordle 319 2/6

🟩⬜🟨⬜🟨
🟩🟩🟩🟩🟩",,1521713919433265152,everyone,1127410275102150657,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713918435115008,2022-05-04T04:50:44.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #118 4/6

🟨⬜🟨⬜⬜
🟩🟨⬜⬜⬜
🟩⬜🟨⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/qyuAkExn6p","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/qyuAkExn6p', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1521713918435115008,everyone,181014073,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713912525180928,2022-05-04T04:50:43.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #118 5/6

⬜🟨🟨⬜🟨
⬜🟩⬜🟨🟨
🟨🟩⬜🟨🟩
⬜🟩🟨🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/ECSL66Rc6O","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/ECSL66Rc6O', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1521713912525180928,everyone,1113774074818375681,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713910709207040,2022-05-04T04:50:43.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wow!

Wordle 319 2/6

⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩",,1521713910709207040,everyone,776204731391803392,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713910562582528,2022-05-04T04:50:43.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

🟨🟩⬛⬛⬛
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,1521713910562582528,everyone,1268940746184327169,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713897102794753,2022-05-04T04:50:39.000Z,Twitter for Android,False,und,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#WordleCAT 124 6/6

🟨🟨⬜⬜⬜
⬜⬜⬜🟨🟨
🟨⬜🟨🟨⬜
🟨🟨⬜🟨⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩

https://t.co/fBjrpVj0k5","{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/fBjrpVj0k5', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}]}",1521713897102794753,everyone,470564681,,,,,
1521713885291728896,2022-05-04T04:50:36.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #118 4/6

⬜🟨🟨⬜🟩
⬜⬜🟨🟨🟩
🟨🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/knNLCRXkBz","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/knNLCRXkBz', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1521713885291728896,everyone,1465466010,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521713881722335232,2022-05-04T04:50:36.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 319 3/6

⬜🟨🟩🟨⬜
🟨⬜🟩⬜🟨
🟩🟩🟩🟩🟩 

Not so bad today. 🧸😁",,1521713881722335232,everyone,4768409967,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
