id,created_at,reply_settings,conversation_id,possibly_sensitive,text,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,in_reply_to_user_id,attachments,entities,geo
1521702532338253824,2022-05-04T04:05:30.000Z,everyone,1521702532338253824,False,"Wordle 318 X/6

⬛🟨🟨⬛⬛
🟨🟩⬛⬛⬛
⬛🟩🟨⬛🟩
🟨⬛⬛⬛🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩

this is so fucked up",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1224564859997523969,en,,,,,
1521702528412532736,2022-05-04T04:05:29.000Z,everyone,1521702528412532736,False,"Wordle 319 4/6

🟩⬛⬛🟨⬛
⬛⬛⬛⬛⬛
⬛⬛🟩🟨⬛
🟩🟩🟩🟩🟩

yes",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3309748245,en,,,,,
1521702527074549761,2022-05-04T04:05:28.000Z,everyone,1521702527074549761,False,"Wordle 319 3/6

⬛⬛🟩⬛⬛
⬛🟨⬛🟨🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2976470393,en,,,,,
1521702526390788098,2022-05-04T04:05:28.000Z,everyone,1481130989413933056,False,"Wordle 319 2/6*

🟩⬛🟩🟨⬛
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1181814623328030720,en,"[{'type': 'replied_to', 'id': '1521363351066058752'}]",1181814623328030720,,,
1521702523916087296,2022-05-04T04:05:28.000Z,everyone,1521702523916087296,False,"Wordle 319 3/6

🟨⬛⬛🟩⬛
⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩 https://t.co/F2pARnSPyK",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",14517052,en,,,{'media_keys': ['16_1521702517310205953']},"{'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/F2pARnSPyK', 'expanded_url': 'https://twitter.com/Xenomiggs/status/1521702523916087296/photo/1', 'display_url': 'pic.twitter.com/F2pARnSPyK', 'media_key': '16_1521702517310205953'}]}",
1521702520036466689,2022-05-04T04:05:27.000Z,everyone,1479715733206622216,False,"@alex11010011 @daemian_r @birdsbelles @drfrostt_ @squishypill @sunnysalads @radvxzdoobees @rob_locklear @LilCamhz Wordle 319 4/6

⬛🟨⬛⬛⬛
⬛🟨⬛🟩⬛
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1000421140010098688,en,"[{'type': 'replied_to', 'id': '1521701841582571520'}]",1166532836158918656,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'alex11010011', 'id': '1166532836158918656'}, {'start': 14, 'end': 24, 'username': 'daemian_r', 'id': '1053072059994120192'}, {'start': 25, 'end': 37, 'username': 'birdsbelles', 'id': '1135668002463145985'}, {'start': 38, 'end': 48, 'username': 'drfrostt_', 'id': '838160941808238595'}, {'start': 49, 'end': 61, 'username': 'squishypill', 'id': '1090996992417976320'}, {'start': 62, 'end': 74, 'username': 'sunnysalads', 'id': '1451010806661861376'}, {'start': 75, 'end': 89, 'username': 'radvxzdoobees', 'id': '984094681972789248'}, {'start': 90, 'end': 103, 'username': 'rob_locklear', 'id': '1099096931379355650'}, {'start': 104, 'end': 113, 'username': 'LilCamhz', 'id': '1463242158681456645'}]}",
1521702518753050626,2022-05-04T04:05:26.000Z,everyone,1521702518753050626,False,"Wordle 319 2/6

⬛🟩⬛🟩🟨
🟩🟩🟩🟩🟩AYEEE",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1087144941531348992,en,,,,,
1521702517440237568,2022-05-04T04:05:26.000Z,everyone,1481176614885113862,False,"Wordle 319 4/6

⬛⬛🟩🟨🟨
🟩🟩🟩⬛⬛
⬛⬛⬛🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",95997334,en,"[{'type': 'replied_to', 'id': '1521352551807004675'}]",95997334,,,
1521702516664246272,2022-05-04T04:05:26.000Z,everyone,1521702516664246272,False,"Wordle 319 2/6

⬜🟩⬜🟨⬜
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",35220918,en,,,,,
1521702516026748928,2022-05-04T04:05:26.000Z,everyone,1521702516026748928,False,"Wordle (ES)  #118 4/6

🟨🟨⬜⬜⬜
🟩🟨🟩🟨⬜
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/nlW43OGuMY",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",56711196,en,,,,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/nlW43OGuMY', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",
1521702514403459073,2022-05-04T04:05:25.000Z,everyone,1521702514403459073,False,"Back on the right track. Wordle 319 3/6

⬜🟩🟨⬜⬜
⬜🟩⬜🟩⬜
🟩🟩🟩🟩🟩",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",861604226,en,,,,,
1521702505620676608,2022-05-04T04:05:23.000Z,everyone,1521702505620676608,False,"Wordle 319 3/6

⬛⬛⬛🟩⬛
⬛⬛⬛🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1301668768507146240,en,,,,,
