id,created_at,reply_settings,conversation_id,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,in_reply_to_user_id,geo,attachments
1521653704989892608,2022-05-04T00:51:28.000Z,everyone,1521653704989892608,False,"Wordle (ES)  #117 6/6

⬜⬜🟨⬜🟩
⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/RL6XInZ8BR

Casi me he fallado","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/RL6XInZ8BR', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",183895910,en,,,,
1521653688216870913,2022-05-04T00:51:24.000Z,everyone,1521653688216870913,False,"Wordle 318 3/6
Game 111/104
🟩⬛⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",17621883,en,,,,
1521653669338677248,2022-05-04T00:51:20.000Z,everyone,1512840230428364802,False,"Wordle 319 6/6

⬛🟨🟩🟨⬛
⬛⬛🟩⬛⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1292319508099604480,en,"[{'type': 'replied_to', 'id': '1520178576070307840'}]",1292319508099604480,,
1521653665865498624,2022-05-04T00:51:19.000Z,everyone,1521653665865498624,False,"ポケモンWordle 3/10

⬛⬛⬛⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩

https://t.co/5FdTzYAfTC
 #ポケモンWordle","{'hashtags': [{'start': 61, 'end': 72, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/5FdTzYAfTC', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",1245480663102279681,ja,,,,
1521653662510202888,2022-05-04T00:51:18.000Z,everyone,1521653662510202888,False,"Wordle 318 6/6

⬛🟨⬛⬛⬛
⬛⬛🟩⬛⬛
⬛🟨🟩⬛⬛
🟨🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩#wordle","{'hashtags': [{'start': 51, 'end': 58, 'tag': 'wordle'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1519018104910716931,en,,,,
1521653661759332353,2022-05-04T00:51:18.000Z,everyone,1521653661759332353,False,"Wordle 318 4/6

⬛🟨🟨⬛⬛
⬛⬛⬛⬛🟩
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩 what a situation!!",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",94123823,en,,,,
1521653652162760709,2022-05-04T00:51:16.000Z,everyone,1521653652162760709,False,"Wordle 318 2/6

🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
Woohoo!! My best so far 😉",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",348666120,en,,,,
1521653632982470656,2022-05-04T00:51:11.000Z,everyone,1471944096818163712,False,"@DrDreHistorian BAHAHA trust you.

I was happy with a rare 2.
Wordle 319 2/6

⬜🟩⬜🟨🟨
🟩🟩🟩🟩🟩","{'mentions': [{'start': 0, 'end': 15, 'username': 'DrDreHistorian', 'id': '703068717039497216'}]}",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",73533194,en,"[{'type': 'replied_to', 'id': '1521651698925641729'}]",703068717039497216,,
1521653612878786560,2022-05-04T00:51:06.000Z,everyone,1521653612878786560,False,"Wordle 319 2/6
🥳🥳🥳
⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1475343936918933506,en,,,,
1521653600971280387,2022-05-04T00:51:04.000Z,everyone,1521647087766720514,False,"@StephanieReste5 That’s awesome! I got hung up and went down the wrong path - 5/6 for me. Have a great night!  Wordle 318 5/6

⬜⬜🟨🟩⬜
🟨⬜⬜🟩⬜
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩","{'mentions': [{'start': 0, 'end': 16, 'username': 'StephanieReste5', 'id': '1359994092474744833'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1046028783566934021,en,"[{'type': 'replied_to', 'id': '1521652616924647424'}]",1359994092474744833,,
