id,in_reply_to_user_id,entities,lang,text,referenced_tweets,created_at,conversation_id,possibly_sensitive,context_annotations,public_metrics,source,author_id,reply_settings,geo,attachments
1521634990974459904,1436419792760672259,"{'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/fdhua7bjNC', 'expanded_url': 'https://www.bundle.app/wordle-tr/', 'display_url': 'bundle.app/wordle-tr/'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'osmanagayedek', 'id': '1436419792760672259'}, {'start': 15, 'end': 25, 'username': 'HalukSait', 'id': '1251403295270285318'}, {'start': 26, 'end': 36, 'username': 'sklorit69', 'id': '1497811646269505536'}, {'start': 37, 'end': 45, 'username': 'alfurdu', 'id': '1423562418098163714'}]}",tr,"@osmanagayedek @HalukSait @sklorit69 @alfurdu Wordle Türkçe 319 4/6

⬛⬛🟨🟨⬛
🟩🟨🟨⬛⬛
🟩⬛⬛🟩🟩
🟩🟩🟩🟩🟩

https://t.co/fdhua7bjNC","[{'type': 'replied_to', 'id': '1521597373683806214'}]",2022-05-03T23:37:07.000Z,1502153078916587521,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android,1098993810862948352,everyone,,
1521634987585712128,,,en,"Wordle 319 4/6

⬜🟨🟨⬜🟨
⬜🟩⬜🟨🟨
🟩🟩🟩🟨⬜
🟩🟩🟩🟩🟩",,2022-05-03T23:37:06.000Z,1521634987585712128,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,109176495,everyone,,
1521634973576572929,,,en,"Wordle 319 4/6

⬛🟩🟨⬛⬛
⬛🟩⬛🟩⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩
Gene will like this one",,2022-05-03T23:37:02.000Z,1521634973576572929,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,791799329342230528,everyone,,
1521634965922119683,,"{'hashtags': [{'start': 0, 'end': 7, 'tag': 'Wordle'}]}",und,"#Wordle 319 3/6

⬛🟩⬛⬛⬛
⬛🟩🟨🟨⬛
🟩🟩🟩🟩🟩",,2022-05-03T23:37:01.000Z,1521634965922119683,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,241107771,everyone,,
1521634944971206656,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'RubberQB', 'id': '1288531566474530822'}]}",en,"RT @RubberQB: Wordle 286 3/6

⬜⬜🟩⬜🟩
⬜⬜🟨🟨⬜
🟩🟩🟩🟩🟩

TF of the day:
Today you are a bulbasaur.
Your bulb is shaped like a sprawling cabbage, an…","[{'type': 'retweeted', 'id': '1509639103377195009'}]",2022-05-03T23:36:56.000Z,1521634944971206656,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1407050834454757379,everyone,,
1521634937715281922,1304130091350470662,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Taddywah', 'id': '1304130091350470662'}]}",en,"@Taddywah Wordle 319 3/6

🟩⬛🟩🟨⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩 nice","[{'type': 'replied_to', 'id': '1521630783487758339'}]",2022-05-03T23:36:54.000Z,1521630783487758339,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1242570755172454400,everyone,,
1521634930098327552,,,en,"Wordle 319 4/6

⬜⬜🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",,2022-05-03T23:36:52.000Z,1521634930098327552,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,265684172,everyone,,
1521634908283842560,,,en,"Wordle 319 3/6

🟨⬜⬜🟩⬜
⬜🟨🟨🟩⬜
🟩🟩🟩🟩🟩",,2022-05-03T23:36:47.000Z,1521634908283842560,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,42248473,everyone,,
1521634893343735816,,,en,"Wordle 319 4/6

⬛⬛🟨⬛⬛
⬛⬛⬛⬛🟩
⬛🟨⬛🟨🟩
🟩🟩🟩🟩🟩",,2022-05-03T23:36:43.000Z,1521634893343735816,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,20186962,everyone,,
1521634893280813057,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/LN3hfe0yqz', 'expanded_url': 'https://www.bundle.app/wordle-tr/', 'display_url': 'bundle.app/wordle-tr/', 'status': 200, 'title': 'Wordle Türkçe - Günlük Kelime Oyunu', 'description': ""Wordle Türkçe Bundle'da! Her gün yeni, 5 harfli bulmacayı 6 denemede bulun. Bugünün Wordle bulmacasını çözmek için hemen tıklayın."", 'unwound_url': 'https://www.bundle.app/wordle-tr/'}]}",tr,"Wordle Türkçe 319 3/6

⬜⬜🟩⬜⬜
⬜🟨🟩⬜⬜
🟩🟩🟩🟩🟩

https://t.co/LN3hfe0yqz",,2022-05-03T23:36:43.000Z,1521634893280813057,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1234459220059336706,everyone,,
1521634889036091395,,"{'mentions': [{'start': 3, 'end': 13, 'username': 'BCReality', 'id': '2233495160'}]}",en,"RT @BCReality: Wordle 317 6/6

⬛🟨⬛⬛🟨
🟩⬛⬛⬛🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","[{'type': 'retweeted', 'id': '1521329616467623936'}]",2022-05-03T23:36:42.000Z,1521634889036091395,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1519795194069143563,everyone,,
1521634885118570496,,,en,"Wordle 318 4/6

⬛⬛🟨⬛⬛
⬛🟨⬛🟨⬛
⬛🟩⬛⬛🟨
🟩🟩🟩🟩🟩",,2022-05-03T23:36:41.000Z,1521634885118570496,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,196704331,everyone,,
1521634880316219393,,,en,"Wordle 318 3/6

🟨⬛🟩⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩",,2022-05-03T23:36:40.000Z,1521634880316219393,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,19413617,everyone,,
1521634864868761602,,"{'mentions': [{'start': 53, 'end': 69, 'username': 'karthickkrishna', 'id': '15882332'}]}",en,"Wordle 319 6/6

⬜⬜⬜🟨🟩
⬜⬜⬜🟨🟩
⬜⬜⬜⬜🟩
⬜🟨⬜⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

@karthickkrishna",,2022-05-03T23:36:37.000Z,1521634864868761602,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,139657027,everyone,,
1521634862373175297,,,en,"Wordle 319 4/6

⬜⬜⬜⬜⬜
🟩⬜🟨⬜⬜
🟩🟩🟨🟨⬜
🟩🟩🟩🟩🟩",,2022-05-03T23:36:36.000Z,1521634862373175297,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,142966411,everyone,,
1521634861332713473,,,en,"Wordle 319 2/6

⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩",,2022-05-03T23:36:36.000Z,1521634861332713473,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,15085043,everyone,{'place_id': '03a5820911d90b76'},
1521634859910848513,,,en,"Wordle 319 2/6

🟩⬜🟨⬜🟨
🟩🟩🟩🟩🟩",,2022-05-03T23:36:35.000Z,1521634859910848513,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Tweetbot for iΟS,164839749,everyone,,
1521634852625342464,,,en,"Wordle 318 5/6

⬜🟨⬜⬜⬜
🟨⬜🟨⬜🟨
⬜🟨⬜🟨🟨
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",,2022-05-03T23:36:34.000Z,1521634852625342464,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1458159149846568960,everyone,,
1521634848691171328,,,en,"Wordle 318 2/6

🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩",,2022-05-03T23:36:33.000Z,1521634848691171328,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,738102793274195968,everyone,,
1521634840436744192,,,en,"Wordle 319 4/6

⬛⬛⬛🟩⬛
⬛🟩🟨🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩 Yuppieee, on 4th row and my niece loves those.",,2022-05-03T23:36:31.000Z,1521634840436744192,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 1}",Twitter for iPhone,253743345,everyone,,
1521634824234336256,,,en,"Wordle 319 2/6

⬜🟨⬜⬜🟩
🟩🟩🟩🟩🟩
!",,2022-05-03T23:36:27.000Z,1521634824234336256,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,14430559,everyone,,
1521634820895477786,,,en,"Wordle 319 2/6

⬜🟩⬜🟨⬜
🟩🟩🟩🟩🟩",,2022-05-03T23:36:26.000Z,1521634820895477786,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2219731562,everyone,,
1521634816378261504,14681314,,en,"Wordle 318 5/6

⬛⬛⬛⬛⬛
⬛⬛🟨🟨⬛
⬛🟨⬛⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩","[{'type': 'replied_to', 'id': '1521315644867858438'}]",2022-05-03T23:36:25.000Z,1484676405652865034,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,14681314,everyone,,
