id,conversation_id,public_metrics,text,context_annotations,author_id,possibly_sensitive,created_at,source,lang,reply_settings,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1521549910801367040,1521549910801367040,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 318 6/6

⬛⬛⬛⬛⬛
⬛🟨🟩⬛⬛
🟨⬛🟩⬛⬛
⬛🟨🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩. Whew","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",977589519804518400,False,2022-05-03T17:59:02.000Z,Twitter for iPhone,en,everyone,,,,,
1521549907106140161,1521549907106140161,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Wordle 318 4/6

🟩⬛🟨⬛🟩
🟩⬛🟨⬛🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1383047840,False,2022-05-03T17:59:01.000Z,Twitter for iPhone,en,everyone,,,,,
1521549901104046081,1521549901104046081,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 318 3/6

⬛⬛🟨🟨⬛
⬛🟩⬛🟨⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",5875162,False,2022-05-03T17:59:00.000Z,Twitter for iPhone,en,everyone,,,,,
1521549892291903489,1521549892291903489,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 318 4/6

🟨⬛🟨⬛🟩
⬛⬛🟨🟨🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",377535719,False,2022-05-03T17:58:58.000Z,Twitter for Android,en,everyone,,,,,
1521549884658171905,1521549884658171905,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Casi que no 🥲Wordle (ES)  #117 6/6

⬜⬜⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/m7xEKsC7fZ",,32102813,False,2022-05-03T17:58:56.000Z,Twitter for Android,ca,everyone,"{'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/m7xEKsC7fZ', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521549875174858757,1521549875174858757,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","MAMÁ, YA FUI 1000ITAR Y AHORA SOY 100TIFIKO (?)
Wordle Científico #51 5/6

⬜⬜⬜⬜⬜⬜⬜
⬜🟨⬜⬜⬜⬜🟨
⬜🟨🟨🟩🟩⬜⬜
⬜🟩⬜⬜🟩⬜🟨
🟩🟩🟩🟩🟩🟩🟩
 https://t.co/051ewKHjgo","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1532558798,False,2022-05-03T17:58:53.000Z,Twitter Web App,es,everyone,"{'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/051ewKHjgo', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",,,,
1521549872851156992,1521549872851156992,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6*

⬛⬛🟨⬛⬛
⬛🟨🟩🟨⬛
🟩🟩🟩🟨⬛
🟩🟩🟩🟩🟩

久々にやった","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1406757914,False,2022-05-03T17:58:53.000Z,TweetDeck,ja,everyone,,,,,
1521549844665434113,1521549844665434113,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

⬛🟨🟨🟨⬛
⬛⬛⬛🟩⬛
⬛⬛🟨⬛⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",44659363,False,2022-05-03T17:58:46.000Z,Twitter for Android,en,everyone,,,,,
1521549844136951808,1521549844136951808,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 318 4/6

🟨🟨⬜⬜⬜
⬜🟩🟨⬜🟩
⬜🟩🟨⬜🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",778739081358356480,False,2022-05-03T17:58:46.000Z,Twitter for iPhone,en,everyone,,,,,
1521549829704339456,1521549829704339456,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 318 4/6

⬛🟨🟨⬛⬛
⬛⬛🟩⬛⬛
⬛⬛⬛⬛🟨
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",49484048,False,2022-05-03T17:58:43.000Z,Twitter for iPhone,en,everyone,,,,,
1521549821429141509,1521549821429141509,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 318 5/6

⬛🟩⬛⬛⬛
⬛🟩🟨⬛🟩
🟨🟩⬛⬛🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1177742941462372352,False,2022-05-03T17:58:41.000Z,Twitter for Android,en,everyone,,,,,
