id,created_at,reply_settings,conversation_id,possibly_sensitive,text,source,public_metrics,context_annotations,author_id,lang,attachments,entities,referenced_tweets,in_reply_to_user_id,geo
1521502662487056385,2022-05-03T14:51:17.000Z,everyone,1521502662487056385,False,"Wordle 318 2/6

これは神。初手強かった✌️
🟨🟩🟩⬜⬜
🟩🟩🟩🟩🟩",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1492115532593905670,ja,,,,,
1521502661048078336,2022-05-03T14:51:17.000Z,everyone,1521502661048078336,False,"Wordle 318 3/6

⬜🟨⬜⬜🟩
⬜⬜⬜🟩🟨
🟩🟩🟩🟩🟩 https://t.co/Y0KQC0g921",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1443697260190072832,en,{'media_keys': ['3_1521502631910277120']},"{'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/Y0KQC0g921', 'expanded_url': 'https://twitter.com/alansync/status/1521502661048078336/photo/1', 'display_url': 'pic.twitter.com/Y0KQC0g921', 'media_key': '3_1521502631910277120'}]}",,,
1521502655843119106,2022-05-03T14:51:15.000Z,everyone,1521502655843119106,False,"Wordle 318 2/6

🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",44766330,en,,,,,
1521502651711635456,2022-05-03T14:51:14.000Z,everyone,1521502651711635456,False,"Wordle 318 2/6

🟩⬜🟨🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1099307899925475328,en,,,,,
1521502649287573504,2022-05-03T14:51:14.000Z,everyone,1521502649287573504,False,"워들 204 4/6
https://t.co/3WtCFWdrb8

⬜⬜⬜⬜⬜
⬜🟩⬜🟨⬜
🟩🟩⬜⬜⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1366209324134006787,ko,,"{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/3WtCFWdrb8', 'expanded_url': 'https://jhlov.github.io/wordle', 'display_url': 'jhlov.github.io/wordle'}]}",,,
1521502647559376902,2022-05-03T14:51:13.000Z,everyone,1521502647559376902,False,"Le Mot (@WordleFR) #114 5/6

⬛⬛⬛⬛🟩
⬛🟩⬛⬛🟩
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/cNv6WRbuNs",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",311414198,fr,,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/cNv6WRbuNs', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 8, 'end': 17, 'username': 'WordleFR', 'id': '1480029602105995267'}]}",,,
1521502640932331523,2022-05-03T14:51:12.000Z,everyone,1521502640932331523,False,"RT @aKa_MrBane: Wordle 318 4/6

⬛🟨⬛⬛⬛
🟨⬛🟨⬛🟨
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩",Twitter Web App,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1024005984832970753,en,,"{'mentions': [{'start': 3, 'end': 14, 'username': 'aKa_MrBane', 'id': '1382637762'}]}","[{'type': 'retweeted', 'id': '1521479604296462337'}]",,
1521502639443296256,2022-05-03T14:51:12.000Z,everyone,1521502639443296256,False,"Wordle (ES)  #117 6/6

⬜⬜⬜⬜🟩
🟨🟩⬜⬜🟩
⬜🟩⬜🟨🟩
⬜🟩🟩⬜🟩
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/rpbQsG8IDk",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1023024632746663937,en,,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/rpbQsG8IDk', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521502633340506112,2022-05-03T14:51:10.000Z,everyone,1521502633340506112,False,"Wordle 318 4/6

🟨⬜🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",22798241,en,,,,,
1521502616202760199,2022-05-03T14:51:06.000Z,everyone,1521502616202760199,False,"Wordle 318 6/6

🟨⬛⬛🟨⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩⬛🟨⬛
🟩🟩🟩🟩🟩⁦@BasedLori⁩ ⁦@chicagosmayor⁩ disappointed in myself for the 6 tries but sometimes we just need a little more time",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1012379768786857985', 'name': 'Rahm Emanuel', 'description': 'Mayor of Chicago Rahm Emanuel'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1012379768786857985', 'name': 'Rahm Emanuel', 'description': 'Mayor of Chicago Rahm Emanuel'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",427837975,en,,"{'mentions': [{'start': 52, 'end': 62, 'username': 'BasedLori', 'id': '1464795016489021442'}, {'start': 65, 'end': 79, 'username': 'chicagosmayor', 'id': '1129901605443317760'}]}",,,
1521502605100396557,2022-05-03T14:51:03.000Z,everyone,1521502605100396557,False,"Wordle (ES)  #117 3/6

⬜⬜🟩⬜🟩
🟨⬜⬜🟨⬜
🟩🟩🟩🟩🟩
 https://t.co/SuMkGECqHw",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",14339798,en,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/SuMkGECqHw', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521502597277835266,2022-05-03T14:51:01.000Z,everyone,1521502597277835266,False,"Wordle 318 6/6

⬛🟩⬛⬛⬛
⬛⬛🟩⬛⬛
⬛🟨🟨⬛⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩
沼",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2693204286,ja,,,,,
1521502594304290816,2022-05-03T14:51:01.000Z,everyone,1521502594304290816,False,"Wordle 318 4/6

⬜⬜⬜🟩⬜
⬜🟨⬜🟩⬜
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",961577153090465793,en,,,,,
1521502583591870465,2022-05-03T14:50:58.000Z,everyone,1521502583591870465,False,"Wordle 318 5/6

⬜⬜⬜⬜⬜
⬜🟩🟩⬜🟩
🟨🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1172084259634302977,en,,,,,
1521502582967095299,2022-05-03T14:50:58.000Z,everyone,1521502582967095299,False,"Wordle 318 6/6

⬛⬛🟩⬛⬛
⬛🟨🟩⬛⬛
🟨🟩🟩⬛🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1319537696,en,,,,,
1521502581465395200,2022-05-03T14:50:58.000Z,everyone,1521502581465395200,False,"Wordle (ES)  #117 6/6

⬜⬜⬜⬜⬜
🟨⬜⬜🟨⬜
⬜🟨🟨🟨⬜
🟨⬜⬜⬜🟩
⬜🟨🟨⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/Vlw8RAIpgg

me costo una banda",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1329186259022045185,en,,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/Vlw8RAIpgg', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521502572649013253,2022-05-03T14:50:56.000Z,everyone,1521502572649013253,False,"Wordle 318 4/6

⬛⬛🟨🟩⬛
⬛⬛⬛🟩⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩

I didn't think my second guess was actually in the word list, so it's really more like a 3/6",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",368557785,en,,,,,
1521502557037907968,2022-05-03T14:50:52.000Z,everyone,1521502557037907968,False,"Wordle 318 3/6

🟨⬜🟩⬜⬜
⬜🟩🟩⬜🟨
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",860544035756310529,en,,,,,
1521502553074065409,2022-05-03T14:50:51.000Z,everyone,1521502553074065409,False,"Wordle 318 3/6

⬛🟨🟨⬛⬛
🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩 #wordle #wordle318",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1336923626700820480,en,,"{'hashtags': [{'start': 34, 'end': 41, 'tag': 'wordle'}, {'start': 42, 'end': 52, 'tag': 'wordle318'}]}",,,
1521502547504156673,2022-05-03T14:50:50.000Z,everyone,1521502547504156673,False,"Wordle 318 5/6

🟨⬛🟩⬛⬛
🟨🟩🟩⬛⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1246452485142786051,en,,,,,
1521502540407312384,2022-05-03T14:50:48.000Z,everyone,1521502540407312384,False,"Wordle 318 4/6

⬜⬜🟨⬜⬜
⬜🟨🟨⬜⬜
🟨🟩⬜⬜🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",167877930,en,,,,,
1521502527547752451,2022-05-03T14:50:45.000Z,everyone,1521502527547752451,False,"Wordle Tildes #64 3/6

⬜🟩⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜⬜🟩
🟩🟩🟩🟩🟩🟩🟩
 https://t.co/NIqCK8tmI9",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1403969499850854402,en,,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/NIqCK8tmI9', 'expanded_url': 'https://wordle.danielfrg.com/tildes/', 'display_url': 'wordle.danielfrg.com/tildes/'}]}",,,
1521502524821458944,2022-05-03T14:50:44.000Z,everyone,1521502524821458944,False,"#WordleCAT 123 4/6*

⬜⬜⬜🟨🟩
🟨⬜🟨⬜🟩
🟩🟨⬜⬜🟩
🟩🟩🟩🟩🟩

https://t.co/lzYuFAZfUD",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,130258925,und,,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}], 'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/lzYuFAZfUD', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}]}",,,
1521502507163336706,2022-05-03T14:50:40.000Z,everyone,1521502507163336706,False,"Wordle 318 4/6

🟨⬜🟩⬜⬜
⬜⬜⬜⬜🟨
⬜🟨🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1373883568590528514,en,,,,,
1521502498556723201,2022-05-03T14:50:38.000Z,everyone,1521497332310847492,False,"@winemedineme Wordle 318 5/6

🟨🟨🟨⬜⬜
🟨🟩🟩⬜🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

I always guess the wrong things first.",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",50461906,en,,"{'mentions': [{'start': 0, 'end': 13, 'username': 'winemedineme', 'id': '14120099'}]}","[{'type': 'replied_to', 'id': '1521497332310847492'}]",14120099,
1521502498263080971,2022-05-03T14:50:38.000Z,everyone,1521502498263080971,False,"Wordle (ES)  #117 5/6

⬜⬜🟨⬜⬜
⬜🟨🟨⬜⬜
🟨🟩⬜⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/vXnO2350Ju",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",370333160,en,,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/vXnO2350Ju', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521502495528431617,2022-05-03T14:50:37.000Z,everyone,1521502495528431617,False,"#WordleCAT 123 6/6

⬜🟨⬜⬜🟩
⬜⬜⬜⬜🟨
🟨⬜🟨⬜🟩
🟨🟨🟨⬜🟩
🟩🟩🟨🟨🟩
🟩🟩🟩🟩🟩

https://t.co/4rQXi7syum",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,1428733234838376451,und,,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/4rQXi7syum', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}]}",,,
1521502494500786177,2022-05-03T14:50:37.000Z,everyone,1521502494500786177,False,"Wordle (ES)  #117 5/6

⬜⬜⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/dMkm0BoLDz",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",124861279,en,,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/dMkm0BoLDz', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521502491661193217,2022-05-03T14:50:36.000Z,everyone,1521502491661193217,False,"Wordle 318 4/6

⬜🟨🟨⬜⬜
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",973366157393776640,en,,,,,
1521502483343884289,2022-05-03T14:50:34.000Z,everyone,1481730018036400136,False,"Wordle 318 2/6

⬛🟩⬛⬛🟨
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",65635251,en,,,"[{'type': 'replied_to', 'id': '1521113999949144065'}]",65635251,
1521502479522811904,2022-05-03T14:50:33.000Z,everyone,1497598425935736835,False,"Easy #nytspellingbee again today. Started with a pangram. May be the first time I ever got 3 days in a row with no hints at all. All obscure words are familiar to the #hivemind. Did Beeatrice drop OCOTILLO?

Wordle 318 3/6

🟨⬜🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩 https://t.co/Q3zThL4U0F",Twitter Web App,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 8, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1898699682,en,{'media_keys': ['3_1521501641417146369']},"{'hashtags': [{'start': 5, 'end': 20, 'tag': 'nytspellingbee'}, {'start': 167, 'end': 176, 'tag': 'hivemind'}], 'urls': [{'start': 242, 'end': 265, 'url': 'https://t.co/Q3zThL4U0F', 'expanded_url': 'https://twitter.com/pavancharvaka/status/1521502479522811904/photo/1', 'display_url': 'pic.twitter.com/Q3zThL4U0F', 'media_key': '3_1521501641417146369'}]}","[{'type': 'replied_to', 'id': '1521125069031809024'}]",1898699682,
1521502476666650625,2022-05-03T14:50:33.000Z,everyone,1521502476666650625,False,"Le Mot (@WordleFR) #114 5/6

🟨⬛⬛🟨⬛
⬛🟩🟩🟨⬛
⬛🟩🟩⬛🟩
🟨🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/YZ3CcsStlu",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",945999356,fr,,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/YZ3CcsStlu', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 8, 'end': 17, 'username': 'WordleFR', 'id': '1480029602105995267'}]}",,,
1521502476037353472,2022-05-03T14:50:33.000Z,everyone,1521502476037353472,False,"Wordle 318 3/6

⬛⬛🟨⬛⬛
🟨🟩🟩⬛🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",11312992,en,,,,,
