id,author_id,reply_settings,lang,possibly_sensitive,public_metrics,conversation_id,context_annotations,source,in_reply_to_user_id,referenced_tweets,created_at,text,entities,geo,attachments
1521455427309174784,1346960699382235137,everyone,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1493030749385150467,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,1346960699382235137,"[{'type': 'replied_to', 'id': '1521141073401237504'}]",2022-05-03T11:43:35.000Z,"Wordle 318 5/6*

⬛🟨🟨⬛⬛
⬛🟩🟨⬛⬛
🟨🟩⬛⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,,
1521455417410441219,1319366366785396739,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1521455417410441219,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,,,2022-05-03T11:43:33.000Z,"Wordle 318 4/6

⬛🟩⬛⬛⬛
🟨🟩⬛⬛🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",,,
1521455415061581824,239961785,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521455415061581824,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,,2022-05-03T11:43:32.000Z,"Wordle 318 5/6

🟨🟨🟨⬜⬜
🟨🟩🟩⬜🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,,
1521455408363171840,1479453879725031426,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521455408363171840,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,,,2022-05-03T11:43:31.000Z,"Wordle 318 3/6

🟨🟨🟩⬜⬜
⬜⬜⬜⬜🟩
🟩🟩🟩🟩🟩",,,
1521455386531880961,760158163,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521455386531880961,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,,2022-05-03T11:43:26.000Z,"Wordle 318 4/6

⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟨🟩⬛🟨⬛
🟩🟩🟩🟩🟩",,,
1521455385814704136,1122722634456817665,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521455385814704136,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,,,2022-05-03T11:43:25.000Z,"Wordle (ES)  #117 2/6

⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/r7S8mZhrUs","{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/r7S8mZhrUs', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,
1521455382195015683,59999868,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1521455382195015683,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,,2022-05-03T11:43:25.000Z,"Wordle 318 2/6

🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩",,,
1521455364566396928,20636037,everyone,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1521455364566396928,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,,2022-05-03T11:43:20.000Z,"Wordle 318 2/6

⬜🟨⬜🟩⬜
🟩🟩🟩🟩🟩",,,
1521455353602486274,365706884,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1480147278782414850,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,365706884,"[{'type': 'replied_to', 'id': '1521055886856404993'}]",2022-05-03T11:43:18.000Z,"Wordle (ES)  #117 4/6

⬜⬜⬜🟨🟩
⬜🟩⬜⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",,,
1521455345444564992,236724075,everyone,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1521455345444564992,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPad,,,2022-05-03T11:43:16.000Z,"Wordle 318 3/6

⬛🟨⬛🟩⬛
🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩

#Heardle #67

🔈⬛️⬛️⬛️🟩⬜️⬜️

https://t.co/ZUR7HMQDPa

Framed #53
🎥 🟥 🟥 🟥 🟩 ⬛ ⬛

https://t.co/Yfs6WbgMBb","{'hashtags': [{'start': 35, 'end': 43, 'tag': 'Heardle'}], 'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/ZUR7HMQDPa', 'expanded_url': 'https://www.heardle.app', 'display_url': 'heardle.app'}, {'start': 114, 'end': 137, 'url': 'https://t.co/Yfs6WbgMBb', 'expanded_url': 'https://framed.wtf', 'display_url': 'framed.wtf', 'status': 200, 'title': 'Framed - The daily movie guessing game', 'description': 'Guess the movie from the images. New movie each day!', 'unwound_url': 'https://framed.wtf'}]}",,
