id,created_at,reply_settings,conversation_id,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,in_reply_to_user_id,attachments,geo
1521446529613000704,2022-05-03T11:08:14.000Z,everyone,1521446529613000704,False,"Con lo justo hoy... Por las barbas del tío changos 🤐
Wordle Tildes #64 6/6

⬜⬜🟨🟨⬜⬜⬜
⬜🟩🟨⬜🟨⬜⬜
⬜⬜⬜⬜⬜⬜🟨
⬜🟩⬜⬜⬜⬜⬜
🟩🟩⬜⬜🟩⬜🟨
🟩🟩🟩🟩🟩🟩🟩
 https://t.co/4oe7tl87Tg","{'urls': [{'start': 125, 'end': 148, 'url': 'https://t.co/4oe7tl87Tg', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1223433203043704832,es,,,,
1521446527889248256,2022-05-03T11:08:14.000Z,everyone,1521446527889248256,False,"Wordle 318 5/6

🟨⬜⬜⬜⬜
⬜🟩⬜🟨⬜
⬜🟩🟩🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩🤷🏽‍♂️😉😊",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",128330416,en,,,,
1521446525980884992,2022-05-03T11:08:13.000Z,everyone,1521446525980884992,False,"Wordle (ES)  #117 5/6

⬜⬜⬜⬜⬜
🟨🟩⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/tDgnzYunTl","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/tDgnzYunTl', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",334232313,en,,,,
1521446524303069184,2022-05-03T11:08:13.000Z,everyone,1521446524303069184,False,"Wordle 318 4/6

⬛⬛🟩⬛⬛
⬛⬛🟩⬛⬛
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩
it’s a penis",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1136263258321641472,en,,,,
1521446520830185473,2022-05-03T11:08:12.000Z,everyone,1496228505344000000,False,"Wordle 318 6/6

⬛🟨🟨⬛⬛
⬛🟩🟨⬛⬛
⬛🟩⬛⬛🟨
🟨🟩⬛🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩
so many close calls lately oof",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",523912849,en,"[{'type': 'replied_to', 'id': '1521083584760758273'}]",523912849,,
1521446518800236545,2022-05-03T11:08:11.000Z,everyone,1521446518800236545,False,"Wordle 318 3/6

🟨⬛🟨⬛⬛
🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",311538774,en,,,,
1521446514991710213,2022-05-03T11:08:10.000Z,everyone,1521446514991710213,False,"Wordle 318 3/6

⬛⬛⬛🟨🟨
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",409715254,en,,,,
1521446510684254208,2022-05-03T11:08:09.000Z,everyone,1521446510684254208,False,"#WordleEUS #110 6/6

🟨⬜⬜⬜🟨
⬜🟨🟨⬜🟨
🟨🟩🟨⬜⬜
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩

 https://t.co/W2aehvSyUJ","{'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleEUS'}], 'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/W2aehvSyUJ', 'expanded_url': 'https://wordle.talaios.coop', 'display_url': 'wordle.talaios.coop'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,107182498,und,,,,
1521446498935975940,2022-05-03T11:08:07.000Z,everyone,1521446498935975940,False,"Wordle 318 4/6

🟨🟨🟩⬜⬜
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",14597353,en,,,,
1521446488173383682,2022-05-03T11:08:04.000Z,everyone,1521446488173383682,False,"Wordle 318 5/6

🟨⬛🟩⬛⬛
⬛🟨🟩🟨⬛
⬛🟨🟩⬛🟨
🟨🟩🟩⬛🟩
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1003600466784260096,en,,,,
