id,conversation_id,lang,possibly_sensitive,text,author_id,entities,public_metrics,source,reply_settings,context_annotations,created_at,referenced_tweets,geo,in_reply_to_user_id,attachments,withheld
1521436719949692929,1521436719949692929,tr,False,"RT @bilalzilan2: Wordle-Zazaki (Kirmanckî)
Kaykerdiş: Ganî merdim 6 ceribnayîşan de çekuya roje bivîno. Her kelîma 5 herfî ya. Kay to ra va…",417941587,"{'mentions': [{'start': 3, 'end': 15, 'username': 'bilalzilan2', 'id': '449915794'}]}","{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:15.000Z,"[{'type': 'retweeted', 'id': '1509847953598464002'}]",,,,
1521436717001199616,1521436717001199616,en,False,"Wordle (ES)  #117 4/6

⬜⬜⬜⬜🟩
⬜⬜🟨🟨🟩
🟨🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/IMqWw0FTsk",586754093,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/IMqWw0FTsk', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:14.000Z,,,,,
1521436715856109569,1521436715856109569,en,False,"Wordle 318 2/6

⬜⬜🟨⬜🟩
🟩🟩🟩🟩🟩.  
Got lucky!",151192040,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:14.000Z,,,,,
1521436704208478208,1521436704208478208,en,False,"Wordle 318 4/6

⬛⬛⬛⬛🟨
🟩🟩⬛⬛🟨
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩",19430781,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:11.000Z,,,,,
1521436695064989701,1521436695064989701,en,False,"Wordle (ES)  #117 6/6

⬜⬜⬜⬜🟨
⬜⬜🟨🟨🟩
🟨🟩⬜⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/vDxz3iCfjS",1222623808064053248,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/vDxz3iCfjS', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:09.000Z,,,,,
1521436694909755393,1521436694909755393,en,False,"Wordle 318 3/6

⬛🟩⬛⬛🟨
🟨🟩⬛🟨⬛
🟩🟩🟩🟩🟩",14129623,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TweetDeck,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:09.000Z,,,,,
1521436689570410497,1521436689570410497,tr,False,"Wordle Türkçe 318 5/6

🟨⬜⬜⬜⬜
⬜🟨⬜⬜⬜
⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩

https://t.co/AfDzA6nEwg",1648453760,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/AfDzA6nEwg', 'expanded_url': 'https://www.wordleturkce.com/', 'display_url': 'wordleturkce.com'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:08.000Z,,,,,
1521436688614047744,1521436688614047744,en,False,"Wordle 318 4/6

🟨⬜🟩⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",250909145,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:08.000Z,,,,,
1521436676320595968,1521436676320595968,en,False,"Could have been worse
Wordle 318 5/6*

🟨⬜🟩⬜⬜
⬜🟩🟩⬜🟩
🟨🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",175841320,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:05.000Z,,,,,
1521436655449739266,1521436655449739266,ca,False,"#WordleCAT 123 6/6

⬜🟨⬜⬜🟩
🟨⬜⬜⬜🟩
⬜⬜🟨⬜🟩
⬜⬜🟨🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩

https://t.co/aj3a5yPG5b. Ha costar avui",1449386905,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/aj3a5yPG5b', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,,2022-05-03T10:29:00.000Z,,,,,
1521436654833401857,1521436654833401857,en,False,"Wordle 318 6/6

🟨⬜⬜🟩🟩
⬜⬜🟨🟩🟩
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",413340219,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T10:29:00.000Z,,,,,
