id,source,reply_settings,conversation_id,text,lang,public_metrics,possibly_sensitive,author_id,context_annotations,created_at,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1521411590876139520,Twitter Web App,everyone,1521411590876139520,"Wordle 318 5/6

⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟨🟩⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

sheesh",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,1360449349608644614,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:24.000Z,,,,,
1521411580017131525,Twitter for iPhone,everyone,1521411580017131525,"Wordle 318 5/6*

⬛⬛⬛🟨⬛
⬛🟨⬛🟨⬛
⬛🟩⬛🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩 😖",en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",False,158383452,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:21.000Z,,,,,
1521411572249538560,Twitter Web App,everyone,1521411572249538560,"Wordle 318 X/6

⬛🟨⬛⬛⬛
⬛🟨🟨⬛⬛
🟨⬛⬛⬛🟨
🟨🟩⬛⬛⬛
🟩⬛🟨🟩⬛
🟩🟩⬛🟩🟩",en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",False,1095322014712090626,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:19.000Z,,,,,
1521411569602736128,Twitter for Android,everyone,1521411569602736128,"Wordle (ES)  #117 5/6

⬜⬜⬜⬜🟨
⬜🟩⬜⬜🟩
⬜⬜🟨⬜🟩
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/xIO1OUGjtu",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,89760610,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:19.000Z,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/xIO1OUGjtu', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521411563558944769,Twitter for iPhone,everyone,1521411563558944769,"Wordle 318 4/6

🟨🟨🟩⬛⬛
🟨🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1148238258981072897,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:17.000Z,,,,,
1521411560706560001,Twitter Web App,everyone,1521411560706560001,"RT @BurnettSJ: @FranS199 Wordle 318 4/6

🟨⬛🟩⬛⬛
⬛🟩🟩⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

😃",en,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,86026495,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:17.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'BurnettSJ', 'id': '86026495'}, {'start': 15, 'end': 24, 'username': 'FranS199', 'id': '191393940'}]}","[{'type': 'retweeted', 'id': '1521411514250534912'}]",,,
1521411550489329664,Twitter for iPhone,everyone,1521411550489329664,"Wordle (ES)  #117 3/6

⬜⬜🟨🟨🟩
🟨🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/Buo8LegR2h",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,431757879,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:14.000Z,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/Buo8LegR2h', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521411538812293120,Twitter for Android,everyone,1521411538812293120,"Wordle 318 5/6

⬛⬛🟨⬛⬛
⬛🟩⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,487503045,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:11.000Z,,,,,
1521411536157384709,Twitter for Android,everyone,1521411536157384709,"Wordle 318 4/6

⬜⬜🟨⬜⬜
⬜🟨🟨⬜⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,818912176467537923,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:11.000Z,,,,,
1521411533145878528,Twitter Web App,everyone,1521411533145878528,"Wordle 318 5/6

⬜⬜⬜🟨⬜
⬜⬜🟨⬜⬜
🟨🟨⬜⬜⬜
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,392601071,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-03T08:49:10.000Z,,,,,
