id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,conversation_id,reply_settings,author_id,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1521268788490117121,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T23:21:57.000Z,"Wordle 317 4/6

⬛⬛⬛⬛🟨
🟩⬛⬛🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,1521268788490117121,everyone,217653750,,,,,
1521268779786784768,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T23:21:55.000Z,"Wordle 318 5/6

🟨⬜🟩⬜⬜
⬜⬜⬜⬜🟨
⬜🟨⬜⬜🟨
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩",Twitter Web App,1521268779786784768,everyone,1704044942,,,,,
1521268774938513408,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T23:21:54.000Z,"Wordle 318 5/6

⬜🟨⬜🟨⬜
🟨⬜⬜⬜⬜
⬜⬜🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter Web App,1521268774938513408,everyone,1267333464866451459,,,,,
1521268768089214976,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,2022-05-02T23:21:52.000Z,"まぁまぁ
Wordle 318 4/6

⬛🟩🟨⬛🟨
🟩🟩⬛⬛⬛
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,1521268768089214976,everyone,4867321,,,,,
1521268763735117824,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T23:21:51.000Z,"Wordle 318 5/6

⬜⬜⬜⬜⬜
🟨🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,1521268763735117824,everyone,1237867888268251136,,,,,
1521268755082485763,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T23:21:49.000Z,"Being a genius is overrated 😁Wordle 318 2/6

🟩⬛🟨⬛⬛
🟩🟩🟩🟩🟩",Twitter Web App,1521268755082485763,everyone,335552729,,,,,
1521268752515403776,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",ja,2022-05-02T23:21:49.000Z,"ポケモンWordle 5/10

⬛🟨⬛⬛🟨
🟨🟨⬛⬛⬛
⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
🟩🟩🟩🟩🟩

https://t.co/9QeB9MfoKB
ひさびさやった",Twitter for iPhone,1521268752515403776,everyone,1439075895080153089,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/9QeB9MfoKB', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
1521268736870690816,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T23:21:45.000Z,"Wordle 318 6/6

⬛🟩⬛⬛🟨
⬛⬛⬛⬛⬛
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1521268736870690816,everyone,450702811,,,,,
1521268736627519488,False,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T23:21:45.000Z,"Wordle (ES)  #116 X/6

⬜⬜🟨⬜⬜
⬜⬜🟨🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
⬜🟨⬜🟨🟨
 https://t.co/7q9yk5XmT1",Twitter for Android,1521268736627519488,everyone,1231314365737062405,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/7q9yk5XmT1', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521268707304955904,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,2022-05-02T23:21:38.000Z,"今日から三連休🎉

Wordle 318 4/6*

⬛⬛🟨⬛🟨
🟩🟩⬛⬛🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1521268707304955904,everyone,1399350931301433349,,,,,
