id,author_id,lang,created_at,text,public_metrics,reply_settings,possibly_sensitive,source,conversation_id,context_annotations,referenced_tweets,entities,in_reply_to_user_id,attachments,geo
1521205220604190720,866677946,en,2022-05-02T19:09:21.000Z,"Wordle 317 5/6

⬛⬛🟩⬛⬛
⬛⬛🟩⬛🟨
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,False,Twitter for iPhone,1521205220604190720,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521205218448330752,137786115,en,2022-05-02T19:09:21.000Z,"@JurieHorneman If that’s the UNTIL strategy, it didn’t matter

Wordle 317 3/6

⬛🟨🟩🟨⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,False,Twitterrific for iOS,1521122956495228928,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","[{'type': 'replied_to', 'id': '1521126693431304195'}]","{'mentions': [{'start': 0, 'end': 14, 'username': 'JurieHorneman', 'id': '18920834'}]}",18920834,,
1521205216364105728,46828248,en,2022-05-02T19:09:20.000Z,"Wordle 318 4/6

⬛🟩⬛🟨⬛
🟨🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,False,Twitter for Android,1521205216364105728,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521205213524201472,1007632363923226624,en,2022-05-02T19:09:20.000Z,"Wordle 318 4/6

⬜🟨🟨🟩⬜
🟩⬜🟨🟩⬜
🟩🟩⬜⬜⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,False,Twitter Web App,1521205213524201472,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521205188454887425,2464309734,en,2022-05-02T19:09:14.000Z,"Wordle 318 4/6

⬛🟩⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟨⬛🟨
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,False,Twitter for iPhone,1521205188454887425,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521205178414043136,2415277284,en,2022-05-02T19:09:11.000Z,"Wordle 318 4/6

⬛🟨🟩⬛⬛
🟨🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",everyone,False,Twitter for Android,1487856328957919233,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","[{'type': 'replied_to', 'id': '1520857068022149120'}]",,2415277284,,
1521205172453900288,103007226,en,2022-05-02T19:09:10.000Z,"Wordle 318 2/6

⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",everyone,False,Twitter Web App,1521205172453900288,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521205154359701504,1379752209873702917,ja,2022-05-02T19:09:06.000Z,"Wordle 318 4/6

⬜🟩⬜⬜⬜
⬜🟩🟩🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
慣れてきたお","{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",everyone,False,Twitter for iPhone,1521205154359701504,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1521205145496924160,511668856,es,2022-05-02T19:09:03.000Z,"Palora Ilimitada #85 - 2/6

🟩⬛⬛⬛⬛
🟩🟩🟩🟩🟩

La versión más popular de Palora Ilimitado, ¡Juégalo aquí!
https://t.co/Wvj7k5SHyr
#Wordaily #DesafioDiariodePalabras","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,False,Twitter for iPhone,1521205145496924160,,,"{'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/Wvj7k5SHyr', 'expanded_url': 'https://bit.ly/Best_Wordle_C', 'display_url': 'bit.ly/Best_Wordle_C'}], 'hashtags': [{'start': 124, 'end': 133, 'tag': 'Wordaily'}, {'start': 134, 'end': 158, 'tag': 'DesafioDiariodePalabras'}]}",,,
1521205144645672960,98480854,en,2022-05-02T19:09:03.000Z,"Wordle 318 4/6

⬛🟩⬛⬛🟨
⬛⬛🟩⬛⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",everyone,False,Twitter for iPhone,1521205144645672960,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
