id,reply_settings,source,possibly_sensitive,lang,context_annotations,text,author_id,created_at,public_metrics,conversation_id,entities,referenced_tweets,attachments,in_reply_to_user_id,geo
1521154919260164098,everyone,Twitter for iPhone,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 5/6

🟩⬜⬜⬜⬜
🟩⬜🟩⬜🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩

Jeeeeeeezzzzz",523981916,2022-05-02T15:49:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154919260164098,,,,,
1521154918001827840,everyone,Twitter for Android,False,es,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Esa palabra no es en español &gt;:-[

Wordle (ES)  #116 5/6

🟨⬜⬜⬜⬜
⬜🟩⬜🟩⬜
⬜🟩⬜🟩🟨
⬜🟩🟨🟩🟨
🟩🟩🟩🟩🟩
 https://t.co/qZkWMPXomo",34680859,2022-05-02T15:49:28.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1521154918001827840,"{'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/qZkWMPXomo', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521154916332761088,everyone,Twitter for iPhone,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 5/6

⬛⬛🟩⬛⬛
🟨🟩🟩⬛🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1515934388244336647,2022-05-02T15:49:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154916332761088,,,,,
1521154911484149761,everyone,Twitter for iPhone,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 6/6

⬛⬛⬛⬛🟨
⬛🟨⬛⬛⬛
🟨🟩⬛⬛🟩
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1495727180491673600,2022-05-02T15:49:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154911484149761,,,,,
1521154906073174018,everyone,Twitter for iPhone,False,ja,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

ふむふむ

⬜🟨⬜🟨⬜
⬜🟨🟩⬜⬜
⬜⬜🟩⬜🟨
🟩🟩🟩🟩🟩",15040956,2022-05-02T15:49:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154906073174018,,,,,
1521154905754734593,everyone,Twitter for iPhone,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

⬛⬛🟨⬛⬛
⬛⬛⬛⬛⬛
⬛🟨⬛⬛🟩
🟩🟩🟩🟩🟩",416873431,2022-05-02T15:49:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154905754734593,,,,,
1521154898657615872,everyone,Twitter for iPhone,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

⬜🟩⬜⬜⬜
⬜⬜🟨⬜⬜
⬜🟨⬜🟨⬜
🟩🟩🟩🟩🟩",14868577,2022-05-02T15:49:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154898657615872,,,,,
1521154888952168449,everyone,Twitter Web App,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 3/6

⬛⬛⬛⬛🟨
🟩⬛🟩🟩⬛
🟩🟩🟩🟩🟩

#Wordle317 #Wordle",135985594,2022-05-02T15:49:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154888952168449,"{'hashtags': [{'start': 35, 'end': 45, 'tag': 'Wordle317'}, {'start': 46, 'end': 53, 'tag': 'Wordle'}]}",,,,
1521154888100683777,everyone,Twitter Web App,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","RT @NoireSTEMinist: Welcome back to THREE-VILLE Babee!!!! 
Wordle 317 3/6

🟨⬜🟨⬜🟨
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩 https://t.co/kk9FjgojiQ",1437182215998386181,2022-05-02T15:49:21.000Z,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154888100683777,"{'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/kk9FjgojiQ', 'expanded_url': 'https://twitter.com/NoireSTEMinist/status/1521154643904053249/photo/1', 'display_url': 'pic.twitter.com/kk9FjgojiQ', 'media_key': '16_1521154633112162304'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'NoireSTEMinist', 'id': '1399521161772425221'}]}","[{'type': 'retweeted', 'id': '1521154643904053249'}]",{'media_keys': ['16_1521154633112162304']},,
1521154883491090432,everyone,Twitter for Android,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 2/6*
⬜⬜⬜⬜🟩
🟩🟩🟩🟩🟩✨",1037169746,2022-05-02T15:49:20.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 6, 'quote_count': 0}",1521154883491090432,,,,,
1521154881222234114,everyone,Twitter for iPhone,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

🟩⬛🟨⬛⬛
🟩⬛⬛🟨⬛
🟨🟩⬛🟨⬛
🟩🟩🟩🟩🟩",781006487233630208,2022-05-02T15:49:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154881222234114,,,,,
1521154877287710727,everyone,Twitter for iPhone,False,en,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 5/6

⬛⬛⬛⬛🟨
⬛🟨⬛⬛🟨
🟩🟩🟩⬛⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩",1449400059234295818,2022-05-02T15:49:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154877287710727,,,,,
1521154872632287232,everyone,Twitter for iPhone,False,ja,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 3/6

⬛🟨⬛⬛⬛
🟩🟨⬛🟩⬛
🟩🟩🟩🟩🟩
やらな過ぎて記録ぶっ飛んでた",481985587,2022-05-02T15:49:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1521154872632287232,,,,,
