id,referenced_tweets,in_reply_to_user_id,entities,conversation_id,lang,possibly_sensitive,reply_settings,text,public_metrics,author_id,context_annotations,created_at,source,attachments,geo,withheld
1521104228999176194,"[{'type': 'replied_to', 'id': '1520969070098661378'}]",497004493,"{'mentions': [{'start': 0, 'end': 9, 'username': 'TwistyEm', 'id': '497004493'}]}",1520969070098661378,en,False,everyone,"@TwistyEm Wordle 317 4/6
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩
I did not do as well as you. Lookit all this green 🙃","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3000496485,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:28:03.000Z,Twitter Web App,,,
1521104228160139264,,,,1521104228160139264,en,False,everyone,"Wordle 317 4/6

🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",28300315,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:28:03.000Z,Twitterrific for iOS,,,
1521104217770971136,"[{'type': 'retweeted', 'id': '1521104198963806208'}]",,"{'mentions': [{'start': 3, 'end': 16, 'username': 'batteryclash', 'id': '1336797375839543300'}]}",1521104217770971136,en,False,everyone,"RT @batteryclash: Wordle 317 6/6

🟨⬛🟨⬛⬛
⬛🟨⬛🟩🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩
are u fucking fr","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1449916566619971587,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:28:00.000Z,Twitter for iPhone,,,
1521104212163280900,,,,1521104212163280900,en,False,everyone,"Wordle 317 5/6

⬛🟨🟩⬛⬛
🟩⬛🟩🟩🟨
🟩⬛🟩🟩⬛
🟩⬛🟩🟩⬛
🟩🟩🟩🟩🟩
Idk why my eye blacked out that yellow in the second lol","{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",1167090709,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:27:59.000Z,Twitter for iPhone,,,
1521104207327203328,,,,1521104207327203328,en,False,everyone,"Wordle 317 3/6

⬜⬜⬜🟩⬜
⬜🟨⬜🟩🟨
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",59442208,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:27:58.000Z,Twitter for iPhone,,,
1521104204835741696,"[{'type': 'replied_to', 'id': '1520566285926600706'}]",84449563,,1504425426021715971,en,False,everyone,"Wordle 317 5/6

⬛🟨⬛🟨⬛
🟩⬛🟨🟨🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

I always forget to play on weekends","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",84449563,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:27:57.000Z,Twitter for iPhone,,,
1521104198963806208,,,,1521104198963806208,en,False,everyone,"Wordle 317 6/6

🟨⬛🟨⬛⬛
⬛🟨⬛🟩🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩
are u fucking fr","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1336797375839543300,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:27:56.000Z,Twitter for iPhone,,,
1521104198699466755,,,,1521104198699466755,en,False,everyone,"Wordle 317 4/6

🟩⬛⬛⬛⬛
🟩⬛🟩⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",44791581,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:27:56.000Z,Twitter for Android,,,
1521104196510040065,,,"{'mentions': [{'start': 34, 'end': 44, 'username': 'brysonmnm', 'id': '1384998778613030914'}]}",1521104196510040065,en,False,everyone,"Wordle 317 3/6

🟩🟨⬛⬛🟩
🟩🟨⬛🟩🟩
🟩🟩🟩🟩🟩
@brysonmnm dances","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",962612594694553600,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:27:55.000Z,Twitter for iPhone,,,
1521104194861957120,"[{'type': 'replied_to', 'id': '1521096346014474242'}]",6830032,"{'mentions': [{'start': 0, 'end': 8, 'username': 'mdrache', 'id': '6830032'}]}",1521096346014474242,en,False,everyone,"@mdrache Wordle 317 3/6

⬛⬛🟩⬛🟨
⬛🟨🟩🟨⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1345893367373320192,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T12:27:55.000Z,Twitter for iPhone,,,
