id,text,author_id,source,possibly_sensitive,entities,context_annotations,lang,created_at,conversation_id,public_metrics,reply_settings,geo,in_reply_to_user_id,referenced_tweets,attachments
1521095940186296320,"Wordle (ES)  #116 X/6
☹️

⬜⬜🟨⬜⬜
⬜⬜🟨🟨🟨
🟩🟩⬜⬜🟨
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩🟨
 https://t.co/u11tzSB5iX",950347434605019136,Twitter for Android,False,"{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/u11tzSB5iX', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:07.000Z,1521095940186296320,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,
1521095929352368129,"Wordle 317 2/6

🟩🟩⬜🟩⬜
🟩🟩🟩🟩🟩 ⁦@CDUKE1217⁩ @kevlar612",1360199854862065666,Twitter for iPhone,False,"{'mentions': [{'start': 29, 'end': 39, 'username': 'CDUKE1217', 'id': '255127149'}, {'start': 41, 'end': 51, 'username': 'kevlar612', 'id': '260530916'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:04.000Z,1521095929352368129,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",everyone,,,,
1521095925728489473,"Wordle (ES)  #116 5/6

⬜🟨⬜🟨🟨
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩🟩
 https://t.co/OiyDiC2Ycs",81400567,Twitter for iPhone,False,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/OiyDiC2Ycs', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:03.000Z,1521095925728489473,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1521095921223667712,"I think I'm too impatient for this game.

#WordleAotearoa
#DailyWordleClub

Wordle 317 4/6

⬜⬜🟩⬜⬜
🟨🟨🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",118181699,Twitter for Android,False,"{'hashtags': [{'start': 42, 'end': 57, 'tag': 'WordleAotearoa'}, {'start': 58, 'end': 74, 'tag': 'DailyWordleClub'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:02.000Z,1521095921223667712,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1521095920871477248,"Wordle 317 4/6

🟩⬜⬜⬜⬜
🟩⬜🟩⬜🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",25172250,Twitter for Android,False,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:02.000Z,1521095920871477248,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",everyone,{'place_id': '01fbe706f872cb32'},,,
1521095916827987968,"Wordle (ES)  #116 5/6

⬜⬜⬜🟩🟨
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩🟨
🟩🟩🟩🟩🟩
 https://t.co/6Rqk7Pd1f3",274512088,Twitter for Android,False,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/6Rqk7Pd1f3', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:01.000Z,1521095916827987968,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1521095916106702851,"There's something to tell about this one

Wordle 317 5/6

🟨🟨⬜⬜⬜
⬜🟨⬜🟨⬜
🟩⬜🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",57787121,Twitter Web App,False,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:01.000Z,1501919504246390787,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",everyone,,57787121,"[{'type': 'replied_to', 'id': '1520740169783169024'}]",
1521095914366152704,"Wordle 317 6/6

⬛🟨⬛⬛🟨
🟩⬛⬛⬛🟨
🟩🟨⬛🟨⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

Well that was annoying. 😑 But the streak lives.",128660529,Twitter for Android,False,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:01.000Z,1521095914366152704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,
1521095909483941889,"Wordle 317 4/6*

⬛🟨⬛🟨⬛
⬛🟨🟨⬛🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",1432403955636744194,Twitter for iPhone,False,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:55:00.000Z,1495745790530269190,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",everyone,,1432403955636744194,"[{'type': 'replied_to', 'id': '1520758950932758528'}]",
1521095905956577281,"RT @lasucedura: HOLA? HAY ALGUIEN AHÍ? 
Sé que llevo años sin postear nada por aquí, pero ya que hice un wordle de videojuegos, prueben si…",876595964173307904,Twitter for iPhone,False,"{'mentions': [{'start': 3, 'end': 14, 'username': 'lasucedura', 'id': '737757457188069376'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",es,2022-05-02T11:54:59.000Z,1521095905956577281,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,"[{'type': 'retweeted', 'id': '1521092741119229953'}]",
1521095902059974658,"Wordle 317 2/6

⬛🟨🟨⬛🟩
🟩🟩🟩🟩🟩",67046071,Twitter for iPhone,False,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:54:58.000Z,1521095902059974658,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1521095901753839616,"Wordle Científico #50 4/6

⬜⬜⬜⬜⬜
⬜🟨⬜⬜🟨
⬜⬜🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/mTrdYR0jNJ",802329204,Twitter for Android,False,"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/mTrdYR0jNJ', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521711979752136704/Qr2DllcV?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521711979752136704/Qr2DllcV?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/ciencia/index.html'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",es,2022-05-02T11:54:58.000Z,1521095901753839616,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1521095899732140039,"Wordle 317 3/6
Take that first guess away and I got it in 2 lol

⬜⬜⬜⬜⬜
🟩⬜🟩⬜🟨
🟩🟩🟩🟩🟩",607711585,Twitter for Android,False,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:54:57.000Z,1521095899732140039,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1521095894321573889,"Wordle 317 4/6

🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",46272178,Twitter for iPhone,False,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-02T11:54:56.000Z,1521095894321573889,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
