id,conversation_id,lang,possibly_sensitive,reply_settings,text,public_metrics,author_id,context_annotations,created_at,source,entities,geo,referenced_tweets,in_reply_to_user_id,attachments
1521078400005324802,1521078400005324802,en,False,everyone,"Wordle 317 4/6

🟨⬛⬛⬛🟨
🟩⬛⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",34602662,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:25.000Z,Twitter for iPhone,,,,,
1521078391990104065,1521078391990104065,es,False,everyone,"Wordle Científico #50 4/6

⬜🟨⬜🟩⬜
⬜🟨⬜🟩🟩
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/JX9schQCnq","{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",1463503771166658564,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:23.000Z,Twitter for Android,"{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/JX9schQCnq', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",,,,
1521078390731812864,1521078390731812864,es,False,everyone,"Wordle (ES)  #116 6/6

⬜⬜🟨🟨🟨
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩🟩

https://t.co/BCIDLVUHHr

Por los pelos!!! 😅","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",402797271,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:23.000Z,Twitter for Android,"{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/BCIDLVUHHr', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521078387602821124,1521078387602821124,en,False,everyone,"Wordle 317 4/6

🟩🟩⬜🟩⬜
⬜⬜🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1563967134,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:22.000Z,Twitter for Android,,,,,
1521078386646556672,1521078386646556672,und,False,everyone,"#WordleCAT 122 4/6

🟨⬜🟨🟨⬜
🟩⬜🟨⬜⬜
🟩🟩🟩🟨⬜
🟩🟩🟩🟩🟩

https://t.co/eCe1uB4a4L","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1262274801412059136,,2022-05-02T10:45:22.000Z,Twitter for iPhone,"{'urls': [{'start': 45, 'end': 68, 'url': 'https://t.co/eCe1uB4a4L', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}]}",,,,
1521078378752790528,1521078378752790528,en,False,everyone,"One of those days…

Wordle 317 5/6

🟩⬛⬛🟩⬛
🟩⬛⬛🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1425300659763613707,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:20.000Z,Twitter for iPhone,,,,,
1521078378702733313,1521078378702733313,ja,False,everyone,"Wordle 317 6/6

🟨⬜⬜⬜🟨
🟨⬜⬜⬜🟩
⬜⬜🟨🟨🟩
🟨🟨⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
とてもよく知っている単語でした。","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",48111883,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:20.000Z,Twitter for iPhone,,,,,
1521078378140520448,1521078378140520448,en,False,everyone,"Wordle 317 6/6

⬛⬛⬛🟩⬛
🟩⬛🟩⬛⬛
🟩⬛🟩🟩⬛
🟩⬛🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",5664172,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:20.000Z,Tweetbot for iΟS,,,,,
1521078376152326144,1521078376152326144,en,False,everyone,"Wordle 317 2/6*

🟩⬛⬛⬛🟨
🟩🟩🟩🟩🟩

Finally got one in 2!","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",14882932,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:19.000Z,Twitterrific for iOS,,,,,
1521078363913441281,1521078363913441281,en,False,everyone,"Wordle 317 5/6

⬛🟨🟨⬛⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩
So simple, it was hard","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",271569946,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:16.000Z,Twitter for iPhone,,,,,
1521078361338040320,1521078361338040320,en,False,everyone,"Wordle 317 6/6

⬜⬜🟩⬜⬜
⬜🟨🟩🟨⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",29889619,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:16.000Z,Twitter for Android,,,,,
1521078360629288960,1521078360629288960,es,False,everyone,"Increíble dijo Daniel frg
Wordle Científico #50 3/6

⬜⬜⬜⬜🟩
🟩⬜🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/pMizMihqea","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",262025863,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:16.000Z,Twitter for Android,"{'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/pMizMihqea', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}], 'annotations': [{'start': 15, 'end': 20, 'probability': 0.944, 'type': 'Person', 'normalized_text': 'Daniel'}]}",,,,
1521078348541304838,1521078348541304838,en,False,everyone,"Wordle 317 3/6*

🟨⬛⬛🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",55421114,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:13.000Z,Twitter for iPhone,,,,,
1521078346075025415,1521078346075025415,en,False,everyone,"Wordle 317 4/6

⬛🟨⬛⬛⬛
🟨⬛⬛⬛🟨
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",20843402,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:12.000Z,Twitter for Android,,{'place_id': '79572d0725d1a114'},,,
1521078341427765248,1521078341427765248,en,False,everyone,"Wordle 317 5/6

🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

🙄","{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",827230350,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:11.000Z,Twitter for iPhone,,,,,
1521078336738537473,1493279914627420169,es,False,everyone,"Wordle Científico #50 5/6

🟨⬜⬜🟨⬜
🟨🟨🟨⬜⬜
🟩🟨⬜🟩⬜
🟩⬜🟩🟩🟩
🟩🟩🟩🟩🟩

https://t.co/Dg9wIo3Uel","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1264285489,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:10.000Z,Twitter for Android,"{'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/Dg9wIo3Uel', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",,"[{'type': 'replied_to', 'id': '1521077086752026626'}]",1264285489,
1521078336654503936,1521078336654503936,en,False,everyone,"Wordle 317 4/6

⬜🟨⬜⬜⬜
⬜⬜⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",280035025,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:10.000Z,Twitter for Android,,,,,
1521078334763180036,1521078334763180036,ja,False,everyone,"Wordle 317 6/6

🟩⬜⬜⬜🟨
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩ひさしぶり","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",24513947,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:09.000Z,Tweetbot for iΟS,,,,,
1521078330480549893,1521078330480549893,en,False,everyone,"Wordle 317 4/6

🟩⬜⬜⬜⬜
🟩⬜⬜⬜⬜
🟩⬜🟩⬜🟨
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1036258675713818627,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:08.000Z,Twitter for iPhone,,,,,
1521078330212200449,1521078330212200449,en,False,everyone,"Wordle 317 5/6

🟨🟨⬜🟨⬜
🟨⬜🟩⬜🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",17433398,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:08.000Z,Twitter for Android,,,,,
1521078329763237888,1521078329763237888,en,False,everyone,"Phew
Better then yesterday  when I was off by one letter.
 Wordle 317 6/6

⬛⬛⬛⬛⬛
⬛🟨🟩⬛⬛
🟩⬛🟩⬛⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",171017287,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:08.000Z,Twitter for Android,,,,,
1521078328547057664,1521078328547057664,en,False,everyone,"Wordle (ES)  #116 4/6

⬜⬜🟨⬜⬜
🟩🟩⬜⬜🟨
🟩🟩⬜🟩⬜
🟩🟩🟩🟩🟩
 https://t.co/C1mXq2MTsM","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",312682652,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:08.000Z,Twitter for iPhone,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/C1mXq2MTsM', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521078327917768704,1521078327917768704,en,False,everyone,"Wordle 317 3/6

⬜🟨⬜⬜⬜
🟩⬜🟩🟩🟨
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1171916488220954624,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:45:08.000Z,Twitter for iPhone,,,,,
