id,conversation_id,lang,possibly_sensitive,reply_settings,text,public_metrics,author_id,context_annotations,created_at,source,referenced_tweets,entities,in_reply_to_user_id,geo,attachments
1521068117480419328,1521068117480419328,en,False,everyone,"Wordle 317 5/6

🟨⬜⬜🟨🟨
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1185553154529775617,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:33.000Z,Twitter for Android,,,,,
1521068116410834945,1479819173027098629,en,False,everyone,"Wordle (ES)  #116 6/6

⬜⬜🟨⬜⬜
⬜🟨🟨⬜🟨
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩⬜⬜🟨
🟩🟩🟩🟩🟩

https://t.co/3YEQzvMz3k","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2489785645,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:33.000Z,Twitter for Android,"[{'type': 'replied_to', 'id': '1520697818826035200'}]","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/3YEQzvMz3k', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",2489785645,{'place_id': '63557a28c29bc21e'},
1521068101353234433,1521068101353234433,en,False,everyone,"Wordle 317 6/6

🟩⬛⬛🟩⬛
🟩⬛🟩🟩⬛
🟩⬛🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩
One of those words","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",11604952,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:30.000Z,Twitter for iPhone,,,,,
1521068100724338688,1521068100724338688,ja,False,everyone,"ええやん
Wordle 317 3/6

⬛⬛⬛⬛🟨
⬛🟨🟨⬛🟨
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",488391843,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:29.000Z,Twitter Web App,,,,,
1521068086774083584,1521068086774083584,en,False,everyone,"Wordle 317 3/6

⬛⬛⬛🟨🟨
🟩⬛🟩🟨⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1252309913675591680,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:26.000Z,Twitter for iPhone,,,,,
1521068085851168769,1521068085851168769,en,False,everyone,"“Splendid”

🙄🙄🙄

Wordle 317 4/6

⬛⬛🟨🟨⬛
⬛⬛🟩⬛🟨
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",808989,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:26.000Z,Twitter for iPhone,,,,,
1521068074316836866,1521068074316836866,en,False,everyone,"Wordle 317 4/6

⬛⬛🟨🟨⬛
🟩⬛🟩⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1459222949362343938,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:23.000Z,Twitter for Android,,,,,
1521068070936190976,1521068070936190976,en,False,everyone,"RT @m_dicey: @albolt76 @dawardle Wordle 317 2/6

🟩⬜⬜🟩⬜
🟩🟩🟩🟩🟩 🥳 https://t.co/fNorrqAdWa","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1160130818678972416,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:22.000Z,Twitter Web App,"[{'type': 'retweeted', 'id': '1521021848191913984'}]","{'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/fNorrqAdWa', 'expanded_url': 'https://twitter.com/m_dicey/status/1521021848191913984/photo/1', 'display_url': 'pic.twitter.com/fNorrqAdWa', 'media_key': '16_1521021839220301825'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'm_dicey', 'id': '910987115676274689'}, {'start': 13, 'end': 22, 'username': 'albolt76', 'id': '1160130818678972416'}, {'start': 23, 'end': 32, 'username': 'dawardle', 'id': '1165789231'}]}",,,{'media_keys': ['16_1521021839220301825']}
1521068069531316225,1521068069531316225,ja,False,everyone,"昨日(2022年05月01日)のワードル。

Wordle 316 5/6

⬛⬛⬛⬛⬛
⬛🟨🟨⬛⬛
⬛⬛⬛⬛⬛
🟩⬛🟨🟨🟨
🟩🟩🟩🟩🟩
Ｆ Ｏ Ｒ Ｇ Ｏ 
 #ゆんワードル","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1131401780388958208,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:22.000Z,Twitter for Android,,"{'hashtags': [{'start': 81, 'end': 88, 'tag': 'ゆんワードル'}]}",,,
1521068067865964545,1521068067865964545,en,False,everyone,"Wordle (ES)  #116 4/6

🟨⬜🟨🟨⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩🟨
🟩🟩🟩🟩🟩
 https://t.co/Zx6LrblIK9","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",729224421823623168,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:22.000Z,Twitter for iPhone,,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/Zx6LrblIK9', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521068046466658304,1521068046466658304,en,False,everyone,"Wordle 317 4/6

🟩⬛⬛⬛⬛
🟩⬛⬛⬛⬛
🟩⬛🟨⬛🟩
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",73662566,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:17.000Z,Twitter for iPhone,,,,,
1521068034806456325,1521068034806456325,en,False,everyone,"Wordle 317 6/6

⬛⬛🟨⬛🟨
⬛🟨🟨🟨⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3309809572,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T10:04:14.000Z,Twitter for iPhone,,,,,
