id,source,reply_settings,context_annotations,text,conversation_id,lang,possibly_sensitive,created_at,public_metrics,author_id,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1521010182750601216,Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 3/6

⬛⬛⬛⬛🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",1521010182750601216,en,False,2022-05-02T06:14:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",779768838,,,,,
1521010168888180736,Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 4/6

⬜⬜⬜⬜🟨
🟩⬜⬜⬜🟨
🟩🟩🟨🟨⬜
🟩🟩🟩🟩🟩",1521010168888180736,en,False,2022-05-02T06:14:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",92618648,,,,,
1521010168703582208,Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 316 5/6

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
🟩⬛⬛⬛🟨
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩",1521010168703582208,en,False,2022-05-02T06:14:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",16563637,,,,,
1521010163758469120,Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 4/6

🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",1521010163758469120,en,False,2022-05-02T06:14:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3598325654,,,,,
1521010163410427906,Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 6/6

⬛⬛⬛⬛🟨
🟨⬛🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",1521010163410427906,en,False,2022-05-02T06:14:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",438234744,,,,,
1521010162764554240,Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 4/6

🟩⬜⬜⬜🟨
🟩⬜🟨⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",1521010162764554240,en,False,2022-05-02T06:14:16.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",990709273121390592,,,,,
1521010155172904961,Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle (ES)  #116 4/6

Gracias Folagor

🟨⬜🟨🟨⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩⬜
🟩🟩🟩🟩🟩
 https://t.co/AQXCl5JePb",1521010155172904961,en,False,2022-05-02T06:14:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1150520107715780608,"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/AQXCl5JePb', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521010152320643072,Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 317 2/6

🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩",1521010152320643072,en,False,2022-05-02T06:14:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2185555573,,,,,
1521010151414812672,Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","🇬🇧Wordle 317 5/6

⬜⬜⬜⬜🟨
⬜⬜🟩⬜⬜
⬜🟨🟩⬜🟨
🟨⬜🟩🟨🟨
🟩🟩🟩🟩🟩",1521010147027558405,en,False,2022-05-02T06:14:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",22118846,,"[{'type': 'replied_to', 'id': '1521010149552537601'}]",22118846,,
1521010149552537601,Twitter Web App,everyone,,"#WordleCAT 122 6/6

⬜⬜⬜🟨⬜
⬜🟨🟨⬜⬜
🟨⬜🟨⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩

https://t.co/uBruKZrESb",1521010147027558405,und,False,2022-05-02T06:14:13.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",22118846,"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/uBruKZrESb', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}], 'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}]}","[{'type': 'replied_to', 'id': '1521010147027558405'}]",22118846,,
