,id,profile_image_url,url,public_metrics,username,protected,name,description,location,verified,entities,pinned_tweet_id
0,2554491257,https://pbs.twimg.com/profile_images/874686523844767744/fg36vnvw_normal.jpg,,"{'followers_count': 464, 'following_count': 371, 'tweet_count': 14172, 'listed_count': 0}",Susanne30308556,False,Susanne 💙🌈 Callie 4/11/07 to 22/2/21🌻🇺🇦🌻,Don’t think I ve ever met a dog I did nt like .Powered by coffee and sunshine .,Newcastle upon Tyne,False,,
1,1180905596113113088,https://pbs.twimg.com/profile_images/1311516532925706242/WZh9ZRQt_normal.jpg,https://t.co/YDspE2LU6W,"{'followers_count': 147, 'following_count': 97, 'tweet_count': 2197, 'listed_count': 2}",IAmRinnekai,False,Kai,"(He/Him) | #Rinnegades | Twitch Streamer | #FREEMVC2 
Business Inquiries: RinnekaiBusiness@gmail.com",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YDspE2LU6W', 'expanded_url': 'https://www.twitch.tv/rinnekai', 'display_url': 'twitch.tv/rinnekai'}]}, 'description': {'hashtags': [{'start': 11, 'end': 22, 'tag': 'Rinnegades'}, {'start': 43, 'end': 52, 'tag': 'FREEMVC2'}]}}",1504525475674214401
2,851336245414440960,https://pbs.twimg.com/profile_images/1484272196562395139/FCeUKeQq_normal.jpg,,"{'followers_count': 396, 'following_count': 168, 'tweet_count': 31310, 'listed_count': 0}",guijarrisme,False,vero,pedes in terra ad sidera visus ♀️,Estadi Johan Cruyff,False,,1317801910842331136
3,22331528,https://pbs.twimg.com/profile_images/1021899421167099904/neisEq3M_normal.jpg,https://t.co/ol24iJ9s88,"{'followers_count': 1804, 'following_count': 2301, 'tweet_count': 15400, 'listed_count': 74}",mictori,False,Michelle L T,"UCC Clergy. Progressive Christian. Feminist. Writer of Pop Culture+God, Armenian-American, https://t.co/2oMMHpf4Oi. She/hers. Pro-Vax. All opinions my own.","Belleville, Illinois, USA",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ol24iJ9s88', 'expanded_url': 'http://www.michelletorigian.com', 'display_url': 'michelletorigian.com'}]}, 'description': {'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/2oMMHpf4Oi', 'expanded_url': 'http://michelletorigian.com', 'display_url': 'michelletorigian.com'}]}}",1224925754078715904
4,2831605683,https://pbs.twimg.com/profile_images/1507091373291413507/gY4N2Qv7_normal.jpg,https://t.co/gYiMCpNv2b,"{'followers_count': 5820, 'following_count': 1642, 'tweet_count': 230019, 'listed_count': 39}",queenveej,False,Read My Bio Before You @ Me,I’m a Publicist and Co-Founder of @thequeendombbtx. We’re raising funds. Jesus shook tables and I do too. Your feelings about me only matter to you 😉.,Working & Minding My Business ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gYiMCpNv2b', 'expanded_url': 'http://sincerelynicole.net', 'display_url': 'sincerelynicole.net'}]}, 'description': {'mentions': [{'start': 34, 'end': 50, 'username': 'thequeendombbtx'}]}}",1499751603787681805
5,39078554,https://pbs.twimg.com/profile_images/1349844409181986816/INY8yFsH_normal.jpg,,"{'followers_count': 3429, 'following_count': 2671, 'tweet_count': 126901, 'listed_count': 54}",DJPAULMICHAEL,False,PAUL MICHAEL,IG : @DJPAULMICHAEL,New York City,False,"{'description': {'mentions': [{'start': 5, 'end': 19, 'username': 'DJPAULMICHAEL'}]}}",787334791590928388
6,20063945,https://pbs.twimg.com/profile_images/1068983231075237889/9SfvZymB_normal.jpg,,"{'followers_count': 886, 'following_count': 2806, 'tweet_count': 10528, 'listed_count': 5}",Feefee8,False,Fiona Fotheringham,Blonde bagpiping accountant. Occasional folksinger. Mainly found in Fort William. #angearasdan,,False,"{'description': {'hashtags': [{'start': 82, 'end': 94, 'tag': 'angearasdan'}]}}",
7,1069650546,https://pbs.twimg.com/profile_images/1492730005071269888/SJBImthI_normal.jpg,,"{'followers_count': 587, 'following_count': 154, 'tweet_count': 22067, 'listed_count': 2}",_aleyah__,False,🛸p o w e l l,hello,lost in the skies,False,,1509745815102930945
8,15061333,https://pbs.twimg.com/profile_images/1290858599711936512/y1O10EXF_normal.jpg,,"{'followers_count': 1130, 'following_count': 666, 'tweet_count': 23339, 'listed_count': 41}",ricardoalfaro_,False,Ricardo Alfaro,😪,Santiago,False,,
9,28772567,https://pbs.twimg.com/profile_images/1134522859857072128/3p_e2_Vf_normal.jpg,,"{'followers_count': 1133, 'following_count': 937, 'tweet_count': 4741, 'listed_count': 9}",Banbersan,False,Banbers,"Wantabe surfer of limited ability & runner of little pace, marathon PB 3:23. Long Standing Plymouth Argyle fan, views are mine and mine alone. Once went viral","St Columb Major, Cornwall",False,,
10,463157499,https://pbs.twimg.com/profile_images/1514232713900924934/oOxd_a-z_normal.jpg,https://t.co/iElo4h02sp,"{'followers_count': 2358, 'following_count': 728, 'tweet_count': 41795, 'listed_count': 3}",WairimuJuliet,False,Juliet,"Music Lover | Cat enthusiast | Freddie Mercury Stan | 
Click the link to see some of my playlists on Spotify 😊",WorldWide,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/iElo4h02sp', 'expanded_url': 'https://linktr.ee/JWN304', 'display_url': 'linktr.ee/JWN304'}]}}",1364523620924555264
11,3663211213,https://pbs.twimg.com/profile_images/1521164932787621892/5sa0v2BU_normal.jpg,https://t.co/xq2tUlTT93,"{'followers_count': 18, 'following_count': 30, 'tweet_count': 67, 'listed_count': 1}",AjotaESCPlanet,False,Antonio Jesús,Génesis.,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xq2tUlTT93', 'expanded_url': 'http://www.eurovusionplanet.com', 'display_url': 'eurovusionplanet.com'}]}}",
12,435238425,https://pbs.twimg.com/profile_images/889250813419409409/HJvIoDKt_normal.jpg,,"{'followers_count': 68, 'following_count': 350, 'tweet_count': 1250, 'listed_count': 0}",DanCrookSycamor,False,Dan Crook-Sycamore,That missing 'e' is really going to annoy me...,,False,,
13,1282034185541234689,https://pbs.twimg.com/profile_images/1451642249826160645/gYVfNlu3_normal.jpg,https://t.co/yVbbU15OPe,"{'followers_count': 70, 'following_count': 416, 'tweet_count': 2484, 'listed_count': 0}",420_deepthroat,False,based and cumfilled,if you think twitter needs an edit button you should be shot in the skull,f̵̜̃u̶͕̳̓̈c̶̝̪͝k̴̤̗̍,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yVbbU15OPe', 'expanded_url': 'http://spele.nl', 'display_url': 'spele.nl'}]}}",1406964869660819456
14,490212374,https://pbs.twimg.com/profile_images/1412478925242990592/VZyZV8h__normal.jpg,https://t.co/Rcl97aUkdb,"{'followers_count': 238, 'following_count': 404, 'tweet_count': 6102, 'listed_count': 1}",afkland,False,Alphie,"Writer, artist, role player. Ace, 37, she/her",United States,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Rcl97aUkdb', 'expanded_url': 'https://alphaeus.carrd.co/', 'display_url': 'alphaeus.carrd.co'}]}}",1459740037239566343
15,381199012,https://pbs.twimg.com/profile_images/1341457409726943234/Q_YAwMDK_normal.jpg,https://t.co/z45IfupkHG,"{'followers_count': 86, 'following_count': 133, 'tweet_count': 5295, 'listed_count': 3}",Haxcall,False,Haxcall,"Writer of BBW fiction, collector and connoisseur of plus sized art and fiction. (18+ Only) #BlackLivesMatter",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/z45IfupkHG', 'expanded_url': 'https://www.deviantart.com/haxcall', 'display_url': 'deviantart.com/haxcall'}]}, 'description': {'hashtags': [{'start': 91, 'end': 108, 'tag': 'BlackLivesMatter'}]}}",1406296600893431810
16,1502717556922392576,https://pbs.twimg.com/profile_images/1502722294971797506/f8lryJ4N_normal.jpg,,"{'followers_count': 1, 'following_count': 46, 'tweet_count': 85, 'listed_count': 0}",latte_instant,False,LatteInstant,大体 ROM 専 | in Taiwan | English / Mandarin Chinese / 日本語（勉強中）｜💎 新規ファン｜ラルク大好き｜anime｜sports｜25+ yrs old,,False,,
17,734863156917489664,https://pbs.twimg.com/profile_images/1286964497278742530/z72ugaFb_normal.jpg,,"{'followers_count': 164, 'following_count': 545, 'tweet_count': 8259, 'listed_count': 5}",ManoloNocturno,False,Manolo,La vida es la oxidación terbentácea de la autosauria unípede a la que acotan la icosaedra y dos cañiflas,"Coria del Río, España",False,,
18,58979379,https://pbs.twimg.com/profile_images/1312257887507345408/YYEwXPnf_normal.jpg,,"{'followers_count': 471, 'following_count': 1220, 'tweet_count': 117473, 'listed_count': 15}",Kirsebar,False,🏡💉💉💉jasmine/ジャスミン。👤_👤_👤,"★☆KJeight (hutari no hana)☆★

Ryo N･
K Inoo･NaniwaDanshi･
T Fukuzawa･I Otake･
investment･volleyball･soccer･Yoga･flamenco･tango･crochet･LawCarbo･Goshuin",tokyo,False,,1466308968074997762
19,1460552875906863104,https://pbs.twimg.com/profile_images/1460572169046753280/Nc4zvY0a_normal.jpg,,"{'followers_count': 54, 'following_count': 62, 'tweet_count': 366, 'listed_count': 2}",HortensieBloom,False,紫陽花,名前とアイコン決めたい/3/文系/猫/特進,,False,,
20,3154230955,https://pbs.twimg.com/profile_images/1510062878614827010/3D4VVL5R_normal.jpg,https://t.co/oVyJZwhtQY,"{'followers_count': 2712, 'following_count': 4997, 'tweet_count': 114828, 'listed_count': 70}",emberquade,False,"quade, agent of g.i.r.l. forever","""we are assigned our history, but we decide our future."" | comics writer | eng/fr | creative writing b.a. | he/him | cp | “who gets proof of concept like that?”",toastmate | the Spirit of Fire,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oVyJZwhtQY', 'expanded_url': 'https://quadeandoracle.wordpress.com/', 'display_url': 'quadeandoracle.wordpress.com'}]}}",818202564353257472
21,144907510,https://pbs.twimg.com/profile_images/3068505220/dba79448f249dacf987daa007db5111a_normal.jpeg,,"{'followers_count': 178, 'following_count': 514, 'tweet_count': 3994, 'listed_count': 5}",sreevatson,False,Sreevatson,Indian. தமிழன். Engineer. Music addict. Cricket lover. Software Developer @salesforce,"San Francisco, CA",False,"{'description': {'mentions': [{'start': 74, 'end': 85, 'username': 'salesforce'}]}}",
22,192912735,https://pbs.twimg.com/profile_images/1441481689352581121/MvVaSMap_normal.jpg,,"{'followers_count': 838, 'following_count': 910, 'tweet_count': 43911, 'listed_count': 9}",atram29,False,.:: 🏀👩‍🔬🧪Marta🧪👩‍🔬🏀 ::.,"Química, baskonista,basket-lover, cosmopolita y risueña. De lugar en lugar y tiro que me toca viajar. Luchadora de sueños. Fan del #NoNiNá como andaluza que soy",Errante - Serendipia,False,"{'description': {'hashtags': [{'start': 131, 'end': 138, 'tag': 'NoNiNá'}]}}",1283514550873096192
23,43240913,https://pbs.twimg.com/profile_images/1412061139568058373/Ir1plT9k_normal.jpg,https://t.co/gNsXa5YQZZ,"{'followers_count': 2065, 'following_count': 5002, 'tweet_count': 67731, 'listed_count': 49}",JeffreyHartmann,False,Jeffrey Hartmann 🕊️,Classic/cult film buff; folk rocker at heart | Job found; career needed. #IDWP 🕊️ https://t.co/dPC5Yogu9R 😷,"Chicago, Illinois, USA",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gNsXa5YQZZ', 'expanded_url': 'https://jephmann.com/?utm_source=Twitter&utm_medium=Profile&utm_campaign=TwitterProfile', 'display_url': 'jephmann.com/?utm_source=Tw…'}]}, 'description': {'urls': [{'start': 82, 'end': 105, 'url': 'https://t.co/dPC5Yogu9R', 'expanded_url': 'http://jephmann.com', 'display_url': 'jephmann.com'}], 'hashtags': [{'start': 73, 'end': 78, 'tag': 'IDWP'}]}}",1511398886140698637
24,1432569293506555907,https://pbs.twimg.com/profile_images/1433504112809754629/wQw569sw_normal.jpg,,"{'followers_count': 156, 'following_count': 211, 'tweet_count': 1025, 'listed_count': 0}",devonfucks,False,dev 🌾,they/them • girlboss in stem,,False,,
25,422909740,https://pbs.twimg.com/profile_images/1448356689003126797/6L_6boK8_normal.jpg,https://t.co/TYKl5fWi9V,"{'followers_count': 4589, 'following_count': 3341, 'tweet_count': 20276, 'listed_count': 61}",MartaMadridR,False,💮☕Marta Madrid Ribas📚💻,"Madre, filóloga inglesa, editora, escritora de romántica. ❤️
Autora de #NoDesaparezcas en Amazon. Escribiendo #ProyectoH.", Barcelona / Tordera,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TYKl5fWi9V', 'expanded_url': 'https://msha.ke/martamadridribas', 'display_url': 'msha.ke/martamadridrib…'}]}, 'description': {'hashtags': [{'start': 71, 'end': 86, 'tag': 'NoDesaparezcas'}, {'start': 110, 'end': 120, 'tag': 'ProyectoH'}]}}",1405076923584221187
26,2761116506,https://pbs.twimg.com/profile_images/962467878631981056/HIHsu1k8_normal.jpg,,"{'followers_count': 15, 'following_count': 314, 'tweet_count': 4849, 'listed_count': 0}",tabi_37,False,たび,趣味のこと,,False,,
27,4060901,https://pbs.twimg.com/profile_images/1220899054588133377/Z68C8nF6_normal.jpg,https://t.co/7lELqF9Jdh,"{'followers_count': 3091, 'following_count': 1532, 'tweet_count': 32839, 'listed_count': 108}",jimohagan,False,James O'Hagan 🇺🇦 🇮🇪 🇺🇸,Founder of The Academy of Esports (@taoesports). Contributor to @EsportsEduChat. @RacineUnified Dir. of Digital & Virtual Learning. @RacineLibrary Board. He/Him,"Racine, WI",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7lELqF9Jdh', 'expanded_url': 'https://linktr.ee/jimohagan', 'display_url': 'linktr.ee/jimohagan'}]}, 'description': {'mentions': [{'start': 35, 'end': 46, 'username': 'taoesports'}, {'start': 64, 'end': 79, 'username': 'EsportsEduChat'}, {'start': 81, 'end': 95, 'username': 'RacineUnified'}, {'start': 132, 'end': 146, 'username': 'RacineLibrary'}]}}",1476506881220919300
