,public_metrics,url,profile_image_url,protected,entities,verified,name,id,pinned_tweet_id,username,description,location
0,"{'followers_count': 346, 'following_count': 399, 'tweet_count': 27099, 'listed_count': 8}",https://t.co/PG4p4dGYJO,https://pbs.twimg.com/profile_images/304434719/58775967_4983575732_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PG4p4dGYJO', 'expanded_url': 'https://letterboxd.com/jessew/', 'display_url': 'letterboxd.com/jessew/'}]}}",False,Jesse,14357062,552516830498394112,Eegah,Ok Twitterer.,"Chattanooga, TN"
1,"{'followers_count': 20, 'following_count': 94, 'tweet_count': 3498, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1508188735707488259/xrnK0tzu_normal.jpg,False,,False,katelyn :),1307852284248961025,1466068062441033738,yaes_real_gf,they/she!! lesbian 💕,
2,"{'followers_count': 13, 'following_count': 102, 'tweet_count': 162, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1476818156677398528/iGQeK9DU_normal.jpg,False,,False,白痴課程後期,1412356187337625602,,WakanTanka1994,白痴課程後期。,峠の象
3,"{'followers_count': 67, 'following_count': 97, 'tweet_count': 3582, 'listed_count': 0}",https://t.co/RkQPM468lq,https://pbs.twimg.com/profile_images/1480214254930345985/upxbZeDu_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RkQPM468lq', 'expanded_url': 'http://www.deejamminnails.com', 'display_url': 'deejamminnails.com'}]}}",False,Oh No!,1103694181422325760,1283778065085104128,deebug91,Meh,
4,"{'followers_count': 2187, 'following_count': 3240, 'tweet_count': 43811, 'listed_count': 11}",https://t.co/nIFZfvs13o,https://pbs.twimg.com/profile_images/1132292341711028224/uFLRllNS_normal.png,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nIFZfvs13o', 'expanded_url': 'https://curiouscat.me/nachogarci2005', 'display_url': 'curiouscat.me/nachogarci2005'}]}}",False,Nacho-Never give up #Vacunado 🏳️‍🌈💜🔻,118529639,1181746424196878336,nachogarci2005,"Republicano,aliado feminista y libros,muchos libros.Cojo de nacimiento♿.En mi TL hablo de política y un poco de todo.En proceso formativo revolucionario",Valladolid
5,"{'followers_count': 2, 'following_count': 109, 'tweet_count': 5, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1517498181688299521/W0GyJgBW_normal.jpg,False,,False,Beth Mallino,1517497930030092296,,beth_mallino,I don’t pay any medical bill until it’s red.,"Tucson, AZ"
6,"{'followers_count': 3760, 'following_count': 1106, 'tweet_count': 16051, 'listed_count': 139}",https://t.co/5p5mpsQ84C,https://pbs.twimg.com/profile_images/1446340650832592897/tZi4PF3r_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5p5mpsQ84C', 'expanded_url': 'http://hamishrobertson.com', 'display_url': 'hamishrobertson.com'}]}, 'description': {'hashtags': [{'start': 39, 'end': 44, 'tag': 'lafc'}, {'start': 45, 'end': 50, 'tag': 'ycfc'}, {'start': 51, 'end': 56, 'tag': 'hmfc'}, {'start': 57, 'end': 62, 'tag': 'ggmu'}]}}",True,Hamish Robertson,20192505,1407484891122577412,hamish__r,Foto 📷 + Football ⚽️ + Philanthropy 💡. #lafc #ycfc #hmfc #ggmu,"Los Angeles, CA"
7,"{'followers_count': 6990, 'following_count': 1969, 'tweet_count': 82494, 'listed_count': 21}",https://t.co/LS7TH1EAoM,https://pbs.twimg.com/profile_images/1476052699493904385/qb6pxh6A_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LS7TH1EAoM', 'expanded_url': 'https://www.artstation.com/afkiwill', 'display_url': 'artstation.com/afkiwill'}]}, 'description': {'mentions': [{'start': 38, 'end': 47, 'username': 'andy_gei'}, {'start': 57, 'end': 69, 'username': 'DanGamer111'}, {'start': 82, 'end': 91, 'username': 'afkiwill'}]}}",False,🌻Laura🌻,2369242634,1508872080875524101,Laujita_,"🌱ESP-ENG | A veces dibujo cosas🌱
💕PP: @andy_gei | Match: @DanGamer111 💕
✨2nd acc: @afkiwill✨",Spain|She/Her|Demi🖤🤍💜
8,"{'followers_count': 25, 'following_count': 137, 'tweet_count': 197, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1345592841398059009/2NS0lruU_normal.jpg,False,,False,Caroline Pugh,1344760939808239618,,caroline1968,,"Tupelo, MS"
9,"{'followers_count': 3011, 'following_count': 1137, 'tweet_count': 24596, 'listed_count': 105}",,https://pbs.twimg.com/profile_images/1339624202/Toshikun_icon_00_normal.jpg,False,,False,Toshiyasu Otsuka,135641869,,toshi_otsuka,映画のVFXの仕事を経て、DreamWorks Animationで３DアニメーションのFXを作ってました。現在はフリーで活動中。７月にサンフランシスコから、どうしても住んでみたかったポートランドに引越し。現在は日本に戻ってます。映画、アート、コーヒー、ビール、アウトドア好き。,関東地方
