,entities,verified,description,profile_image_url,public_metrics,url,username,id,name,protected,location,pinned_tweet_id
0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LIC0oWuHNj', 'expanded_url': 'http://phrontisterionblog.wordpress.com', 'display_url': 'phrontisterionblog.wordpress.com'}]}}",False,"Klassischer Philologe, Liebhaber von Sprache und allem Ernsten und Unernsten, das man damit treiben kann. Tummelt sich hier rein privat.",https://pbs.twimg.com/profile_images/653599052899205120/grQPlv-G_normal.jpg,"{'followers_count': 97, 'following_count': 146, 'tweet_count': 1133, 'listed_count': 1}",https://t.co/LIC0oWuHNj,GerritKloss,1905529813,Gerrit Kloss,False,Mannheim/Heidelberg,
1,,False,Another London.,https://pbs.twimg.com/profile_images/1311587964909162496/1Oyp7ZrG_normal.jpg,"{'followers_count': 259, 'following_count': 925, 'tweet_count': 7563, 'listed_count': 0}",,philiponawing,238124818,Philip Adams,False,London,
2,"{'description': {'hashtags': [{'start': 101, 'end': 117, 'tag': 'ForeverEuropean'}, {'start': 119, 'end': 135, 'tag': 'Refugeeswelcome'}, {'start': 136, 'end': 150, 'tag': 'dontbuythesun'}]}}",False,"Professional couch potato. Mancunian. MUFC. Rejoiner. Love my two cats. Love NHS 💙 Views are my own. #ForeverEuropean.
#Refugeeswelcome
#dontbuythesun",https://pbs.twimg.com/profile_images/526374526972489728/bANFN5q5_normal.jpeg,"{'followers_count': 4556, 'following_count': 4358, 'tweet_count': 8411, 'listed_count': 1}",,BaldyBob70,527341299,Robert Leonard 🇪🇺🏳️‍🌈🇺🇦#FBPE #RejoinEU,False,"Manchester, England",
3,,False,ทวิตตามที่คิด ทวิตตามอารมณ์ ส่วนมากสายหื่น ส่วนน้อยสายคำคม เก่งแต่วิจารณ์ แต่ให้ทำเองก็ทำไม่ได้,https://pbs.twimg.com/profile_images/1496490373644177411/YTYlTSCd_normal.jpg,"{'followers_count': 2371, 'following_count': 904, 'tweet_count': 43163, 'listed_count': 6}",,hotdarkcoff,626190376,Hot Dark Coff,False,,
4,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LITftixWmP', 'expanded_url': 'http://www.andrewgill.ca', 'display_url': 'andrewgill.ca'}]}, 'description': {'hashtags': [{'start': 65, 'end': 76, 'tag': 'BillsMafia'}]}}",False,"Husband, Father. Mortgage Agent, Firefighter, Buffalo Bills fan. #BillsMafia Forever",https://pbs.twimg.com/profile_images/1500992933906067460/ngM50NHg_normal.jpg,"{'followers_count': 132, 'following_count': 690, 'tweet_count': 2903, 'listed_count': 2}",https://t.co/LITftixWmP,AndrewWGill1,1252695983307329549,Andrew Gill,False,"St. Catharines, Ontario",
5,,False,"Old Westy, old rocker, BBQ tragic, budding photographer, Springsteen fan. Science is real. There's always someone worse off. Dogs are good people.",https://pbs.twimg.com/profile_images/1516729992767414279/jXECTywU_normal.jpg,"{'followers_count': 1058, 'following_count': 1165, 'tweet_count': 21824, 'listed_count': 31}",,rustedon1962,42632231,Tony Bee,False,Melbourne,
6,,False,ただの人の壁を超えられたらと考えるマンネリな私でも何かを変えられるのなら、この世界を幸せにできるのかな(心臓は泊まることを知らぬ強者),https://pbs.twimg.com/profile_images/1459832077692866560/mqDnaTl0_normal.jpg,"{'followers_count': 52, 'following_count': 129, 'tweet_count': 9297, 'listed_count': 1}",,PlanettaOrion,270342919,Unbekannt,False,,
7,,False,"🏴󠁧󠁢󠁳󠁣󠁴󠁿 Grumpy woke boomer (💉💉💉💉),🕊 ,❤️.",https://pbs.twimg.com/profile_images/1434714325197856770/WhK9C7dn_normal.jpg,"{'followers_count': 161, 'following_count': 659, 'tweet_count': 8129, 'listed_count': 3}",,SayerBrian,1155990288,Brian Sayer,False,Gadigal country. ,
8,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BC1P07NThA', 'expanded_url': 'http://KanTan.Hu', 'display_url': 'KanTan.Hu'}]}}",False,中国共産党に乗っ取られた首相独裁のハンガリーのシュールな惨状とその他の国際関係について漫筆📝引用情報はダブルチェック要⚠情報選別・翻訳に精一杯で発信メインなのでスキ・リプ・フォローなしにはご容赦を🙇‍♀️コメントはご自由に（当方免責）💡職業ジャーナリストではありません,https://pbs.twimg.com/profile_images/1451202512611000326/WRPS6i0S_normal.jpg,"{'followers_count': 710, 'following_count': 295, 'tweet_count': 40692, 'listed_count': 0}",https://t.co/BC1P07NThA,eikotoda,101199519,Eiko Toda,False,"Budapest, Hungary",1520701410933116928
9,,False,no thoughts head empty ✨,https://pbs.twimg.com/profile_images/1388561839991123973/G-ie-JFE_normal.jpg,"{'followers_count': 244, 'following_count': 213, 'tweet_count': 3441, 'listed_count': 0}",,a_mkbnta,2279166948,a.💚,False,ph,1182609457697587200
10,"{'description': {'hashtags': [{'start': 71, 'end': 84, 'tag': 'Mmemberville'}]}}",False,"smoke em if you got em, watch movies. she/her cash app $kasieCash82    #Mmemberville",https://pbs.twimg.com/profile_images/1519103262166818818/FPY-wiwu_normal.jpg,"{'followers_count': 973, 'following_count': 1790, 'tweet_count': 18158, 'listed_count': 3}",,captKangol,3096576336,Graham lines🌽🍄☘️,False,Iowa,1518781830345936896
11,,False,"Ancient Adolescent. Been there, got the silly coin. Opinions evolve as they are shaped by experience, time, and study.",https://pbs.twimg.com/profile_images/1495727245410934784/ulDAUdG2_normal.jpg,"{'followers_count': 1952, 'following_count': 2331, 'tweet_count': 54572, 'listed_count': 8}",,images_mc,20044711,Mike M.,False,Northern Virginia,
12,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/pScnMIUbLR', 'expanded_url': 'http://twitch.tv/yaeimy', 'display_url': 'twitch.tv/yaeimy'}]}}",False,"Editora amateur | A veces consigo dibujar algo decente | Nosequemasdecir 😶

⌛Todas las almas marchan cuando cae el sol ⏳",https://pbs.twimg.com/profile_images/1443121123386957826/a7-7R4DW_normal.jpg,"{'followers_count': 52, 'following_count': 239, 'tweet_count': 3427, 'listed_count': 3}",https://t.co/pScnMIUbLR,_yaeimy,448933217,Yaeimy,False,Spain,1497932913723289600
13,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yeL9ug2VUZ', 'expanded_url': 'https://www.summitbusinessguides.com', 'display_url': 'summitbusinessguides.com'}]}, 'description': {'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/lD0T7hSIGK', 'expanded_url': 'https://www.linkedin.com/in/ryanjhowesbg/', 'display_url': 'linkedin.com/in/ryanjhowesb…'}]}}",False,Strategic Business Guide. Hidden Talent: Can cook minute rice in 58 seconds. ERAU Alum.  https://t.co/lD0T7hSIGK,https://pbs.twimg.com/profile_images/1492204596684546057/zAQ5TmG7_normal.jpg,"{'followers_count': 418, 'following_count': 233, 'tweet_count': 9859, 'listed_count': 7}",https://t.co/yeL9ug2VUZ,morupside,759078155650871298,Ryan Howe,False,"Old Orchard Beach, ME",
14,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SHFmyj9Zd3', 'expanded_url': 'https://www.fosemeight.com/', 'display_url': 'fosemeight.com'}]}, 'description': {'hashtags': [{'start': 64, 'end': 76, 'tag': 'Lakernation'}, {'start': 79, 'end': 86, 'tag': 'RiseUp'}, {'start': 89, 'end': 97, 'tag': 'GoDawgs'}, {'start': 100, 'end': 107, 'tag': 'ChopOn'}, {'start': 110, 'end': 123, 'tag': 'YGScommittee'}]}}",False,Macon-bred | Georgia Southern Alumni | Electrical Engineering | #Lakernation | #RiseUp | #GoDawgs | #ChopOn | #YGScommittee | A.Y.A.T. | #1911 🐶,https://pbs.twimg.com/profile_images/1263990014725230592/gBwrE1h0_normal.jpg,"{'followers_count': 1366, 'following_count': 1167, 'tweet_count': 127764, 'listed_count': 10}",https://t.co/SHFmyj9Zd3,Dre_Dat,28372137,Dre Harris,False,,921198957707124736
15,,False,"Hombres G 😍 la banda sonora de mi vida!!!
♥️ y alma G ...
Malagueña, cofrade, Hermana de Pollinica 💚 y Sentencia 💜 ... para que más¡¡ 😀",https://pbs.twimg.com/profile_images/1338871111883304966/ZlAlTpeI_normal.jpg,"{'followers_count': 356, 'following_count': 997, 'tweet_count': 6848, 'listed_count': 0}",,HGthebest,975728469429686273,SilHG,False,Málaga  .... el paraíso ,1005792201870336000
16,,False,"学業廃棄物と化した,無季さんの全手動bot。 背丈が10 cmほどのAquarsメンバーがなにやらわ楽しいことを見つけて、わちゃわちゃ遊んでいたら、とても可愛いと思いました。",https://pbs.twimg.com/profile_images/854329043017121794/qlV9gwTM_normal.jpg,"{'followers_count': 558, 'following_count': 942, 'tweet_count': 195976, 'listed_count': 33}",,__muki,198841135,",無季",False,闇の平謝り,558126594351706112
