,id,name,public_metrics,url,description,profile_image_url,protected,username,verified,entities,location,pinned_tweet_id
0,1283007982268112898,あめ☂️,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 108, 'listed_count': 0}",,健康に留意したい,https://pbs.twimg.com/profile_images/1283742862568382464/Eb4meZic_normal.jpg,False,g4202010,False,,,
1,1417856183465955331,jumbo_gamer,"{'followers_count': 1, 'following_count': 17, 'tweet_count': 139, 'listed_count': 0}",,"ゲーム垢。fgo,teppen,コンパスその他",https://pbs.twimg.com/profile_images/1434908028982022147/G9ImD4ZC_normal.jpg,False,gamer_jumbo,False,,,
2,3069652494,YuKa*👀天皇賞(春)📣シルヴァーソニック,"{'followers_count': 163, 'following_count': 189, 'tweet_count': 34350, 'listed_count': 13}",https://t.co/PLicrivh5U,【⚗】身内からはゆかちと呼ばれてます。🐴どけ！俺は不退転だぞ！🐴競馬は初心者のちなヤクJK。前走と血統を最重視。昔はニコニコで密かに色々してました。 フォロバは気まぐれ。icon:@Go_Go_Maxi ※転載転用厳禁,https://pbs.twimg.com/profile_images/1233674544776245254/8mwbr6f4_normal.jpg,False,YuKa_Myosotis,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PLicrivh5U', 'expanded_url': 'https://peing.net/ja/myosotis__moon?event=0', 'display_url': 'peing.net/ja/myosotis__m…'}]}, 'description': {'mentions': [{'start': 90, 'end': 101, 'username': 'Go_Go_Maxi'}]}}",水と緑と修羅の国、fukuoka,1241559845498531842
3,1277509071713820672,i am cat,"{'followers_count': 210, 'following_count': 4799, 'tweet_count': 16920, 'listed_count': 5}",,"Read her comics: https://t.co/9PhkBM857y
They are beautiful and sad.",https://pbs.twimg.com/profile_images/1514995452625707010/eC1AxUQ3_normal.jpg,False,RabbitsGhost,False,"{'description': {'urls': [{'start': 17, 'end': 40, 'url': 'https://t.co/9PhkBM857y', 'expanded_url': 'http://lovingreaper.com/media_gallery', 'display_url': 'lovingreaper.com/media_gallery'}]}}",Space,1448786999993831424
4,115655967,Boris Ammerlaan,"{'followers_count': 52, 'following_count': 324, 'tweet_count': 4189, 'listed_count': 0}",,he / him,https://pbs.twimg.com/profile_images/986029505/ytlm_logo_50x50_normal.jpg,False,BorisAmmerlaan,False,,,
5,2894443814,செந்தில் | Senthil,"{'followers_count': 51, 'following_count': 382, 'tweet_count': 987, 'listed_count': 1}",,"Internetovert | Proton | Pied piper, Hooli, SpaceX fan boy | How could someone be Smart and Clueless at same time ?

Likes are bookmarks",https://pbs.twimg.com/profile_images/1331439245827796994/eUh9bTLo_normal.jpg,False,SenthilTweets_,False,,Nili Fossae,
6,1277380504405323776,channing 🧚‍♀️🦋,"{'followers_count': 286, 'following_count': 408, 'tweet_count': 8812, 'listed_count': 1}",,possibly tw || fuck bpd&cptsd || now I’m a warrior || pokemon+marvel trash || lesbian,https://pbs.twimg.com/profile_images/1489056495224467459/AC6Bgyli_normal.jpg,False,gIitterfairyx,False,,25 || Cardiff || she/her ||,1362937700953776128
7,1496800943534673923,jan,"{'followers_count': 165, 'following_count': 185, 'tweet_count': 677, 'listed_count': 2}",https://t.co/XuQ4KdeIbn,"19, she/her. book blogger and reader. sometimes a writer.",https://pbs.twimg.com/profile_images/1513821221569560580/ZW0FS2Ma_normal.jpg,False,ink_spun,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/XuQ4KdeIbn', 'expanded_url': 'http://inkspuntales.wordpress.com', 'display_url': 'inkspuntales.wordpress.com'}]}}",cr: the girls i've been,1513845494182981635
8,1430731525729906695,Komal (Taylor's version)🧣| ia,"{'followers_count': 2206, 'following_count': 2094, 'tweet_count': 9096, 'listed_count': 6}",,I'm just a girl patiently waiting for speak now(taylor's version)💜|bookworm| Jameson Hawthorne supremacy|she/her,https://pbs.twimg.com/profile_images/1470583759829286912/q6Rg1SA2_normal.jpg,False,tayishaunted13,False,,India,1509133705138245634
9,514633508,Madame Twiggy: 𝓗𝓸𝓾𝓼𝓮 𝓞𝓯 𝓘𝓵𝓵 𝓡𝓮𝓹𝓾𝓽𝓮,"{'followers_count': 3469, 'following_count': 1865, 'tweet_count': 28768, 'listed_count': 12}",https://t.co/OaafasK5AD,#barkini™️wearing #SmoothCollie. 🥁er #BovverBand #pigposse #ruffriderz #theaviators Major/Medic in #ZSHQ #grayfacemafia #MountaineeringBears +1 dog #hedgewatch,https://pbs.twimg.com/profile_images/1521631864728932352/bhCToaN__normal.jpg,False,CollieTwiggy,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OaafasK5AD', 'expanded_url': 'https://www.youtube.com/channel/UC5Q1mLKfRctLcKFNnTEaFSQ', 'display_url': 'youtube.com/channel/UC5Q1m…'}]}, 'description': {'hashtags': [{'start': 0, 'end': 8, 'tag': 'barkini'}, {'start': 18, 'end': 31, 'tag': 'SmoothCollie'}, {'start': 37, 'end': 48, 'tag': 'BovverBand'}, {'start': 49, 'end': 58, 'tag': 'pigposse'}, {'start': 59, 'end': 70, 'tag': 'ruffriderz'}, {'start': 71, 'end': 83, 'tag': 'theaviators'}, {'start': 99, 'end': 104, 'tag': 'ZSHQ'}, {'start': 105, 'end': 119, 'tag': 'grayfacemafia'}, {'start': 120, 'end': 140, 'tag': 'MountaineeringBears'}, {'start': 148, 'end': 159, 'tag': 'hedgewatch'}]}}",THE Valley: Furr sure. Gag me,1515497004037664768
10,1358447696634380300,Gary Brooks,"{'followers_count': 273, 'following_count': 433, 'tweet_count': 1803, 'listed_count': 0}",,Colin Bell L2 #93:20 #LegacyBlue,https://pbs.twimg.com/profile_images/1519324645656309761/YmBIqvYP_normal.jpg,False,gab110159,False,"{'description': {'hashtags': [{'start': 21, 'end': 32, 'tag': 'LegacyBlue'}]}}","Worsley, England",
11,213571243,サイレントマスター工藤,"{'followers_count': 101, 'following_count': 137, 'tweet_count': 8761, 'listed_count': 0}",,たまに木こり,https://pbs.twimg.com/profile_images/1094272659251023874/3kMogyfU_normal.jpg,False,K704type17,False,,,
12,925560521947979777,しあ〜ん@しあんぽよ,"{'followers_count': 657, 'following_count': 808, 'tweet_count': 68912, 'listed_count': 0}",,発言で狼陣営なのが透けてしまったのはこの男〜〜〜〜〜っ！！！  笑いのニューウェーブ　人外智則,https://pbs.twimg.com/profile_images/1509910083161161728/Y8-Juzln_normal.jpg,False,dokuso_sia_n,False,,アドミンからインポスターを守る党,1464063088827588611
13,1261771882694676480,Reef,"{'followers_count': 43, 'following_count': 125, 'tweet_count': 4409, 'listed_count': 0}",,Cool,https://pbs.twimg.com/profile_images/1460807956224696322/PgzB1ASV_normal.jpg,False,ReefWinkyFace,False,,here,1491225874515247106
14,130291190,ول ول,"{'followers_count': 205, 'following_count': 296, 'tweet_count': 22856, 'listed_count': 7}",,Uncertain‏‏ mediocre,https://pbs.twimg.com/profile_images/1341905909916827650/Srewq7wC_normal.jpg,False,WalidElrouby,False,, الاسكندرية,1078590798218833920
15,19256149,Michelle,"{'followers_count': 120, 'following_count': 80, 'tweet_count': 14571, 'listed_count': 7}",,Be yourself; everyone else is already taken - Oscar Wilde,https://pbs.twimg.com/profile_images/1316872709670760449/tVPosmuH_normal.jpg,False,insaneheadspace,False,,"Auckland, NZ",1286462714223591425
16,2657164356,trielly,"{'followers_count': 904, 'following_count': 5003, 'tweet_count': 7148, 'listed_count': 0}",,"Father. Lover of history, music, books, crosswords, and food. Single malt scotch. U2. Proud Democrat  Jets, Nationals, NY Rangers, & Syracuse University Sports.",https://pbs.twimg.com/profile_images/1392953656920743937/6FRGyTsV_normal.jpg,False,trielly929661,False,,Syracuse NY,
17,1201080516209991681,Serendipity 🍀✨,"{'followers_count': 284, 'following_count': 337, 'tweet_count': 1402, 'listed_count': 1}",,"Medical Student⚕️👩🏾‍⚕️ ➕ 
Web Developer👩‍💻💻",https://pbs.twimg.com/profile_images/1515459706420137988/MpvVPiNR_normal.jpg,False,Chy_dynmah,False,,in the Air,
