,protected,entities,verified,id,description,name,pinned_tweet_id,url,username,profile_image_url,public_metrics,location
0,False,"{'description': {'hashtags': [{'start': 33, 'end': 37, 'tag': 'LFC'}, {'start': 39, 'end': 45, 'tag': 'BNK48'}, {'start': 46, 'end': 59, 'tag': 'TarwaanBNK48'}, {'start': 63, 'end': 75, 'tag': 'NamsaiBNK48'}, {'start': 78, 'end': 88, 'tag': 'PupeBNK48'}, {'start': 91, 'end': 103, 'tag': 'PaeyahBNK48'}, {'start': 106, 'end': 119, 'tag': 'YoghurtBNK48'}]}}",False,67520634,"dvwzj == กอไผ่,
Introvert,
ISTJ,
#LFC

#BNK48
#TarwaanBNK48 🦦👑
#NamsaiBNK48 🍑
#PupeBNK48 🐣
#PaeyahBNK48 🦕
#YoghurtBNK48",dvwzj ♥️ ตว. 🦦🦕 : kami 7 is real,1484767515792523264,,dvwzj,https://pbs.twimg.com/profile_images/1509933834728402945/VI9Tq402_normal.jpg,"{'followers_count': 359, 'following_count': 295, 'tweet_count': 31855, 'listed_count': 2}",Samut Prakan Province
1,False,,False,1243234573112270848,☆.。.:*she/her. .:*・°☆,g🪐☽༓･*˚⁺‧͙,1334502910307262464,,gharamabuzaid1,https://pbs.twimg.com/profile_images/1452191945946800141/NLjQB-SW_normal.jpg,"{'followers_count': 525, 'following_count': 555, 'tweet_count': 6623, 'listed_count': 1}",saturn
2,False,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/nO4BwmmwHT', 'expanded_url': 'http://www.ingenierofreddo.com.ar', 'display_url': 'ingenierofreddo.com.ar'}]}}",False,116711562,Ingeniero Mecánico. Consultor y Capacitador Profesional,Nestor Freddo,,http://t.co/nO4BwmmwHT,nfreddo,https://pbs.twimg.com/profile_images/746813729560498177/ZJ7vpMP7_normal.jpg,"{'followers_count': 117, 'following_count': 113, 'tweet_count': 1905, 'listed_count': 0}",Buenos Aires ARGENTINA
3,False,,False,186913345,"☠️100% Techie,🤓🧟",Tommie #LastOfTheFamicans,,,t0mm13b,https://pbs.twimg.com/profile_images/1510716114040500228/31LlWpz2_normal.jpg,"{'followers_count': 841, 'following_count': 2185, 'tweet_count': 74633, 'listed_count': 54}",Ireland
4,False,"{'description': {'mentions': [{'start': 80, 'end': 91, 'username': 'Duock_FF11'}]}}",False,16317833,オートバイとヘヴィメタルが好きです。 北欧やドイツ界隈のパワーメタルとかゴシックとかインダストリアル等々。且つ心の故郷はDavid Bowie。FF11アカ→ @Duock_FF11,柚葉,,,YUZUHA_G,https://pbs.twimg.com/profile_images/1445148747143413763/u8ee3ZRJ_normal.jpg,"{'followers_count': 47, 'following_count': 29, 'tweet_count': 1484, 'listed_count': 0}",茨城
5,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MnARN2Im4D', 'expanded_url': 'https://www.sylviapetter.com', 'display_url': 'sylviapetter.com'}]}, 'description': {'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/APDh6D9X1l', 'expanded_url': 'http://pcsfueralle.at', 'display_url': 'pcsfueralle.at'}, {'start': 53, 'end': 76, 'url': 'https://t.co/eLAUvAEgTb', 'expanded_url': 'http://flodobooks.com', 'display_url': 'flodobooks.com'}, {'start': 109, 'end': 132, 'url': 'https://t.co/RWXAmVYb3J', 'expanded_url': 'https://www.eye-books.com/books/all-the-beautiful-liars', 'display_url': 'eye-books.com/books/all-the-…'}]}}",False,989898753237807106,Austr(al)ian; supports https://t.co/APDh6D9X1l; owns https://t.co/eLAUvAEgTb; longlisted nifs 2018/19; debut https://t.co/RWXAmVYb3J,Sylvia Petter,1016607106638729216,https://t.co/MnARN2Im4D,SylviaAPetter,https://pbs.twimg.com/profile_images/1434421418624704516/25FZFT49_normal.jpg,"{'followers_count': 1469, 'following_count': 1910, 'tweet_count': 40200, 'listed_count': 11}",Now in history byteland.
6,False,,False,121389318,ポケモンをはじめとするゲームをこよなく愛する社畜,てぃ～しゃ@0860-3388-0746,708298121235673088,,teisha1991,https://pbs.twimg.com/profile_images/710412051185729536/H1oEUEQr_normal.jpg,"{'followers_count': 206, 'following_count': 274, 'tweet_count': 72737, 'listed_count': 12}",限りなく古都に近い大都市
7,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yuAUU5ljQp', 'expanded_url': 'http://about.me/beggs', 'display_url': 'about.me/beggs'}]}, 'description': {'urls': [{'start': 113, 'end': 136, 'url': 'https://t.co/mdQavCGvgf', 'expanded_url': 'https://www.instagram.com/canson_city/', 'display_url': 'instagram.com/canson_city/'}]}}",False,15438301,"Life is unfair, kill yourself or get over it......... =) ................ Fan de los collages de Kike Congrains: https://t.co/mdQavCGvgf",Beggs Caviar,1488581130655875074,https://t.co/yuAUU5ljQp,La_Beggs,https://pbs.twimg.com/profile_images/378800000598642487/26260d47e6ced1a50fd59d9d30bc02f9_normal.png,"{'followers_count': 5018, 'following_count': 411, 'tweet_count': 167485, 'listed_count': 71}",Barcelona
8,False,,False,835512096,Avengers assemble. ウマ娘 プリティーダービー/デレ/765/水樹奈々/Trident/コードギアス/00/MARVEL/横浜DeNAベイスターズ/,ぶいえふ,1170359806407761920,,vf2500,https://pbs.twimg.com/profile_images/622425758267392000/FE-tY7b7_normal.jpg,"{'followers_count': 193, 'following_count': 853, 'tweet_count': 86296, 'listed_count': 0}",日本
9,False,,False,215475574,ॐ  Human & Civil Rights. Egalitarian. Anti-fascist. Rugby (both rules). Homo. European. Cymro. Hispanohablante (casi). ॐ,Leigh Canham,,,leighcanham,https://pbs.twimg.com/profile_images/1503880722662187010/2Y13Ua0F_normal.jpg,"{'followers_count': 1255, 'following_count': 2670, 'tweet_count': 13081, 'listed_count': 26}","Caerdydd, Cymru/Cardiff, Wales"
10,False,,False,964081258467913728,,Romina Fiore,,,RominaFiore6,https://pbs.twimg.com/profile_images/1462591972338593795/ZYiPhR6l_normal.jpg,"{'followers_count': 511, 'following_count': 907, 'tweet_count': 2809, 'listed_count': 0}",
11,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OaPc2vr61w', 'expanded_url': 'http://com.nicovideo.jp/community/co1941699', 'display_url': 'com.nicovideo.jp/community/co19…'}]}}",False,1384450184,"ポケモン/LoL/VRChat/FPS系/ラスピリ/アークナイツ/原神/ポケ森/その他いろいろ

BGM中毒者
Discord:buimoffu#8060
Switch:5621-7266-2324",ブイもっふ,,https://t.co/OaPc2vr61w,buimoffu,https://pbs.twimg.com/profile_images/1278805505889013760/Xd78f_ha_normal.jpg,"{'followers_count': 1271, 'following_count': 1064, 'tweet_count': 133098, 'listed_count': 0}","Gdansk, Poland"
12,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/y2GH397IMF', 'expanded_url': 'https://letterboxd.com/filmfan1971/', 'display_url': 'letterboxd.com/filmfan1971/'}]}, 'description': {'hashtags': [{'start': 94, 'end': 107, 'tag': 'PreCodeApril'}], 'mentions': [{'start': 23, 'end': 39, 'username': 'FatalAttractPod'}]}}",False,20962510,"Film critic, podcaster @FatalAttractPod, compiler/co-author of What To Watch When, creator of #PreCodeApril. Hasn't missed an episode of EastEnders since 1998.",Matthew Turner,1507758033547546629,https://t.co/y2GH397IMF,FilmFan1971,https://pbs.twimg.com/profile_images/1343508125173899265/abvUcuV2_normal.jpg,"{'followers_count': 11713, 'following_count': 7789, 'tweet_count': 161307, 'listed_count': 432}",Ealing
13,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yNj1RazMbT', 'expanded_url': 'http://www.tiktok.com/@josh_more1', 'display_url': 'tiktok.com/@josh_more1'}]}}",False,61792149,"31, Scottish, He/They.


 
'a very kind, generous and funny liability'",Josh 🏴󠁧󠁢󠁳󠁣󠁴󠁿,1308375544870899713,https://t.co/yNj1RazMbT,Josh_More,https://pbs.twimg.com/profile_images/1516750868711882756/RTC8BLiH_normal.jpg,"{'followers_count': 1050, 'following_count': 835, 'tweet_count': 130167, 'listed_count': 14}","Stirling, Scotland"
14,False,,False,242530414,23 | UMD Alumna | she/her,kerrie❀,1389438452949716992,,kerrrriiiieeee,https://pbs.twimg.com/profile_images/1519169498552705030/qv07mI9M_normal.jpg,"{'followers_count': 516, 'following_count': 739, 'tweet_count': 53513, 'listed_count': 5}",Maryland ✈️ Illinois
15,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EqEKIReyZO', 'expanded_url': 'https://www.wraithfx.com/', 'display_url': 'wraithfx.com'}]}, 'description': {'mentions': [{'start': 43, 'end': 51, 'username': '225187X'}]}}",False,1356372852417638404,"Gamer, Graphic Designer, Human. (Banner By @225187X)",Wraith,,https://t.co/EqEKIReyZO,wr__th,https://pbs.twimg.com/profile_images/1440834062420099075/rlhI07-g_normal.jpg,"{'followers_count': 13, 'following_count': 124, 'tweet_count': 95, 'listed_count': 0}",Earth
