,verified,description,protected,url,public_metrics,entities,location,profile_image_url,pinned_tweet_id,name,id,username
0,False,I'm crazy and lazy.,False,https://t.co/pPBRNdPgEJ,"{'followers_count': 610, 'following_count': 412, 'tweet_count': 13419, 'listed_count': 6}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/pPBRNdPgEJ', 'expanded_url': 'https://push.fm/fl/time-ravel', 'display_url': 'push.fm/fl/time-ravel'}]}}",Magelang ~ Semarang (PP),https://pbs.twimg.com/profile_images/1402181776408154117/NG6Ssiyz_normal.jpg,1414057626866884612,Jangka,392778079,masjangka
1,False,Finish what you sta,False,,"{'followers_count': 36, 'following_count': 203, 'tweet_count': 5902, 'listed_count': 0}",,"Charlotte, NC",https://pbs.twimg.com/profile_images/1228832356494192650/KqCQBxpX_normal.jpg,,TJC is a fake fan,953098029141315587,TJisOK
2,False,,False,,"{'followers_count': 182, 'following_count': 1061, 'tweet_count': 9746, 'listed_count': 3}",,日本,https://pbs.twimg.com/profile_images/1470786253909938176/KShIzcKJ_normal.jpg,,(taco),585688278,pourvoler
3,False,"Gri/Leg || she/they || seiichirou kondou&ogata hyakunosuke @ isola - just a lone leg || grigata @ Starira, grii @ fgo (both)",False,,"{'followers_count': 586, 'following_count': 736, 'tweet_count': 294217, 'listed_count': 7}",,ogata,https://pbs.twimg.com/profile_images/1483495863851044865/bvh2Atvk_normal.png,1486049209509990402,basic assorted turbo virgin legs,2476938270,ogataslegs
4,False,Misántropa leve.,False,,"{'followers_count': 226, 'following_count': 192, 'tweet_count': 30525, 'listed_count': 2}",,,https://pbs.twimg.com/profile_images/1479219822475030528/zOgosWrW_normal.jpg,1297434720956030976,Guiss,14889306,Guiss
5,False,"Joel Donato Ching Jacob, Writer. Madrigal Gonzales Best First Book Award '21. Ani ng Dangal for Literature '21. Clarion West Class of '21.",False,https://t.co/IEDDSHKDu3,"{'followers_count': 1581, 'following_count': 1554, 'tweet_count': 26559, 'listed_count': 4}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/IEDDSHKDu3', 'expanded_url': 'https://linktr.ee/wingofthelocust', 'display_url': 'linktr.ee/wingofthelocust'}]}}",Ma'I,https://pbs.twimg.com/profile_images/1506490290445910018/Bu19RVTi_normal.jpg,1507004877943181324,Condemner of BBM. Not A Leni Supporter.,382936015,chimeracupkeyk
6,False,"@adi_heri 's wife ~ mom of 3 ~ long-life learner ~ BekasiJakarta pp
🇮🇩",False,,"{'followers_count': 352, 'following_count': 350, 'tweet_count': 15548, 'listed_count': 1}","{'description': {'mentions': [{'start': 0, 'end': 9, 'username': 'adi_heri'}]}}",Bekasi,https://pbs.twimg.com/profile_images/1407902854833049602/nO-wih4j_normal.jpg,1322920288003108866,Kopi Shell Numero Uno,47054207,iamretty
7,False,Aslen Biyolog | Social Media Post Designer & Specialist | Content Editor (SEO) | Founder @bbaknedicem @mizahiyonden @KomediPets,False,https://t.co/DpQ5BrjCzq,"{'followers_count': 141, 'following_count': 193, 'tweet_count': 988, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DpQ5BrjCzq', 'expanded_url': 'https://www.behance.net/tolgaakogretmen', 'display_url': 'behance.net/tolgaakogretmen'}]}, 'description': {'mentions': [{'start': 89, 'end': 101, 'username': 'bbaknedicem'}, {'start': 102, 'end': 115, 'username': 'mizahiyonden'}, {'start': 116, 'end': 127, 'username': 'KomediPets'}]}}",Türkiye,https://pbs.twimg.com/profile_images/1431015352637562894/WH3rhyMI_normal.jpg,1435185643919904768,Tolga Aköğretmen,597443606,tolgaakogretmen
8,False,,False,,"{'followers_count': 30, 'following_count': 165, 'tweet_count': 1096, 'listed_count': 0}",,"NJ, US ",https://pbs.twimg.com/profile_images/855293289863421952/KXs-zteg_normal.jpg,,Chintan Joshi,636364677,ChintanJ1
9,False,🇲🇽🦙💎3D Character Animator / Digital Artist | She/Her | 📚🤓 | 💬🇪🇸🇬🇧🇫🇷 💬 👩🏻‍🎓🇨🇳🇯🇵🇩🇪🇰🇷|,False,,"{'followers_count': 471, 'following_count': 2490, 'tweet_count': 17367, 'listed_count': 31}",,Mexico,https://pbs.twimg.com/profile_images/1475193365646004234/75zaR-PO_normal.jpg,,Pau 6v6,47520552,lunapaulina
