,name,url,protected,profile_image_url,id,username,public_metrics,description,verified,location,pinned_tweet_id,entities
0,Stephen Hemby,,False,https://pbs.twimg.com/profile_images/1453056759178932225/g33PwROV_normal.jpg,289719639,CoachShemby,"{'followers_count': 1385, 'following_count': 1825, 'tweet_count': 1325, 'listed_count': 0}",DC and Assistant OL at Cape Central  - Husband to Tori - Father to Nolan and Sloan - OL Enthusiast,False,"Cape Girardeau, MO",,
1,"Ekhdal Brand: Ace, Cheesehead, King of Snark🧀🇺🇦",,False,https://pbs.twimg.com/profile_images/1439280033856622596/rg1kJXoM_normal.png,21664988,LordJunon,"{'followers_count': 73, 'following_count': 433, 'tweet_count': 36218, 'listed_count': 12}","Working on Board Games!
Walking ball of anxiety, depression, sports, gaming & cats. King of snark. Prince of Puns. Talimancer. Cheesehead. He/Him. BLM Ace.♠️",False,Butler PA: Cactaur Server,860899303082119168,
2,Roberto Ramirez,,False,https://pbs.twimg.com/profile_images/687323858156843008/B0NjaG4H_normal.jpg,51474711,rramirez_d,"{'followers_count': 160, 'following_count': 427, 'tweet_count': 3980, 'listed_count': 1}",,False,,,
3,Mankutimma,,False,https://pbs.twimg.com/profile_images/1254097849442164736/SN2hnsns_normal.jpg,3308497633,kaggaVichara,"{'followers_count': 225, 'following_count': 791, 'tweet_count': 32107, 'listed_count': 10}","It's not about ideas, but about making ideas a reality. 
- Anon",False,,1121631872939728896,
4,Elizabeth Lund,,False,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,64944153,elizabethslund,"{'followers_count': 6, 'following_count': 419, 'tweet_count': 310, 'listed_count': 0}","Teacher, mom, reader, writer, traveler, photographer and more",False,"Kenmore, WA",,
5,まさぼ,https://t.co/Y4bDFflK7u,False,https://pbs.twimg.com/profile_images/1298456694561755137/Krg0XoF1_normal.jpg,1238114645342183425,ITF_kils20,"{'followers_count': 463, 'following_count': 392, 'tweet_count': 6145, 'listed_count': 4}",klis20,False,大阪府民,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Y4bDFflK7u', 'expanded_url': 'https://www.nytimes.com/games/wordle/index.html', 'display_url': 'nytimes.com/games/wordle/i…'}]}}"
6,Brent Read,,False,https://pbs.twimg.com/profile_images/948615413277118466/LTMUJVzg_normal.jpg,948602698068365318,BrentRead2,"{'followers_count': 101, 'following_count': 291, 'tweet_count': 702, 'listed_count': 0}","Music teacher by day. Musician 24/7. DoM with @hpconcertband. Sax/Clarinet player with @thefireband, @pure4tet and Humber Stein Stompers. Wakefield Trinity fan!",False,"Wakefield, England",,"{'description': {'mentions': [{'start': 46, 'end': 60, 'username': 'hpconcertband'}, {'start': 87, 'end': 99, 'username': 'thefireband'}, {'start': 101, 'end': 110, 'username': 'pure4tet'}]}}"
7,ʙᴏᴏᴍᴇʀ‼️,,False,https://pbs.twimg.com/profile_images/1501740783099068419/tj9omiya_normal.jpg,4414259953,VenablesEra,"{'followers_count': 1094, 'following_count': 964, 'tweet_count': 28628, 'listed_count': 3}",httr & bfms | ou ’21 alum | @commanders | @OU_Football | @OU_MBBall | @WashWizards | @ManUtd,False,yo mommas ass,1139633245107249153,"{'description': {'mentions': [{'start': 28, 'end': 39, 'username': 'commanders'}, {'start': 42, 'end': 54, 'username': 'OU_Football'}, {'start': 57, 'end': 67, 'username': 'OU_MBBall'}, {'start': 70, 'end': 82, 'username': 'WashWizards'}, {'start': 85, 'end': 92, 'username': 'ManUtd'}]}}"
8,joelgujjarlapudi,https://t.co/iWI2xfTjaU,False,https://pbs.twimg.com/profile_images/1469430524447965191/PTAm869B_normal.jpg,57950606,joelgujarlapudi,"{'followers_count': 142, 'following_count': 2901, 'tweet_count': 2718, 'listed_count': 0}","DBA - Fun Person 2 Hangout with 😝 ✝️,🌷-🌲, 🎥 , 🖥, 🎧, 🎭-🎨, 👕-👗, 🍗 & 📚 fascinates me 😄 - Living in Atlanta, GA 🇺🇸 👨‍👩‍👦",False,"Atlanta, GA",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/iWI2xfTjaU', 'expanded_url': 'http://fb.com/JoelGsays', 'display_url': 'fb.com/JoelGsays'}]}}"
9,Thotanical garden,,False,https://pbs.twimg.com/profile_images/1517964370629828608/J3Gqx_Ad_normal.jpg,200596555,nyquil_jones,"{'followers_count': 170, 'following_count': 319, 'tweet_count': 18222, 'listed_count': 1}",The most ill-informed man on twitter. mostly here to get my thoughts off,False,DM[V],1109666980930428928,
