,location,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,pinned_tweet_id,entities
0,SoFla,Barry ,False,,False,"{'followers_count': 217, 'following_count': 166, 'tweet_count': 6695, 'listed_count': 4}","Retired fruit sales manager.  Sports car fanatic, history nerd, travel junkie.",https://pbs.twimg.com/profile_images/82081217/blackeye_normal.jpg,iBaz66,21729445,,
1,Deutschland,Harald Ackerschott,False,https://t.co/SZbjKWVCSi,False,"{'followers_count': 283, 'following_count': 107, 'tweet_count': 2678, 'listed_count': 4}","came here to follow @bhorsetrials, found @MFratzscher again, joined @recruitingrebels @Twitter is fun.
https://t.co/UYB5dtCswz
Podcast: https://t.co/quXfIUhS2c",https://pbs.twimg.com/profile_images/1174206986075955202/NJTeMtrR_normal.jpg,Ha_Ackerschott,729318582937657344,1146357204196483072,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SZbjKWVCSi', 'expanded_url': 'https://www.abci.de', 'display_url': 'abci.de'}]}, 'description': {'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/UYB5dtCswz', 'expanded_url': 'http://eignungsdiagnostik.info', 'display_url': 'eignungsdiagnostik.info'}, {'start': 136, 'end': 159, 'url': 'https://t.co/quXfIUhS2c', 'expanded_url': 'http://link.chtbl.com/zUjaDMl7', 'display_url': 'link.chtbl.com/zUjaDMl7'}], 'mentions': [{'start': 20, 'end': 33, 'username': 'bhorsetrials'}, {'start': 41, 'end': 53, 'username': 'MFratzscher'}, {'start': 68, 'end': 85, 'username': 'recruitingrebels'}, {'start': 86, 'end': 94, 'username': 'Twitter'}]}}"
2,"Medellín, Colombia",H.,False,https://t.co/UmOidW23FT,False,"{'followers_count': 9208, 'following_count': 918, 'tweet_count': 135705, 'listed_count': 84}","Si soy el eco y no el grito, no soy real. 
ΓΝΩΘΙ ΣΑΥΤΟΝ. 
Écrasez l'infâme.",https://pbs.twimg.com/profile_images/1477700847207395331/_O16rtNA_normal.jpg,_Sileno,48402699,1520887819216080898,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UmOidW23FT', 'expanded_url': 'https://www.youtube.com/watch?v=_UvhtK2tks0', 'display_url': 'youtube.com/watch?v=_UvhtK…'}]}}"
3,United States,Jaki Mc,False,,False,"{'followers_count': 11, 'following_count': 27, 'tweet_count': 181, 'listed_count': 0}","Daughter, sister, wife, mother, and friend! Love to read and laugh!",https://pbs.twimg.com/profile_images/847574313456738305/t4WPVjjL_normal.jpg,jaki_mc99,3031584784,,
4,"Fife, Scotland ",Sara,False,,False,"{'followers_count': 309, 'following_count': 330, 'tweet_count': 1951, 'listed_count': 1}",It's a good day to have a good day.,https://pbs.twimg.com/profile_images/1179030674105200643/EFZIJ7JS_normal.jpg,saracollier129,1178989169416298497,,
5,downstairs,v™️,False,,False,"{'followers_count': 631, 'following_count': 57, 'tweet_count': 11433, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1520451710338183174/1h8TDZo3_normal.jpg,swansonnn_,1511968758,,
6,Philippines,Karla Redor,False,https://t.co/gJp61BiDNQ,False,"{'followers_count': 1381, 'following_count': 1172, 'tweet_count': 13711, 'listed_count': 58}",banker / blogger / amateur photographer,https://pbs.twimg.com/profile_images/1209642830764789760/DcQRpzQu_normal.jpg,karlaredor,1820891,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gJp61BiDNQ', 'expanded_url': 'https://www.rockersworld.com', 'display_url': 'rockersworld.com'}]}}"
7,"MUMBAI, INDIA",Khizar Khan,False,https://t.co/ZgZDs6IG9Q,False,"{'followers_count': 277, 'following_count': 49, 'tweet_count': 22239, 'listed_count': 3}","Bleh.
We're All Stories, In The End.
XII • XXVI  || Accidental Engineer || Mumbai, India.
Instagram: kkhan_kk || SnapChat: kkhankk",https://pbs.twimg.com/profile_images/1473798273873809408/9JcYmTb4_normal.jpg,KKhanKK,116150552,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZgZDs6IG9Q', 'expanded_url': 'http://www.facebook.com/kkhan260', 'display_url': 'facebook.com/kkhan260'}]}}"
8,,AHMET CANER ÖZKAN,False,,False,"{'followers_count': 1, 'following_count': 2, 'tweet_count': 45, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1520989724634238976/REFySxdf_normal.jpg,ahmetcanerozkan,1509272418866585611,,
9,日本全国酒飲み音頭,TJ,False,https://t.co/CfYJQU3ISt,False,"{'followers_count': 22, 'following_count': 77, 'tweet_count': 337, 'listed_count': 0}",東城、略してTJ(･ω･)酒好き成人かつ腐ってる ・作品置き場：https://t.co/NjDuzlqUjg ・倫理観がない方(R18G)：@kakku_ja_kahvi,https://pbs.twimg.com/profile_images/1461567672790163456/OHc3_PpZ_normal.jpg,valkokukka,1275305631793033216,1298656523837571073,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CfYJQU3ISt', 'expanded_url': 'https://profcard.info/u/BYWgLyY1vTOju1255yeBhl4IMnz2', 'display_url': 'profcard.info/u/BYWgLyY1vTOj…'}]}, 'description': {'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/NjDuzlqUjg', 'expanded_url': 'http://pictbland.net/valkokukka', 'display_url': 'pictbland.net/valkokukka'}], 'mentions': [{'start': 71, 'end': 86, 'username': 'kakku_ja_kahvi'}]}}"
10,,Farhat,False,,False,"{'followers_count': 39, 'following_count': 103, 'tweet_count': 4987, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1290974935469494282/o6184ALl_normal.jpg,Farhat27Af,741020896328962048,1018772858640662528,
11,En tu corazón,When_The_Night_Falls,False,https://t.co/1zt0bsJVIi,False,"{'followers_count': 18, 'following_count': 668, 'tweet_count': 671, 'listed_count': 0}","Don't worry be happy :'D/Mira atrás capaz te están observando 👀/Soy el que más Sapeee!
Panda enjoyer 
who wants to sleep in the city that never wakes up",https://pbs.twimg.com/profile_images/1377286445535215618/g_UAM0Tu_normal.jpg,MrIluminati1,754509381732036609,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1zt0bsJVIi', 'expanded_url': 'http://www.siguemeentwitter.com', 'display_url': 'siguemeentwitter.com'}]}}"
12,Scotland,Meghan Flaherty,False,https://t.co/UKyDDyAPqx,False,"{'followers_count': 754, 'following_count': 718, 'tweet_count': 5280, 'listed_count': 23}","Author of TANGO LESSONS @MarinerBooks. Mother of two. Black lives matter. 
she/her",https://pbs.twimg.com/profile_images/1357619421834059776/X21kuAVI_normal.jpg,msmeghanbean,560375978,988859819724451841,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UKyDDyAPqx', 'expanded_url': 'http://mbflaherty.com', 'display_url': 'mbflaherty.com'}]}, 'description': {'mentions': [{'start': 24, 'end': 37, 'username': 'MarinerBooks'}]}}"
13,Derry City,Declan Coulter,False,,False,"{'followers_count': 5, 'following_count': 57, 'tweet_count': 158, 'listed_count': 0}",Music loving forester,https://pbs.twimg.com/profile_images/1255225951945965568/Xxp_HZkl_normal.jpg,declan_coulter,1129281124604305408,,
14,,peter,False,https://t.co/NuWwMnMjmg,False,"{'followers_count': 70, 'following_count': 182, 'tweet_count': 1420, 'listed_count': 0}",Dawn fm defender,https://pbs.twimg.com/profile_images/1521276748691755009/59I9pR6R_normal.jpg,p6terr,1391801362506076161,1517755077456400384,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NuWwMnMjmg', 'expanded_url': 'https://www.instagram.com/p5terv/', 'display_url': 'instagram.com/p5terv/'}]}}"
15,chile,Patricio Rosende Lynch,False,,False,"{'followers_count': 3328, 'following_count': 1906, 'tweet_count': 3601, 'listed_count': 53}","Abogado UDP, casado, 3 hijos preciosos y una única esposa, liberal de siempre, concertacionista por convicción, hincha de la Unión. https://t.co/880FiCgubS",https://pbs.twimg.com/profile_images/1511727542784299015/8wrDtZ68_normal.jpg,patriciorosende,132627138,,"{'description': {'urls': [{'start': 132, 'end': 155, 'url': 'https://t.co/880FiCgubS', 'expanded_url': 'http://crjabogados.cl', 'display_url': 'crjabogados.cl'}]}}"
16,My Own Living Hell,Stephanía (Taylor's Version) 🏳️‍🌈,False,https://t.co/7A3lQ8r6pz,False,"{'followers_count': 3715, 'following_count': 711, 'tweet_count': 81503, 'listed_count': 26}","Tengo mil defectos pero mi gusto musical no es uno de ellos. Escucho, observo y escribo. They/them. #ActuallyAutistic",https://pbs.twimg.com/profile_images/1344051005940445188/hJE2UUWw_normal.jpg,PeriodistaGato,320586674,1481781793133105159,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7A3lQ8r6pz', 'expanded_url': 'https://magic.ly/PeriodistaGato', 'display_url': 'magic.ly/PeriodistaGato'}]}, 'description': {'hashtags': [{'start': 100, 'end': 117, 'tag': 'ActuallyAutistic'}]}}"
17,"Mumbai, India",Nishith Pandya,False,https://t.co/KLuM20Qhvx,False,"{'followers_count': 482, 'following_count': 333, 'tweet_count': 25411, 'listed_count': 10}",Lazy Husband | Active Father | Banker | Watch too many movies & TV series | Read a lot | Sports is the supreme religion | Travel to eat,https://pbs.twimg.com/profile_images/1523690233874636801/Gl74ybiQ_normal.jpg,nishith_pandya,56598313,757024232358445056,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KLuM20Qhvx', 'expanded_url': 'http://justaboutsurviving.blogspot.com', 'display_url': 'justaboutsurviving.blogspot.com'}]}}"
18,"Melbourne, Australia",Stacey❤💙🏆,False,,False,"{'followers_count': 1294, 'following_count': 422, 'tweet_count': 70988, 'listed_count': 9}","Bang. BANG BANG BANG.
Passionate Dees supporter.
Lover of most sports. 
GIF enthusiast.",https://pbs.twimg.com/profile_images/1506454517151571968/xDppEy97_normal.jpg,_Stacey_Lee_,26198761,1256912639654952960,
19,he/him | white | 17,conner ☽,False,https://t.co/8SNPkf1Inl,False,"{'followers_count': 874, 'following_count': 1655, 'tweet_count': 53676, 'listed_count': 13}",loona + twice + 2ne1 + bling bling + others ♡ priv:@mxnIightboo,https://pbs.twimg.com/profile_images/1520618092216426496/XNqMQTbU_normal.jpg,electricvivi,1122655475659673600,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8SNPkf1Inl', 'expanded_url': 'https://youtu.be/xwDmGC2fTfU', 'display_url': 'youtu.be/xwDmGC2fTfU'}]}, 'description': {'mentions': [{'start': 51, 'end': 63, 'username': 'mxnIightboo'}]}}"
20,Melbourne - Australia,Ed Jones,False,,False,"{'followers_count': 160, 'following_count': 852, 'tweet_count': 8910, 'listed_count': 6}",I'm useless with my hands but still like to go to Bunnings... on the off chance there's a sausage sizzle.  They're amazing. Views are my own.,https://pbs.twimg.com/profile_images/1431206301841846282/fd5RV0ka_normal.jpg,egg2883,149161717,,
