,location,verified,description,username,url,protected,pinned_tweet_id,name,id,public_metrics,profile_image_url,entities
0,"Dhaka,Bangladesh",False,Who I am? I don't even know myself properly...,ArifRoktim,,False,770978785340579840,Arif Roktim,138983507,"{'followers_count': 218, 'following_count': 528, 'tweet_count': 3577, 'listed_count': 6}",https://pbs.twimg.com/profile_images/1005422004369887234/qiqLyaR__normal.jpg,
1,"Seattle, WA",False,"Virologist at the Fred Hutch. Professor.  
Mostly tweets about virology, lab members, HIV papers, biking and bike commuting, hiking.",memerman,https://t.co/8ra0cghU02,False,,Michael Emerman,267932224,"{'followers_count': 2818, 'following_count': 991, 'tweet_count': 1933, 'listed_count': 20}",https://pbs.twimg.com/profile_images/1072664500690739200/rJl0pBC0_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8ra0cghU02', 'expanded_url': 'https://research.fhcrc.org/emerman/en.html', 'display_url': 'research.fhcrc.org/emerman/en.html'}]}}"
2,Chiletina,False,"☭⃠
22%
44%",Zigzo00,,False,,Ana,15405159,"{'followers_count': 668, 'following_count': 771, 'tweet_count': 19183, 'listed_count': 9}",https://pbs.twimg.com/profile_images/1476178414080040967/GiBknijq_normal.jpg,
3,,False,,CoastalGlam,,False,1116029337709494272,Tonya Willis,26384727,"{'followers_count': 287, 'following_count': 2009, 'tweet_count': 5261, 'listed_count': 11}",https://pbs.twimg.com/profile_images/1506253403873234953/L_8oS079_normal.jpg,
4,Kuwait,False,PhD in Applied Linguistics/English teacher; Jiu-Jitsu Instructor; Whole Life Challenge Ambassador; MetaFit Coach. #SweatPinkAmbassador Instagram: plumpetalsfit,PlumPetalsFit,https://t.co/U5kqqMiCSp,False,,PlumPetalsFit,554448057,"{'followers_count': 372, 'following_count': 518, 'tweet_count': 7689, 'listed_count': 31}",https://pbs.twimg.com/profile_images/519117940676104192/P_rGIngo_normal.jpeg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/U5kqqMiCSp', 'expanded_url': 'http://www.plumpetals.co.uk', 'display_url': 'plumpetals.co.uk'}]}, 'description': {'hashtags': [{'start': 114, 'end': 134, 'tag': 'SweatPinkAmbassador'}]}}"
5,Thailand,False,"Life's too short to drink bad wine, much less treat people badly. Opinions are my own.",pauladkins,,False,,Paul Adkins,15529457,"{'followers_count': 241, 'following_count': 567, 'tweet_count': 3025, 'listed_count': 6}",https://pbs.twimg.com/profile_images/1148084702487576582/UBXFiiPr_normal.png,
6,Treaty 4 Territory,False,"Just a nerdy, crafty kid stuck in an old GenX body. She/Her",SheepishGeek,,False,,SheepishGeek 💉💉💉,1449395716770643977,"{'followers_count': 55, 'following_count': 339, 'tweet_count': 1663, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1474156818842546187/OX1C66IU_normal.jpg,
7,,False,What's wrong with the universe?,MaybeAPhoenix,,False,1345151860848541696,Summer Breeze,1112375421083901953,"{'followers_count': 574, 'following_count': 273, 'tweet_count': 4383, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1518471096491982850/gXreY_DR_normal.jpg,
8,"England, United Kingdom",False,"NHS Director. Ex thin blue line. Love beach, fizz,travel,helicopters, rugby,dogs.Despise bullying bosses,discrimination,injustice. Proud Welsh.Views my own.",RosPenny,,False,,Ros Penny 💙,935480257,"{'followers_count': 532, 'following_count': 321, 'tweet_count': 8587, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1371788561243111428/SPB0T2QY_normal.jpg,
9,,False,"he/him/they/them 🍾 born 09/18/1992 🚤 Boats are my lawyers 💞 @vinylmelon / @skewereds Journalist🔪 I used to be 3-dprintedbong

CSIJ Level V Biosuit Enjoyer",diditforthewiid,,False,1344205470047686662,michael.,715959082998374402,"{'followers_count': 108, 'following_count': 781, 'tweet_count': 48956, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1436549132592635908/dn0fjTs9_normal.jpg,"{'description': {'mentions': [{'start': 60, 'end': 71, 'username': 'vinylmelon'}, {'start': 74, 'end': 84, 'username': 'skewereds'}]}}"
