,description,url,verified,profile_image_url,location,id,pinned_tweet_id,username,entities,name,protected,public_metrics
0,"Don't succumb, overcome. Live for the overmorrow. -Hammcube 
 
Not all people exist in the same Now. -Ernst Bloch  

We are made of star stuff. -Carl Sagan",https://t.co/rZfFIdnKCC,False,https://pbs.twimg.com/profile_images/524737362564104192/uLjAj8Ps_normal.jpeg,Planet Hocotate,296035569,846862037439447040,Hammcube,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rZfFIdnKCC', 'expanded_url': 'http://www.youtube.com/user/Hammcube?feature=mhee', 'display_url': 'youtube.com/user/Hammcube?…'}]}}",Hammcube,False,"{'followers_count': 164, 'following_count': 496, 'tweet_count': 19815, 'listed_count': 2}"
1,Scorpio 🌞 Sagittarius 🌚 Sagittarius ⬆️,,False,https://pbs.twimg.com/profile_images/1323259233006223361/6CAJbsnF_normal.jpg,#OATW 🖤 ,26088413,1493278070542938116,LowKeyLee33,,TheLoveBelow💚,False,"{'followers_count': 509, 'following_count': 718, 'tweet_count': 56296, 'listed_count': 19}"
2,ニンニン,https://t.co/jkNoOzHn0m,False,https://pbs.twimg.com/profile_images/1444159860270981126/fPoqpOZz_normal.jpg,カワウィー島・ハイカラスクエア・プクレット村,118573617,1502136744187396101,joshua_x_,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jkNoOzHn0m', 'expanded_url': 'http://hiroba.dqx.jp/sc/character/1001334870996/', 'display_url': 'hiroba.dqx.jp/sc/character/1…'}]}}",よしゅあ,False,"{'followers_count': 259, 'following_count': 182, 'tweet_count': 32142, 'listed_count': 22}"
3,,,False,https://pbs.twimg.com/profile_images/996006303/258_normal.jpg,,156314080,,wawawa0000,,こた,False,"{'followers_count': 9, 'following_count': 52, 'tweet_count': 162, 'listed_count': 0}"
4,,,False,https://pbs.twimg.com/profile_images/1516368189575286784/tX4YZo1n_normal.jpg,,3424503249,,migmarting,,Miguel Martin,False,"{'followers_count': 38, 'following_count': 298, 'tweet_count': 87, 'listed_count': 0}"
5,"Eclectic and geeky old filmmaker, writer, and singer/songwriter. By the way: The Earth is Not Flat https://t.co/EGXylIFGml",https://t.co/PnSd8REbju,False,https://pbs.twimg.com/profile_images/1396619316221599747/zEeJm_MM_normal.jpg,"New Hampshire, USA",954555375067582470,1471193245120143372,GordonSBrooks,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PnSd8REbju', 'expanded_url': 'http://gsbrooks.com', 'display_url': 'gsbrooks.com'}]}, 'description': {'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/EGXylIFGml', 'expanded_url': 'http://amzn.to/2DVSYo7', 'display_url': 'amzn.to/2DVSYo7'}]}}",Gordon Brooks,False,"{'followers_count': 423, 'following_count': 214, 'tweet_count': 39458, 'listed_count': 5}"
6,茨城→岡山→瀬戸内海 アイマス/ウマ娘/ナナシス/SB69とパチンコと時々NBA,,False,https://pbs.twimg.com/profile_images/1353011687717134337/R2kbui2N_normal.jpg,西成区,823608822707064832,1065274860811640833,maluetsu_okb,,マルエツXV,False,"{'followers_count': 107, 'following_count': 192, 'tweet_count': 55300, 'listed_count': 1}"
7,"ももながと読みます。年がら年中心身不調です。ジャンル問わずいろんな音楽をききます。SURFACEのファンです。お笑いも好きだしヒプマイも楽しいしゲームも色々やる
#今日のゆるフィッボ",,False,https://pbs.twimg.com/profile_images/1428572644606021636/S4ZoICGd_normal.jpg,F/R/B/Mはご自由に,1163170066784931840,1476885546723311617,_Pesche1218,"{'description': {'hashtags': [{'start': 81, 'end': 91, 'tag': '今日のゆるフィッボ'}]}}",桃永,False,"{'followers_count': 15, 'following_count': 121, 'tweet_count': 2998, 'listed_count': 0}"
8,熊本市⇒川崎市⇒目黒区なう。本当にただのつぶやきをつぶやきまくっています。,,False,https://pbs.twimg.com/profile_images/1123037259/DSC01933_normal.JPG,東京都港区＆目黒区,58722972,1056576457508442113,satomeven,,satom,False,"{'followers_count': 67, 'following_count': 196, 'tweet_count': 18533, 'listed_count': 1}"
9,ご覧のアカウントは、アークス・提督・神姫マスター・成子坂隊長を兼任するメカ物大好きなアイマス(美希・ひなた)Ｐです。,https://t.co/0fymk7o19S,False,https://pbs.twimg.com/profile_images/1503025169589506050/P0JqNwjL_normal.jpg,狭間（たぶん千葉近辺）,130534358,1122469970791657473,syatyo_alti,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0fymk7o19S', 'expanded_url': 'http://imas.gree-apps.net/app/index.php/mypage/user_profile/id/200000000000000041', 'display_url': 'imas.gree-apps.net/app/index.php/…'}]}}",アルティ＠2022年北海道旅行計画中,False,"{'followers_count': 883, 'following_count': 1213, 'tweet_count': 187325, 'listed_count': 56}"
