,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,location,pinned_tweet_id,entities
0,Franklin,False,,False,"{'followers_count': 67, 'following_count': 967, 'tweet_count': 5638, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/800375913095589890/eEY-M7N3_normal.jpg,frankchurchpai,1891049958,,,
1,Limonamarillo💙💙,False,,False,"{'followers_count': 158, 'following_count': 206, 'tweet_count': 7535, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1417220571721523218/ovBJG8eV_normal.jpg,Chf200763,948283030954741761,España.,,
2,Raged,False,,False,"{'followers_count': 4, 'following_count': 87, 'tweet_count': 175, 'listed_count': 0}",https://t.co/b7Er20CcRk,https://pbs.twimg.com/profile_images/1440735366957322250/JqeNYqSo_normal.jpg,RageddX,1331600707217186816,your mom's house,1440745661561851905,"{'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/b7Er20CcRk', 'expanded_url': 'https://m.youtube.com/channel/UCd5f0LWOrn6kgozkgx0_qkA', 'display_url': 'm.youtube.com/channel/UCd5f0…'}]}}"
3,Kyle Hamlin,False,,False,"{'followers_count': 193, 'following_count': 301, 'tweet_count': 165, 'listed_count': 2}",not much of a content creator,https://pbs.twimg.com/profile_images/1504239149188104194/Lr6Xy1my_normal.jpg,KyleNHamlin,336554279,,,
4,Brian Feighner 🇺🇦 slava ukraini,False,,False,"{'followers_count': 152, 'following_count': 252, 'tweet_count': 16585, 'listed_count': 4}","""Spontaneity has its time and place.""",https://pbs.twimg.com/profile_images/1850409372/BabyHuey_normal.jpg,FeighnerBrian,501784041,,1518939972644093955,
5,Julie Kelly,False,,False,"{'followers_count': 105, 'following_count': 737, 'tweet_count': 652, 'listed_count': 1}","Wife, mum & co-founder of Team HAVEN",https://pbs.twimg.com/profile_images/477431079972786179/kKM_pQbI_normal.jpeg,juliek1965,2541204044,Newtownabbey,,
6,Chris Marsicano,False,https://t.co/GhxWwDy6RJ,False,"{'followers_count': 5275, 'following_count': 3024, 'tweet_count': 23941, 'listed_count': 78}","@DavidsonCollege professor | Director, @C2Initiative | Studies #highered #edpolitics & #edpolicy | PhD, @vupeabody | MPP, @DukeSanford | RTs ≠ Endorsements",https://pbs.twimg.com/profile_images/1382707364923645954/FUCzVtlW_normal.jpg,ChrisMarsicano,62824122,"Davidson, NC",1520068747561689088,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GhxWwDy6RJ', 'expanded_url': 'http://www.chrismarsicano.com', 'display_url': 'chrismarsicano.com'}]}, 'description': {'hashtags': [{'start': 63, 'end': 72, 'tag': 'highered'}, {'start': 73, 'end': 84, 'tag': 'edpolitics'}, {'start': 87, 'end': 96, 'tag': 'edpolicy'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'DavidsonCollege'}, {'start': 39, 'end': 52, 'username': 'C2Initiative'}, {'start': 104, 'end': 114, 'username': 'vupeabody'}, {'start': 122, 'end': 134, 'username': 'DukeSanford'}]}}"
7,Fuga,False,,False,"{'followers_count': 232, 'following_count': 1373, 'tweet_count': 3749, 'listed_count': 2}","つぶやきは、関心のあるテーマで読んだ記事のリンクがほとんど。でしたが、最近は、興味あるものへのいいね! が多め。興味：新生児、育児、投資、映画、読書、人事、お買いものパンダ、ホットウィール など…倹約コレクターのぼやき化

コロナ禍以前は、海外、旅、サントラ、社会学、世界史、地政学、シンギュラリティ、易経、ガンプラなど",https://pbs.twimg.com/profile_images/1107852154562199552/h0Z7Pl04_normal.jpg,Miami_n2316,274989574,"Osaka, Hong Kong, India, Tokyo",,
8,Sweep The Leg,False,,False,"{'followers_count': 3247, 'following_count': 705, 'tweet_count': 113399, 'listed_count': 92}","Reverse jinx god, apparently.",https://pbs.twimg.com/profile_images/1360328270609342470/QLGlxLZI_normal.jpg,SweepTheLeg337,302632121,South Florida,1046490442827788291,
9,carlos✈🌍,False,,False,"{'followers_count': 108, 'following_count': 258, 'tweet_count': 3640, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1326130394807349250/X6zU4P2K_normal.jpg,Caarloscp09,1326129918124679168,"Malaga, Spain",,
