,verified,description,profile_image_url,public_metrics,url,username,id,name,protected,pinned_tweet_id,location,entities
0,False,One and done.,https://pbs.twimg.com/profile_images/1509225021968896012/a9clqLP0_normal.jpg,"{'followers_count': 291, 'following_count': 261, 'tweet_count': 10532, 'listed_count': 0}",,TexasHammerrr,584425453,.,False,1490016002242801664,"Dallas, TX",
1,False,,https://pbs.twimg.com/profile_images/980222581545500673/dMtrRoTg_normal.jpg,"{'followers_count': 12, 'following_count': 179, 'tweet_count': 2277, 'listed_count': 0}",,imagineanima,979964880878034944,anima,False,,,
2,False,LEFT is always right,https://pbs.twimg.com/profile_images/1379491298596425730/EfwQjlSX_normal.jpg,"{'followers_count': 32, 'following_count': 80, 'tweet_count': 3435, 'listed_count': 2}",,Wild83206947,1211847567614431232,Wild,False,,,
3,False,you can’t trap air • aspiring bimbo,https://pbs.twimg.com/profile_images/1515909624095985664/TiVoy6Mj_normal.jpg,"{'followers_count': 21, 'following_count': 85, 'tweet_count': 679, 'listed_count': 0}",,carcarrzz,1484236785932808195,✨,False,1501993976450142208,"Chicago, IL",
4,False,,https://pbs.twimg.com/profile_images/1516749684563673090/dfhtTtv8_normal.jpg,"{'followers_count': 373, 'following_count': 110, 'tweet_count': 45574, 'listed_count': 0}",https://t.co/4Z4CgwFFbx,thejericoranin,35214039,Jerico Rañin,False,,Republic of the Philippines,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/4Z4CgwFFbx', 'expanded_url': 'http://instagram.com/thejericoranin', 'display_url': 'instagram.com/thejericoranin'}]}}"
5,False,"♂2013.10.4* ADHD,ASD,LD,DCD診断済みの女の子になりたい男の子♀2018.8.28* 2022.5第3子出産予定*主に育児ﾂｲ✿＊ 鍵はつけたり外したり 無言フォロー失礼します( ..)"" #2013oct_baby #2018aug_baby",https://pbs.twimg.com/profile_images/1342343419964768256/Jnvb_cfW_normal.jpg,"{'followers_count': 343, 'following_count': 427, 'tweet_count': 24742, 'listed_count': 1}",,shihocham,95783213,shiHO*8歳＆3歳,False,,田んぼ,"{'description': {'hashtags': [{'start': 107, 'end': 120, 'tag': '2013oct_baby'}, {'start': 121, 'end': 134, 'tag': '2018aug_baby'}]}}"
6,False,🏘Kobe(+🇨🇦/🗼/Osaka) 💼Entertainment Industry ❤️ScubaDiving/Dance/NamieAmuro/PG/ラバッパー/🎙KER🥬/🏑/🎬/海ドラ/TWD/📚/📸/🇨🇦 🗣日本語/English つべは青い人 👍イイね&フォローお気軽にどうぞ！,https://pbs.twimg.com/profile_images/2195487384/image_normal.jpg,"{'followers_count': 203, 'following_count': 452, 'tweet_count': 20474, 'listed_count': 4}",https://t.co/CR2D5ulZEB,tomoko814,141661196,TOMOKO🥬🎙,False,1479726658836103174,KOBE,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CR2D5ulZEB', 'expanded_url': 'https://instagram.com/tomoko814?r=nametag', 'display_url': 'instagram.com/tomoko814?r=na…'}]}}"
7,False,れいだだよぉ 。 Switch // PS4 // main↦サモンズボード / モンハン:HR440 / FF14:story↦6.1〆;♤↦召喚士 / 他、雑垢 __ ほんじゃそこらのツイート見て大体をりかいしてね,https://pbs.twimg.com/profile_images/1316856589475667968/joUa6Mgk_normal.jpg,"{'followers_count': 110, 'following_count': 149, 'tweet_count': 20751, 'listed_count': 3}",,rz_illll,1316846389939249152,参考書あった,False,1500737868171411457,,
8,False,"東映特撮、阪神タイガース、炭酸飲料を愛する日本語一刀流ハーフ。都民歴=年齢。
小日向美穂、二宮飛鳥、大石泉、南条光担当P。
ポンキッキ教尊師の騎空士。
やきゅうたの作詞やコスプレ撮影も行う伝説製造系一発屋フリークの公式アカウント。
なろうで「華のお江戸の振袖小町」連載中！（URLからどうぞ！）",https://pbs.twimg.com/profile_images/946068753439006720/On5K_i8g_normal.jpg,"{'followers_count': 806, 'following_count': 2216, 'tweet_count': 282643, 'listed_count': 0}",https://t.co/Lo81pvD0Ng,AquaTiger_Black,203827640,水虎,False,1123582268960698368,Poppin'Partyメンバーの名字の元ネタ辺り,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Lo81pvD0Ng', 'expanded_url': 'http://ncode.syosetu.com/n1391fm/', 'display_url': 'ncode.syosetu.com/n1391fm/'}]}}"
9,False,#yeonjunsh00ter was @/deuxpinx,https://pbs.twimg.com/profile_images/1518496518994632705/3x81CpxQ_normal.jpg,"{'followers_count': 79, 'following_count': 201, 'tweet_count': 16182, 'listed_count': 1}",,akisakgae,1345073677122080769,Monet De Haan’s Anti-Apologist,False,1477338382598561793,"Blck,22,anyprns","{'description': {'hashtags': [{'start': 0, 'end': 15, 'tag': 'yeonjunsh00ter'}]}}"
10,False,"Proud dad, Blazer enthusiast, sneakers and bad jokes.",https://pbs.twimg.com/profile_images/1471958608501886982/3_myUxWU_normal.jpg,"{'followers_count': 485, 'following_count': 1610, 'tweet_count': 17438, 'listed_count': 2}",,ReedPNW,3070465693,Reed,False,,"Vancouver, WA",
11,False,Yo la vi imputada e inhibida. Procesada y embargada. también allanada. En la pandemia viene borrada... desesperada buscando impunidad. Ahora también vacunada.,https://pbs.twimg.com/profile_images/1510744204078637058/nAh3PuFM_normal.jpg,"{'followers_count': 1461, 'following_count': 941, 'tweet_count': 135952, 'listed_count': 11}",,Labellucci,229121064,LaBellucci,False,886930166240378881,,
12,False,"ゲームをするおじさん（美少女）
このアカウントからはソシャゲのスクショと酒と飯の写真しか出てきません。ラフとかは出てくるかも。

お絵かきアカウントはこちら
@Shina_YSK

にじさんじ所属の宇志海いちごちゃんを応援しています。

VRC : Shina_Yoshiki",https://pbs.twimg.com/profile_images/1338632266658955264/LgRWjNHA_normal.jpg,"{'followers_count': 193, 'following_count': 311, 'tweet_count': 15844, 'listed_count': 7}",https://t.co/QVF2ne8NHs,417_YSK,1032542738481213440,椎名よしき🍓,False,1338503505712050176,竹林,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QVF2ne8NHs', 'expanded_url': 'https://shina-yoshiki.tumblr.com/', 'display_url': 'shina-yoshiki.tumblr.com'}]}, 'description': {'mentions': [{'start': 79, 'end': 89, 'username': 'Shina_YSK'}]}}"
13,False,"If that's what it takes to save the world, it's better to let that world die",https://pbs.twimg.com/profile_images/1508464207150600194/d4ekJP1P_normal.jpg,"{'followers_count': 387, 'following_count': 371, 'tweet_count': 6549, 'listed_count': 0}",,ayboows,247229589,vatt'ghern,False,1388033899775729664,,
14,False,"(Él/Suyo)
Encuentra mi música en todas las plataformas digitales.

One of iGot7+Una Sangre+Multimamadas+Stay.

Cuenta 🔞: @AcostiXXX",https://pbs.twimg.com/profile_images/1449913311215210496/3LxJ67oS_normal.jpg,"{'followers_count': 278, 'following_count': 1258, 'tweet_count': 7509, 'listed_count': 2}",https://t.co/nYeUXFnVoZ,JEAcostaMX,3430268409,José Eduardo Acosta✨,False,1425905782332264448,"Xalapa, Veracruz de Ignacio de","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nYeUXFnVoZ', 'expanded_url': 'http://Joseeduardoacosta.carrd.co', 'display_url': 'Joseeduardoacosta.carrd.co'}]}, 'description': {'mentions': [{'start': 121, 'end': 131, 'username': 'AcostiXXX'}]}}"
15,False,"Make your published writings  work for you, not against you. #imagistics-btt",https://pbs.twimg.com/profile_images/505929380258791425/EKfiVAqR_normal.jpeg,"{'followers_count': 34, 'following_count': 45, 'tweet_count': 1595, 'listed_count': 2}",http://t.co/YFDvRiwBVh,artyj82,2254671,Rick McCormack,False,,"Vancouver, BC, Canada","{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/YFDvRiwBVh', 'expanded_url': 'http://imagistics.ca', 'display_url': 'imagistics.ca'}]}, 'description': {'hashtags': [{'start': 61, 'end': 72, 'tag': 'imagistics'}]}}"
16,False,yizhanszd // franticfiction // 30+ // yose & yeekies enthusiast✌🏼,https://pbs.twimg.com/profile_images/1477566763134959616/tzj18cF8_normal.jpg,"{'followers_count': 224, 'following_count': 170, 'tweet_count': 27516, 'listed_count': 1}",https://t.co/ELdTtfxZXi,yizhanest,1235527232824598528,kez • 18:33!!!,False,1235593192889667585,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ELdTtfxZXi', 'expanded_url': 'https://theuntamedhole.tumblr.com/', 'display_url': 'theuntamedhole.tumblr.com'}]}}"
17,False,"Soñadora, ansiosa de aprender y optimista. Maestra de E. Primaria👩🏽‍🏫",https://pbs.twimg.com/profile_images/1185225114020962304/hQabC3MA_normal.jpg,"{'followers_count': 400, 'following_count': 428, 'tweet_count': 1808, 'listed_count': 0}",,Susana_Hdez_v,315706720,Susana HerVil,False,,,
18,False,Writer. Lawyer. Plant Mom. Free Yoga Boston. Politics. Food. Art. (She/Her) #BlackLivesMatter #StopAsianHate,https://pbs.twimg.com/profile_images/1400196875442167809/EXf3zk6D_normal.jpg,"{'followers_count': 3898, 'following_count': 3760, 'tweet_count': 182278, 'listed_count': 309}",https://t.co/GXaxf2urbt,analisamendment,14815151,🪴Lisa Johnson🧘🏿‍♀️,False,1514380555332333576,"Quincy/Boston, MA (USA)","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GXaxf2urbt', 'expanded_url': 'https://linktr.ee/AnalisNextAmendment', 'display_url': 'linktr.ee/AnalisNextAmen…'}]}, 'description': {'hashtags': [{'start': 76, 'end': 93, 'tag': 'BlackLivesMatter'}, {'start': 94, 'end': 108, 'tag': 'StopAsianHate'}]}}"
19,False,"コーヒー・蕎麦・インコ・マイクラを愛し、爬虫類も愛でたいダメプログラマー。

Goは黙っているから好き。
Goはやたら予約語を増やさないから好き。
Gophersはフレームワークでマウント取ったりしないから好き。

チームワークでモノ作りするのが好き。
友人以上の対人関係を中期的に維持できないのに孤独への耐性が低い。",https://pbs.twimg.com/profile_images/1507128375416336385/tWkgwDIM_normal.jpg,"{'followers_count': 225, 'following_count': 264, 'tweet_count': 3174, 'listed_count': 5}",https://t.co/iUSaO7qZM0,kyoh86,60085355,kyoh86,False,1391791824830799877,東京,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/iUSaO7qZM0', 'expanded_url': 'https://kyoh86.dev', 'display_url': 'kyoh86.dev'}]}}"
20,False,"No soy interesante, soy interesada...",https://pbs.twimg.com/profile_images/1300850850575855616/RXXFEnau_normal.jpg,"{'followers_count': 66, 'following_count': 313, 'tweet_count': 2597, 'listed_count': 0}",,mprvros,173578763,🅛🅐🅟🅡🅞 Ⓕⓔⓢⓘⓞⓝⓐⓛ,False,,Rosario,
