,protected,name,entities,id,description,username,url,verified,profile_image_url,public_metrics,location,pinned_tweet_id
0,False,Sir Ruthless of Malibu 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇺🇦,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PYEYfArDXA', 'expanded_url': 'http://Highspotsandlidos.blogspot.com', 'display_url': 'Highspotsandlidos.blogspot.com'}]}}",124457317,"Allotment holder, frugal living, crafter, swimming, my family, like Agatha Christie a lot, Star Trek and Scotland. Hate the Tories and Brexit.",nasturtium_seed,https://t.co/PYEYfArDXA,False,https://pbs.twimg.com/profile_images/1343665840332419073/ypDM6Lok_normal.jpg,"{'followers_count': 685, 'following_count': 2015, 'tweet_count': 14460, 'listed_count': 4}",United Kingdom,
1,False,Daniela Ponczyk 💫,,43427850,"🇦🇷🇵🇪🇵🇱•🐍•Abril🍂•
Buyer, not shopper•
Book worm ☕📚•",DanielaPonczyk,,False,https://pbs.twimg.com/profile_images/1520073042638118912/0NbEOPhK_normal.jpg,"{'followers_count': 157, 'following_count': 274, 'tweet_count': 5592, 'listed_count': 2}",Lima,
2,False,Ben Watkin,,1493982953705197577,Manchester. Views my own.,Ben_Watkin12,,False,https://pbs.twimg.com/profile_images/1496117790213918724/yqU8L6-G_normal.jpg,"{'followers_count': 24, 'following_count': 305, 'tweet_count': 107, 'listed_count': 3}",,
3,False,esmé,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/APsHK9aJzg', 'expanded_url': 'https://letterboxd.com/esmepartii/', 'display_url': 'letterboxd.com/esmepartii/'}]}, 'description': {'urls': [{'start': 7, 'end': 30, 'url': 'https://t.co/AudJzZIGwi', 'expanded_url': 'http://esmes-notes.ghost.io', 'display_url': 'esmes-notes.ghost.io'}, {'start': 41, 'end': 64, 'url': 'https://t.co/IuBxoUfxng', 'expanded_url': 'http://ko-fi.com/esmepartii', 'display_url': 'ko-fi.com/esmepartii'}]}}",1454581713401696262,"words: https://t.co/AudJzZIGwi • donate: https://t.co/IuBxoUfxng • 'try to explain ourselves, babble on and on' • (17/10/21)",esmesayss,https://t.co/APsHK9aJzg,False,https://pbs.twimg.com/profile_images/1510391614174339085/w0zBldUH_normal.jpg,"{'followers_count': 337, 'following_count': 226, 'tweet_count': 3216, 'listed_count': 2}",she/her,1523367062244327424
4,False,Dr Sue Whitcombe,"{'description': {'hashtags': [{'start': 97, 'end': 110, 'tag': 'vulvalcancer'}]}}",31474731,"Simple soul, imperfect, 'good enough'. Passionate psychologist; mum; granny. Living (well!) with #vulvalcancer. Itinerant van dweller & sometime house guest.",drsue2014,,False,https://pbs.twimg.com/profile_images/1021879734488195072/cQtceFD0_normal.jpg,"{'followers_count': 3771, 'following_count': 982, 'tweet_count': 17932, 'listed_count': 41}","Wales, United Kingdom",1433491920907612166
5,False,Noorhelm_,,820717653996306432,"Everyone you meet is fighting a battle you know nothing about, Be Kind, Always. 

SKAM♥ONEDIRECTION♥GOSSIPGIRL♥",sarahblairx,,False,https://pbs.twimg.com/profile_images/820719269117890561/L-sVLmFL_normal.jpg,"{'followers_count': 129, 'following_count': 1745, 'tweet_count': 857, 'listed_count': 0}","Corby, England",
6,False,Fangbone,,2859936410,"Who's more foolish; the fool, or the fool who follows him?",boogers2011,,False,https://pbs.twimg.com/profile_images/1242680748244496387/ydM7A3dM_normal.jpg,"{'followers_count': 2980, 'following_count': 4437, 'tweet_count': 13064, 'listed_count': 11}",,
7,False,Jacko,"{'description': {'mentions': [{'start': 118, 'end': 126, 'username': 'Zeddeee'}, {'start': 127, 'end': 137, 'username': 'rahhead01'}, {'start': 140, 'end': 155, 'username': 'MrFlibble72LFC'}]}}",1160130818678972416,🌹Sport ⚽ Music 🎵 Books 📚 Left of centre. Nostalgia Fi-Zee-Jacko hashtag games daily 2:30pm and 3:00pm on Sundays with @Zeddeee @rahhead01 + @MrFlibble72LFC🌹,albolt76,,False,https://pbs.twimg.com/profile_images/1524146333841559552/qpzS8nGX_normal.jpg,"{'followers_count': 15865, 'following_count': 15292, 'tweet_count': 296163, 'listed_count': 13}",,
8,False,tayyip dikici,,1390491144593739778,Antifaşist,TayyipDikici,,False,https://pbs.twimg.com/profile_images/1390491429621932035/nNx5_jzw_normal.jpg,"{'followers_count': 32, 'following_count': 295, 'tweet_count': 2852, 'listed_count': 0}",,
9,False,Shan,,2591326428,The devil in me may lie and claim to be an angel on fire | ♊︎ |,maniceIIe,,False,https://pbs.twimg.com/profile_images/1487582955753152517/bATAj_rO_normal.jpg,"{'followers_count': 649, 'following_count': 189, 'tweet_count': 26956, 'listed_count': 13}",25•🏴󠁧󠁢󠁥󠁮󠁧󠁿•bi•she/her,
