,name,url,protected,profile_image_url,id,username,public_metrics,description,verified,location,entities,pinned_tweet_id
0,ほりちゃん,,False,https://pbs.twimg.com/profile_images/1396436352007237644/k0hPC_V2_normal.jpg,115050116,Mr_Holy,"{'followers_count': 173, 'following_count': 199, 'tweet_count': 37474, 'listed_count': 6}",MAZDA ROADSTER(ND5RC)/Tern Crest/Metallica/BABYMETAL/ももいろクローバーZ/MotoGP/福岡ソフトバンクホークス/iPhone XS/iMac(late2013)/OLYMPUS OM-D E-M5 Mark II/,False,福岡県,,
1,かいりさん,,False,https://pbs.twimg.com/profile_images/1139935716069105664/e9bK2Q83_normal.png,129456468,kairi_h,"{'followers_count': 124, 'following_count': 126, 'tweet_count': 45002, 'listed_count': 1}",上手に生きられないことに定評があります,False,集会所,,
2,Paul,,False,https://pbs.twimg.com/profile_images/1408291302970585090/J6vZUVHa_normal.jpg,31990623,Rowboat64,"{'followers_count': 43, 'following_count': 328, 'tweet_count': 2798, 'listed_count': 2}",I have a job. Also I write in my spare time and watch semi-quality television programming.,False,"Oregon City, OR",,
3,Conrad Swetlikoff,,False,https://pbs.twimg.com/profile_images/847315767905222656/gak_CSZK_normal.jpg,1083585836,CSwetlikoff,"{'followers_count': 54, 'following_count': 116, 'tweet_count': 892, 'listed_count': 3}",Canadian Coast Guard,False,BC,,
4,andra,,False,https://pbs.twimg.com/profile_images/1517576062519099392/ZHsYOiNT_normal.jpg,1544149788,agbsunrise,"{'followers_count': 5391, 'following_count': 449, 'tweet_count': 122738, 'listed_count': 59}",heaven sent you to me #LN4,False,she/her,"{'description': {'hashtags': [{'start': 22, 'end': 26, 'tag': 'LN4'}]}}",
5,ポリアネス,,False,https://pbs.twimg.com/profile_images/1509470553572143105/w2zCG08Y_normal.jpg,148694829,nnennenne,"{'followers_count': 290, 'following_count': 1468, 'tweet_count': 30824, 'listed_count': 5}",ミリマスID：785 諏訪彩花さんの Precious☆、Lynnさんのココロカラーの音源化をずっと待ってます。,False,緑市浅葱町４－１６,,1387721863472635904
6,DTCN(100kg超級),https://t.co/TLBya8IWgW,False,https://pbs.twimg.com/profile_images/1493797986815512577/QxZlxUHG_normal.jpg,95905505,Dotechin_orz,"{'followers_count': 2278, 'following_count': 2822, 'tweet_count': 33709, 'listed_count': 29}","2011年度からサラリーマン。 モバイルネットワークの開発に携わっています。誰でもフォロー歓迎です。
自転車で遠くに出かけるのが好きです。
その他の趣味:草野球/フットサル/一人旅/ゲーム(プロスピA,信長の野望,Hearts of IronⅡ,etc...)",False,神奈川県川崎市,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TLBya8IWgW', 'expanded_url': 'http://www.skype.com', 'display_url': 'skype.com'}]}}",
7,Phobi| she/they | Stand with Ukraine | ඞ,,False,https://pbs.twimg.com/profile_images/1520087509635588098/ku9b_5ck_normal.jpg,1236365042725109762,Naiobia,"{'followers_count': 190, 'following_count': 371, 'tweet_count': 22866, 'listed_count': 1}",SONIC MOVIE SWEEP ‼️‼️| pfp art by @ possum_kid | ✿ | FNF fans DNI | Miraculous Ladybug fans dni |BLM☮️| race: black,False,,,
8,イティくん,,False,https://pbs.twimg.com/profile_images/1309102107044306945/UjEA0SXG_normal.jpg,1320173772,Ithi_KL,"{'followers_count': 954, 'following_count': 1972, 'tweet_count': 42956, 'listed_count': 0}","SS書いたり呼称表作ったり考察したり　
アイコンはまつもと（@MatsumotoKougyo）さんからの頂きものです　神",False,,"{'description': {'mentions': [{'start': 30, 'end': 46, 'username': 'MatsumotoKougyo'}]}}",874163465803358208
9,Stephanie Solsberry,,False,https://pbs.twimg.com/profile_images/1340519223919964164/sBmFWcLJ_normal.jpg,130001835,angelflyinglow,"{'followers_count': 72, 'following_count': 291, 'tweet_count': 2906, 'listed_count': 0}",We have nothing if we don’t have Hope 🌼⚓️,False,"Washington, USA",,
10,えせはた,https://t.co/ARuo6NBH20,False,https://pbs.twimg.com/profile_images/1300149183987331072/7mBzUtZv_normal.jpg,2156140483,2wur,"{'followers_count': 588, 'following_count': 1084, 'tweet_count': 28836, 'listed_count': 13}",労働を廃止,False,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ARuo6NBH20', 'expanded_url': 'http://esehata.github.io', 'display_url': 'esehata.github.io'}]}}",
11,Paty Acosta,https://t.co/8dE9pXKxpF,False,https://pbs.twimg.com/profile_images/1420484346549526531/mHyppIuh_normal.jpg,48194758,AcostaPatricia,"{'followers_count': 3206, 'following_count': 424, 'tweet_count': 62048, 'listed_count': 115}","Quiero ser analista de datos 😬. Diseñador web 💻 , Estudios en Comunicación Política UNAM y Periodismo de Investigación CIDE. TED curador.",False,"Ciudad de México, D.F","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8dE9pXKxpF', 'expanded_url': 'http://www.thatcom.mx', 'display_url': 'thatcom.mx'}]}}",1483682934469103618
12,my-take,,False,https://pbs.twimg.com/profile_images/1206261673/fuku_normal.JPG,166964128,sesamix28,"{'followers_count': 25, 'following_count': 116, 'tweet_count': 6662, 'listed_count': 0}",犬が好き、自分が飼っている犬が好き、犬が飼いたい。NHKとテレ東と深い夜のドラマが好き。,False,,,
13,もちげ,,False,https://pbs.twimg.com/profile_images/1213869094/Image172_normal.jpg,14182132,mochige,"{'followers_count': 44, 'following_count': 99, 'tweet_count': 13111, 'listed_count': 2}",れさみうんこ💩,False,,,
14,れっくす,https://t.co/F7VVu1EnA7,False,https://pbs.twimg.com/profile_images/2589977979/flfxu2r7hlk703sag0oc_normal.png,103836729,xrekkusu,"{'followers_count': 1845, 'following_count': 565, 'tweet_count': 260066, 'listed_count': 111}","dodododo web,crypto, (pwn) ctf4b/seccamp2012web/seccamp2016
ぷよぷよ: @xrekkusu_puyo",False,何もしないを目指しています,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/F7VVu1EnA7', 'expanded_url': 'http://rex.gs/', 'display_url': 'rex.gs'}]}, 'description': {'mentions': [{'start': 66, 'end': 80, 'username': 'xrekkusu_puyo'}]}}",1521112385712394242
15,Tayo Olukoya,,False,https://pbs.twimg.com/profile_images/1372972140186669063/hLFO2bHl_normal.jpg,3196775274,tayo_speaks,"{'followers_count': 1312, 'following_count': 886, 'tweet_count': 1292, 'listed_count': 18}",Sr. Software Engineer @Twitter | @Cal Engineering alumnus. Disclaimer: my opinions/views are solely mine.,False,"San Francisco, CA","{'description': {'mentions': [{'start': 22, 'end': 30, 'username': 'Twitter'}, {'start': 33, 'end': 37, 'username': 'Cal'}]}}",952985906884968448
16,トレハロース,https://t.co/0fyI22e7mN,False,https://pbs.twimg.com/profile_images/1377460636850876422/wpLfMrt-_normal.jpg,2362782739,vaighasika,"{'followers_count': 311, 'following_count': 528, 'tweet_count': 317831, 'listed_count': 13}",乙女座の乙女,False,☆,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0fyI22e7mN', 'expanded_url': 'https://navamacasa.hatenadiary.com/', 'display_url': 'navamacasa.hatenadiary.com'}]}}",
17,ヒヒとララ,,False,https://pbs.twimg.com/profile_images/1455612123191836672/1L-_aN80_normal.jpg,2762576137,hira8211,"{'followers_count': 249, 'following_count': 466, 'tweet_count': 162860, 'listed_count': 35}",僕と握手すると星辰は揃う！それは楽しい遊びです！,False,サソリオピューロランド,,1339955901155790848
18,alba,,False,https://pbs.twimg.com/profile_images/1389375545176203266/ba93U3uA_normal.jpg,844586827147329538,nonsensethebass,"{'followers_count': 85, 'following_count': 494, 'tweet_count': 1906, 'listed_count': 0}","Annoying bassist posting nonsense.                                
No me llamo alba",False,Obsidian,,1377589209461063680
19,ぜんらんらん@26500円@旅行中,https://t.co/J68Ec31JJD,False,https://pbs.twimg.com/profile_images/1507825904969732097/fazcl6KV_normal.jpg,1184940636027289600,zenranran,"{'followers_count': 309, 'following_count': 386, 'tweet_count': 7374, 'listed_count': 31}","逆バニーに栄光あれ

vrc.20191017~
VRC：Zenranran
ぽい：https://t.co/34zuxmfAki
ふせ：https://t.co/2yaPfanSCn
落書きとか自PCの話とか：@dextrin555",False,#人権食事シリーズ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/J68Ec31JJD', 'expanded_url': 'https://perfect-hellebore-a35.notion.site/a97a3e2610dc40bf84deb110abdb9beb', 'display_url': 'perfect-hellebore-a35.notion.site/a97a3e2610dc40…'}]}, 'description': {'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/34zuxmfAki', 'expanded_url': 'http://poipiku.com/179816/', 'display_url': 'poipiku.com/179816/'}, {'start': 69, 'end': 92, 'url': 'https://t.co/2yaPfanSCn', 'expanded_url': 'http://fusetter.com/u/zenranran', 'display_url': 'fusetter.com/u/zenranran'}], 'mentions': [{'start': 106, 'end': 117, 'username': 'dextrin555'}]}}",
20,Your Local IT Guy💻😎,,False,https://pbs.twimg.com/profile_images/1496856830269693952/V9BpDloQ_normal.jpg,52740421,TheRealDenzel__,"{'followers_count': 620, 'following_count': 924, 'tweet_count': 63254, 'listed_count': 3}",I love me baby you should love you more! #KnicksTape #GMEN #Yanks @letstalknicks contributing writer.,False,Searching for the One Piece,"{'description': {'hashtags': [{'start': 41, 'end': 52, 'tag': 'KnicksTape'}, {'start': 53, 'end': 58, 'tag': 'GMEN'}, {'start': 59, 'end': 65, 'tag': 'Yanks'}], 'mentions': [{'start': 66, 'end': 80, 'username': 'letstalknicks'}]}}",
