,username,url,profile_image_url,location,id,verified,description,name,protected,public_metrics,pinned_tweet_id,entities
0,mueremecamion,,https://pbs.twimg.com/profile_images/1507502521576828928/eT5djTs7_normal.jpg,"Burgos, Spain",2368065368,False,"Amante del fútbol, la música y la novela negra
🎶 baila y goza que la vida es una sola🎶",amparines saltarines,False,"{'followers_count': 156, 'following_count': 85, 'tweet_count': 6041, 'listed_count': 2}",,
1,gustavo_jdl99,,https://pbs.twimg.com/profile_images/1517934567352639495/pF-BGuBg_normal.jpg,"En la mala, but drunk or 🍁",1483480586,False,RUM ♌️ 22 | Micro 🦠🔬,Gustavoy a lloral 🥹,False,"{'followers_count': 673, 'following_count': 1484, 'tweet_count': 26133, 'listed_count': 2}",1400621796412506112,
2,beer_elephant,,https://pbs.twimg.com/profile_images/1507966704043044865/KhsLMFf4_normal.jpg,Vietnam,1298601875575418880,False,昼はコーヒー、夜はビール/訪問国は30ヵ国越え/海外生活は3ヵ国目🇩🇪🇺🇸🇻🇳に突入/頑張ろう/MLB2022 シーズン開幕⚾️/NFL2022シーズン待機🏈,ビール好きのゾウさん🇻🇳青空と海を求めてます🏖,False,"{'followers_count': 155, 'following_count': 149, 'tweet_count': 2271, 'listed_count': 2}",1490303968102477825,
3,Lady_Lo_Fi,,https://pbs.twimg.com/profile_images/1516899280086306818/5Mf6qVKd_normal.jpg,Kansas City,2842858649,False,"Random thoughts, questionable humor.
Royals/Brewers/Packers/KSU/PGA/SKC/Spurs & LiverpoolFC. Clan Campbell 🏴󠁧󠁢󠁳󠁣󠁴󠁿",the anti-socialite🌻,False,"{'followers_count': 1390, 'following_count': 1207, 'tweet_count': 21232, 'listed_count': 1}",1439229498302599169,
4,faika67,https://t.co/tGPCUkOLlr,https://pbs.twimg.com/profile_images/3364531605/f95a1c4903e6407bd3d271101209be77_normal.jpeg,usa,1258257554,False,,fathima s.,False,"{'followers_count': 873, 'following_count': 705, 'tweet_count': 64190, 'listed_count': 85}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tGPCUkOLlr', 'expanded_url': 'https://tastetravelandtips.com', 'display_url': 'tastetravelandtips.com'}]}}"
5,0tkhss,,https://pbs.twimg.com/profile_images/554181929918922753/U8HVO2Sf_normal.png,"nerima, tokyo japan",118313744,False,"謎のプログラマ稼業
左きき

アイコンの出処はこちら
http://t.co/0mLDQjTyn3",たかはしし,False,"{'followers_count': 139, 'following_count': 195, 'tweet_count': 115536, 'listed_count': 0}",,"{'description': {'urls': [{'start': 27, 'end': 49, 'url': 'http://t.co/0mLDQjTyn3', 'expanded_url': 'http://genesis-horizon.net/special/120608_icon01.html', 'display_url': 'genesis-horizon.net/special/120608…'}]}}"
6,Suzubisyake,,https://pbs.twimg.com/profile_images/1500634516633047041/M2jMCUim_normal.jpg,,1500628903001407489,False,色々なことの個人的記録,すずびしゃけ,False,"{'followers_count': 3, 'following_count': 19, 'tweet_count': 81, 'listed_count': 0}",,
7,julietoxo,,https://pbs.twimg.com/profile_images/1516062696801722379/-7IvNxSZ_normal.jpg,Gotham City,1426758696,False,,Juliet,False,"{'followers_count': 137, 'following_count': 55, 'tweet_count': 4870, 'listed_count': 1}",1481889204187680770,
8,nadakamel_,,https://pbs.twimg.com/profile_images/1521443787947581441/DkDoTsfb_normal.jpg,Persephone's Girlhood,1324778573606080513,False,now what? #JFT74,nada,False,"{'followers_count': 1215, 'following_count': 207, 'tweet_count': 4399, 'listed_count': 0}",1333044957083529217,"{'description': {'hashtags': [{'start': 10, 'end': 16, 'tag': 'JFT74'}]}}"
9,portapro13,,https://pbs.twimg.com/profile_images/1497818711683596289/ZamGGp3c_normal.jpg,San Martin,88160024,False,I'm a man who can't be moved. Too heavy.,A. K. H,False,"{'followers_count': 143, 'following_count': 418, 'tweet_count': 5917, 'listed_count': 0}",1488895704261005312,
10,siberiarena,,https://pbs.twimg.com/profile_images/1235111226/twitter_profile_normal.jpg,Japan,113887862,False,Nothing to do with the Russian river. 癒しと笑いとうちの猫（しらたまとシュワ）。Wordleにハマり中。フォローはご自由に,Rena River,False,"{'followers_count': 70, 'following_count': 154, 'tweet_count': 1897, 'listed_count': 1}",1456208943806496768,
11,Sabrina_0105,,https://pbs.twimg.com/profile_images/1218669146847817728/dLL990HQ_normal.jpg,London,20559615,False,,Sabrina 0105,False,"{'followers_count': 240, 'following_count': 411, 'tweet_count': 11087, 'listed_count': 1}",1513624492458844161,
12,Alfa_Lobx,https://t.co/cZT3TUw0Sf,https://pbs.twimg.com/profile_images/1519892879044272129/EFp-SFY0_normal.png,Deep in their mind,1313903430,False,"Poet, writer, multifandom trash.📚Psychology~ 🏳️‍🌈 (They/He) ✨MangAnime & Kpop✨💙@MakotoRitsu💙
@AlfaArtAcc 🖋 @lapetitemort_ax 🔞
🚫NO TERFS🚫",Alfa is: waiting for feedback 🧐,False,"{'followers_count': 415, 'following_count': 23, 'tweet_count': 272752, 'listed_count': 25}",1000339439909003264,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cZT3TUw0Sf', 'expanded_url': 'http://alfalobx.tumblr.com', 'display_url': 'alfalobx.tumblr.com'}]}, 'description': {'mentions': [{'start': 79, 'end': 91, 'username': 'MakotoRitsu'}, {'start': 93, 'end': 104, 'username': 'AlfaArtAcc'}, {'start': 107, 'end': 123, 'username': 'lapetitemort_ax'}]}}"
13,dhoward32,,https://pbs.twimg.com/profile_images/1181291656512884736/QzBBjt_H_normal.jpg,,56206431,False,#GatorNation #BattleATL 2021 World Series Champion Atlanta Braves,DH,False,"{'followers_count': 259, 'following_count': 796, 'tweet_count': 16234, 'listed_count': 0}",,"{'description': {'hashtags': [{'start': 0, 'end': 12, 'tag': 'GatorNation'}, {'start': 13, 'end': 23, 'tag': 'BattleATL'}]}}"
14,naoya_smd,https://t.co/63glSyN0t6,https://pbs.twimg.com/profile_images/1436953321835679751/0sGri_jc_normal.jpg,ここではないどこか,142206597,False,父親 | 仙台一高→筑波大学→都内でSE、経理 | 左利き | 12弦ギター | 読書 | 投資 | 将棋(アマ4段 )| 折り紙 | 麻雀 | 野球 | QUEEN | @office1_2_3 を応援,Naoya Shimada,False,"{'followers_count': 278, 'following_count': 665, 'tweet_count': 10912, 'listed_count': 13}",1499391530230255620,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/63glSyN0t6', 'expanded_url': 'http://yamaarashinow.blog.fc2.com/', 'display_url': 'yamaarashinow.blog.fc2.com'}]}, 'description': {'mentions': [{'start': 86, 'end': 98, 'username': 'office1_2_3'}]}}"
15,coach_pit,,https://pbs.twimg.com/profile_images/1478335719416422404/jzC35lZi_normal.jpg,Galiza,1033790093990014977,False,"🏀Adestrador de Baloncesto
💥Políticas na USC
Na minha fame mando eu",Pablo Iglesias Tacón ™,False,"{'followers_count': 103, 'following_count': 261, 'tweet_count': 1815, 'listed_count': 0}",1392477096790867971,
16,zenigoke,,https://pbs.twimg.com/profile_images/378800000105293901/27b8f6822ed14cc1bc953e1171ee5e53_normal.png,ほぼ京都,13672062,False,,ぺえやんa.k.a MCぺ,False,"{'followers_count': 344, 'following_count': 267, 'tweet_count': 35127, 'listed_count': 9}",,
17,bipitybopitydoo,https://t.co/7YKZHmnG1n,https://pbs.twimg.com/profile_images/1502241508661301249/P7CuO-9j_normal.jpg,in the cmu,1167952456820506639,False,18 | she/they | brotp = nat and clint | raging homosexual | marvel nerd | i killed spidey,chloe ⧗ ➵ ‎✵,False,"{'followers_count': 141, 'following_count': 217, 'tweet_count': 3925, 'listed_count': 0}",1465995270001356801,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7YKZHmnG1n', 'expanded_url': 'https://linktr.ee/resources_and_things', 'display_url': 'linktr.ee/resources_and_…'}]}}"
18,CevallosNanndo,,https://pbs.twimg.com/profile_images/1310512355424514048/SyqFTlhj_normal.jpg,,633812570,False,"18-27🖤. Ella un libro en blanco, él un buen escritor. Las mejores promesas son aquellas que no podemos cumplir. FUTBOL. SONRISA",Feeeer⚽,False,"{'followers_count': 133, 'following_count': 218, 'tweet_count': 2623, 'listed_count': 0}",1133102256407175169,
19,korokoro_babe,,https://pbs.twimg.com/profile_images/1377241679/korokoro_dam_normal.jpg,"Melbourne, Victoria",308937794,False,,Mich G,False,"{'followers_count': 5, 'following_count': 289, 'tweet_count': 282, 'listed_count': 1}",,
20,U_ray2go,https://t.co/8ljdEykSVu,https://pbs.twimg.com/profile_images/1139138763332890624/euURLcAI_normal.png,にいがた,182195710,False,帰りたいbotは毒にも薬にもなりません。生きるのがへたくそです。,２ごうさん,False,"{'followers_count': 912, 'following_count': 830, 'tweet_count': 164011, 'listed_count': 43}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8ljdEykSVu', 'expanded_url': 'http://Instagram.com/u_ray2go', 'display_url': 'Instagram.com/u_ray2go'}]}}"
21,bellboy1963,,https://pbs.twimg.com/profile_images/905270240141086722/sjHsUaSQ_normal.jpg,多摩人。県境神奈川側,116056528,False,who beatles ledzep jam japan joydivision kula 池袋交差点24時 神社 古墳 瓦斯サポ,Bellboy 1963,False,"{'followers_count': 394, 'following_count': 499, 'tweet_count': 70602, 'listed_count': 30}",,
22,chococo_biscuit,https://t.co/4SJYcuWI2Y,https://pbs.twimg.com/profile_images/503188521733988354/8oPT8GTX_normal.jpeg,きゅうしゅうちほー,73117007,False,音楽（YUKI（JAM）、岡村靖幸）と漫画（羽海野チカ、上條淳士、桜玉吉、星里もちる）が人生の主軸。システムを作る屋さん。バイクのちキャンプ時々ゲーム所により音楽。2020年に白州に出会いウイスキー沼に落ちる。,ちょこび,False,"{'followers_count': 277, 'following_count': 369, 'tweet_count': 14418, 'listed_count': 0}",1459872392252051456,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/4SJYcuWI2Y', 'expanded_url': 'https://kiopon.com/', 'display_url': 'kiopon.com'}]}}"
23,dd21love,,https://pbs.twimg.com/profile_images/591012860261584897/K6COG6IP_normal.jpg,アイコンとヘッダーは夢男子時代最後に好いた艦娘如月ちゃん,2997361567,False,"推:みらリコ(まほプリ)春優(桜Trick)かおこゆ(こみが)六アカ(GRIDMAN)しのアリ(きんモザ)ソフィ灯(吸血鬼さん)蜜香(森島明子先生作)うらモモ(さばげぶっ)青ひふ(NEWGAME)綾菜々(トクヲツム先生作)まゆこは(お泊まり映画)
好傾向:フェム同士、ハッピー
他:動物食べ物風景女の子単体クイズ雑学",無霜走葉/CCFT（百合厨の道民）,False,"{'followers_count': 1589, 'following_count': 5001, 'tweet_count': 221862, 'listed_count': 24}",1133532192707977216,
24,flyknows,https://t.co/rMHS8ZznIY,https://pbs.twimg.com/profile_images/1015306606131712000/6bC7UoyG_normal.jpg,"Baltimore, Maryland",1043667150,False,Drosophila and mosquito olfaction sensory neuroscientist @johnshopkins; Likes combining neuroscience and genetics. Co-Director of Neuroscience Training Program.,Chris Potter,False,"{'followers_count': 2351, 'following_count': 877, 'tweet_count': 2197, 'listed_count': 0}",1516834892385972228,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rMHS8ZznIY', 'expanded_url': 'http://potterlab.johnshopkins.edu', 'display_url': 'potterlab.johnshopkins.edu'}]}, 'description': {'mentions': [{'start': 57, 'end': 70, 'username': 'johnshopkins'}]}}"
25,longlivkingeret,,https://pbs.twimg.com/profile_images/1424918876119347207/TDIq-tGZ_normal.jpg,no carrd,3295948373,False,eret my beloved (he/him),NOCTURNE,False,"{'followers_count': 301, 'following_count': 661, 'tweet_count': 6626, 'listed_count': 10}",1398384403726864386,
26,FARKnnDB,https://t.co/AH6MAPSUxs,https://pbs.twimg.com/profile_images/1419163293617246213/-wySoadf_normal.jpg,The Internet,1402064879792492559,False,"Offical tweeter database of nicknames for 45th POTUS created 01.20.2017, now @ 8k+ nicknames on the https://t.co/pixn6Ul57E wiki, CC-BY-SA.",🌻fficial nickname DB for Moscow Fats on FARKwiki,False,"{'followers_count': 160, 'following_count': 550, 'tweet_count': 54967, 'listed_count': 1}",1439335262773858306,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/AH6MAPSUxs', 'expanded_url': 'https://fark.fandom.com/wiki/Nicknames_for_Donald_Trump', 'display_url': 'fark.fandom.com/wiki/Nicknames…'}]}, 'description': {'urls': [{'start': 100, 'end': 123, 'url': 'https://t.co/pixn6Ul57E', 'expanded_url': 'http://FARK.com', 'display_url': 'FARK.com'}]}}"
27,kimartistae,,https://pbs.twimg.com/profile_images/1480951790342443011/VaM1sSSN_normal.jpg,Morioh,744212730186469376,False,"#NCT : Vale, hace frío pero, ¿el frío de Ucrania? Es otro puto rollo.
#HENDERY: KONO HENDERY DA
                          🤘🏻 ASEREJE 🤘🏻
any pronouns",𝔏𝔲𝔰𝔶 𝓶𝓮𝓮𝓽𝓼 MY BABY IS BACK💚,False,"{'followers_count': 158, 'following_count': 492, 'tweet_count': 24357, 'listed_count': 7}",1361809052687343617,"{'description': {'hashtags': [{'start': 0, 'end': 4, 'tag': 'NCT'}, {'start': 70, 'end': 78, 'tag': 'HENDERY'}]}}"
28,Phil_H_Anselmo,,https://pbs.twimg.com/profile_images/1399835053836976134/utCB5vQA_normal.jpg,Italy,72814251,False,"Come fai, sbagli (per qualcuno) | Diffido di chiunque creda in un Dio",𝙿𝚑𝚒𝚕 𝙰𝚗𝚜𝚎𝚕𝚖𝚘,False,"{'followers_count': 1180, 'following_count': 1372, 'tweet_count': 42797, 'listed_count': 15}",1418722969254338560,
29,nikaren03,https://t.co/VMwt69BMUU,https://pbs.twimg.com/profile_images/1521869295856144384/EujS6TsN_normal.jpg,次回参加：6月ひねたまR,163657610,False,成人済。刀とenst♦️♣️。,にかれん@原稿,False,"{'followers_count': 862, 'following_count': 298, 'tweet_count': 93473, 'listed_count': 22}",1521626414792921088,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/VMwt69BMUU', 'expanded_url': 'https://profcard.info/u/paxpi4nMD4Sq6P3qZHi9uvVxp3I2?s=09', 'display_url': 'profcard.info/u/paxpi4nMD4Sq…'}]}}"
30,HHTaboada,,https://pbs.twimg.com/profile_images/1331357888992907269/bFHpeshU_normal.jpg,Ciudad Autónoma de Buenos Aire,2325902989,False,"Junto a los defensores de la Constitución, la República y la Democracia.
Hombre, pueblo, Nación, Estado, todo está en los humildes bancos de la escuela.",Horacio Taboada,False,"{'followers_count': 1693, 'following_count': 1777, 'tweet_count': 81695, 'listed_count': 6}",1277008360349581312,
31,ortizmocristina,https://t.co/mB5BKEfetS,https://pbs.twimg.com/profile_images/1318824783279108096/5OhbM2K7_normal.jpg,dragonstone,1245151387148668928,False,"#IStandByDaenerys All hail Her Satanic Majesty 🔥 I can do this all day. Higher, further, faster baby 💥 Met Emilia 12.09.2021 🥰",cristina met emilia 🔥🐉🐝,False,"{'followers_count': 427, 'following_count': 450, 'tweet_count': 61164, 'listed_count': 12}",1469636617207906305,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mB5BKEfetS', 'expanded_url': 'https://sameyou.fundraise.tech/subscribe/', 'display_url': 'sameyou.fundraise.tech/subscribe/'}]}, 'description': {'hashtags': [{'start': 0, 'end': 17, 'tag': 'IStandByDaenerys'}]}}"
32,LisaB_29,,https://pbs.twimg.com/profile_images/1081863818622296064/ME1L7s9Y_normal.jpg,"Melbourne, Australia",25246874,False,"Sport lover, Collingwood supporter, housework hater. Giving up my summers for @7Cricket 🏏",Lisa B,False,"{'followers_count': 1503, 'following_count': 1040, 'tweet_count': 77986, 'listed_count': 87}",,"{'description': {'mentions': [{'start': 78, 'end': 87, 'username': '7Cricket'}]}}"
